interview__key,access_internet,internet_home,distance_internet,inter_activity__1,inter_activity__2,inter_activity__3,inter_activity__4,inter_activity__5,inter_activity__6,inter_activity__7,inter_activity__8,inter_activity__9,inter_activity__10,inter_activity__96,inter_activity__n888,inter_activity__n999,inter_activity_oth,cost_internet,internet_purpose__1,internet_purpose__2,internet_purpose__3,internet_purpose__4,internet_purpose__5,internet_purpose__6,internet_purpose__96,internet_purpose__n888,internet_purpose__n999,internet_purpose_oth
"38-84-93-57","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"27-07-91-33","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"50-08-65-68","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"78-04-92-62","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"52-85-47-82","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"19-35-88-74","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"59-09-71-58","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"74-51-37-03","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-11-11-88","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-78-28-40","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"25-98-64-43","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"56-29-47-60","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"82-22-01-30","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"15-47-66-05","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"04-89-61-71","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"58-73-17-40","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"82-66-58-84","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"40-67-36-34","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"76-04-73-59","Yes","Yes",,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,3000,,,,,,,,,,
"84-25-35-86","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"29-66-30-52","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"50-37-18-88","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"62-42-00-50","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"94-15-10-76","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"42-39-21-50","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"84-84-86-66","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"53-27-67-24","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"02-02-62-52","Yes","Yes",,"Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No",,4000,,,,,,,,,,
"10-89-66-70","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"28-72-52-28","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"89-15-58-91","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"57-65-92-31","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"78-69-73-93","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"86-71-54-16","Yes","Yes",,"Yes","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No",,15000,,,,,,,,,,
"49-00-37-24","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"60-73-62-17","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"16-68-23-18","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"75-36-25-09","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"92-13-03-64","Yes","Yes",,"Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No",,5000,,,,,,,,,,
"32-53-28-17","Yes","Yes",,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,1000,,,,,,,,,,
"18-06-29-93","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"86-17-31-91","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"34-05-05-84","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"24-72-79-56","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"56-10-85-53","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"65-86-13-71","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"47-19-77-59","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"72-38-19-68","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"87-95-06-00","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"27-03-96-63","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"43-65-32-18","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"20-11-50-00","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-65-33-33","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"35-33-01-98","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
