interview__key,road_1,road_2,road_3__1,road_3__2,road_3__3,road_3__4,road_3__5,road_3__6,road_3__7,road_3__8,road_3_oth,road_6,road_7,road_8,road_9,road_10,road_11__1,road_11__2,road_11__3,road_11__96,road_11_oth,road_12__1,road_12__2,road_12__3,road_12__4,road_12__5,road_12__6,road_12__7,road_12__96,road_12_oth,road_13,road_14__1,road_14__2,road_14__3,road_14__4,road_14__5,road_14__96,road_14_oth
"13-95-57-54","Dirt road/ bush road","Almost not passable","Yes","No","Yes","No","Yes","No","Yes","No",,2,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"47-67-62-28","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","No","Yes","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"96-80-22-06","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","Yes","No","No","No","No",,2,"Yes","Yes","Yes","No",,,,,,"No","Yes","Yes","Yes","No","No","No","No",,"No","No","No","No","No","Yes","No",
"11-11-66-21","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","Yes","Yes","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"62-90-81-91","Murram/ gravel road","Almost not passable","Yes","Yes","Yes","No","No","No","No","No",,10,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"61-58-38-15","Dirt road/ bush road","Well passable","No","No","Yes","No","No","No","No","No",,2,"Yes","No",,"No",,,,,,"Yes","No","No","Yes","No","No","No","No",,"Yes","No","No","No","No","Yes","No",
"60-05-03-82","Dirt road/ bush road","Almost not passable","Yes","Yes","Yes","No","Yes","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"53-26-53-30","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","Yes","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"52-64-71-85","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","Yes","Yes","No","Yes","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"20-65-75-92","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","Yes","Yes","No","No","No",,2,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
