interview__key,liv_pdtsal,which_liv_pdts__1,which_liv_pdts__2,which_liv_pdts__3,which_liv_pdts__4,which_liv_pdts__5,which_liv_pdts__6,which_liv_pdts__7,which_liv_pdts__96,which_liv_pdts_oth,liv_buyer,liv_buyer_oth,liv_buyer_where,livmkt_dist,liv_pdt_inc,liv_contract
"93-17-92-46",,,,,,,,,,,,"",,,,
"93-76-84-35","No",,,,,,,,,,,"",,35,,"No"
"44-86-19-68","No",,,,,,,,,,,"",,1,,"No"
"99-24-36-43","No",,,,,,,,,,,"",,18,,"No"
"18-82-63-90","No",,,,,,,,,,,"",,1,,"No"
"86-57-20-12",,,,,,,,,,,,"",,,,
"38-84-93-57","No",,,,,,,,,,,"",,35,,"No"
"27-07-91-33",,,,,,,,,,,,"",,,,
"50-08-65-68","No",,,,,,,,,,,"",,7,,"No"
"78-04-92-62",,,,,,,,,,,,"",,,,
"52-85-47-82","No",,,,,,,,,,,"",,80,,"No"
"19-35-88-74","No",,,,,,,,,,,"",,55,,"No"
"59-09-71-58",,,,,,,,,,,,"",,,,
"74-51-37-03","No",,,,,,,,,,,"",,15,,"No"
"75-11-11-88","No",,,,,,,,,,,"",,2,,"No"
"22-78-28-40","No",,,,,,,,,,,"",,1,,"No"
"25-98-64-43","No",,,,,,,,,,,"",,40,,"No"
"56-29-47-60","No",,,,,,,,,,,"",,10,,"No"
"82-22-01-30","No",,,,,,,,,,,"",,14,,"No"
"15-47-66-05","No",,,,,,,,,,,"",,13,,"No"
"04-89-61-71","No",,,,,,,,,,,"",,5,,"No"
"58-73-17-40","No",,,,,,,,,,,"",,1,,"No"
"82-66-58-84",,,,,,,,,,,,"",,,,
"40-67-36-34","No",,,,,,,,,,,"",,100,,"No"
"76-04-73-59","No",,,,,,,,,,,"",,10,,"No"
"84-25-35-86","No",,,,,,,,,,,"",,.5,,"No"
"29-66-30-52",,,,,,,,,,,,"",,,,
"50-37-18-88","No",,,,,,,,,,,"",,15,,"No"
"62-42-00-50","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",2,2520000,"No"
"94-15-10-76",,,,,,,,,,,,"",,,,
"42-39-21-50",,,,,,,,,,,,"",,,,
"84-84-86-66","No",,,,,,,,,,,"",,50,,"No"
"53-27-67-24","No",,,,,,,,,,,"",,15,,"No"
"02-02-62-52",,,,,,,,,,,,"",,,,
"10-89-66-70",,,,,,,,,,,,"",,,,
"28-72-52-28","No",,,,,,,,,,,"",,20,,"No"
"89-15-58-91","No",,,,,,,,,,,"",,.1,,"No"
