interview__key,as10,as11,as12,as13,as14,as15,as16__1,as16__2,as16__3,as16__4,as16__5,as16__6,as16__7,as16__8,as16__9,as16__96,as16_oth,as19,as17,as18__1,as18__2,as18__3,as18__4,as18__5,as18__6,as18__7,as18__8,as18__9,as18__10,as18__11,as18__96
"55-06-75-57","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"01-05-06-43","Yes","No","No","No","Yes",100000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes"
"12-46-80-99","No","Yes","No","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"34-76-42-19","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"62-44-56-00","No","No","No","No","No",,,,,,,,,,,,,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"35-05-05-79","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"00-88-32-67","No","No","No","Yes","Yes",20000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"65-77-01-81","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"68-46-66-56","No","No","Yes","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"30-46-23-21","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"13-17-41-36","No","No","No","Yes","Yes",300000,"No","Yes","No","No","No","No","No","No","No","No",,"Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No"
"99-55-34-47","No","No","No","Yes","Yes",8000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No"
"82-90-83-43","No","No","No","No","Yes",100000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"98-51-51-03","Yes","No","No","Yes","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"10-71-84-42","No","Yes","No","Yes","Yes",10000,"Yes","Yes","No","No","No","No","No","No","No","No",,"Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"49-18-02-61","No","Yes","No","No","Yes",20000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"58-97-08-64","No","No","No","No","Yes",10000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No"
"61-93-54-26","No","No","No","No","No",,,,,,,,,,,,,"Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"51-95-58-91","No","No","Yes","No","Yes",40000,"Yes","No","No","No","No","No","Yes","Yes","No","No",,"Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes"
"32-49-75-13","No","Yes","Yes","Yes","Yes",120000,"No","No","Yes","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"68-39-51-63","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
