interview__key,r_food_ind__id,numdays_7d,food_source_7d__1,food_source_7d__2,food_source_7d__3,food_source_7d__4,food_source_7d__5,food_source_7d__6,food_source_7d__7,food_source_7d__8,food_source_7d__9,food_source_7d__96,foos_source_oth
"86-92-94-72","Miscellaneous- tea, coffee, beverages, condiments, spices",2,"No","No","No","No","Yes","No","No","No","No","No",""
"95-96-07-01","Cereals- rice, maize, chapatti, wheat, sorghum, bread, etc",7,"Yes","No","No","No","No","No","No","No","No","No",""
"95-96-07-01","Roots and tubers- potato, sweet potato, cassava, arrow roots, cooking banana",2,"Yes","No","No","No","No","No","No","No","No","No",""
"95-96-07-01","Vegetables- spinach, pumpkin, cabbage, tomato, onion",5,"Yes","No","No","No","No","No","No","No","No","No",""
"95-96-07-01","Fruits- orange, mango, guava, rice paw paw/papaya, pineapple, etc",7,"No","No","No","No","Yes","No","No","No","No","No",""
"95-96-07-01","Meat, poultry, organ meat- goat, sheep, cow, chicken, liver, kidney, intestines",3,"No","No","No","No","Yes","No","No","No","No","No",""
"95-96-07-01","Eggs",2,"No","No","No","No","Yes","No","No","No","No","No",""
"95-96-07-01","Fish and seafood (dried or fresh)- sardines, dagaa/omena",1,"No","No","No","No","Yes","No","No","No","No","No",""
"95-96-07-01","Pulses, legumes, nuts, seeds",2,"No","No","No","No","Yes","No","No","No","No","No",""
"95-96-07-01","Milk and milk products- fresh, powdered, yogurt, cheese, etc",1,"No","No","No","No","Yes","No","No","No","No","No",""
"95-96-07-01","Oil/fats- oil, fat, butter, ghee, etc",1,"No","No","No","No","Yes","No","No","No","No","No",""
"95-96-07-01","Sugar and sweets- sugar, honey, sweets, desserts",7,"No","No","No","No","Yes","No","No","No","No","No",""
"95-96-07-01","Miscellaneous- tea, coffee, beverages, condiments, spices",1,"No","No","No","No","Yes","No","No","No","No","No",""
"56-10-42-62","Cereals- rice, maize, chapatti, wheat, sorghum, bread, etc",1,"Yes","No","No","No","Yes","No","No","No","No","No",""
"56-10-42-62","Roots and tubers- potato, sweet potato, cassava, arrow roots, cooking banana",5,"No","No","No","No","Yes","No","No","No","No","No",""
"56-10-42-62","Vegetables- spinach, pumpkin, cabbage, tomato, onion",5,"Yes","No","No","No","Yes","No","No","No","No","No",""
"56-10-42-62","Oil/fats- oil, fat, butter, ghee, etc",7,"No","No","No","No","Yes","No","No","No","No","No",""
"56-10-42-62","Sugar and sweets- sugar, honey, sweets, desserts",6,"No","No","No","No","Yes","No","No","No","No","No",""
"39-85-42-75","Cereals- rice, maize, chapatti, wheat, sorghum, bread, etc",3,"Yes","No","No","No","No","No","No","No","No","No",""
"39-85-42-75","Vegetables- spinach, pumpkin, cabbage, tomato, onion",7,"No","No","No","No","Yes","No","No","No","No","No",""
"39-85-42-75","Meat, poultry, organ meat- goat, sheep, cow, chicken, liver, kidney, intestines",1,"No","No","No","No","Yes","No","No","No","No","No",""
"39-85-42-75","Fish and seafood (dried or fresh)- sardines, dagaa/omena",1,"No","No","No","No","Yes","No","No","No","No","No",""
"39-85-42-75","Oil/fats- oil, fat, butter, ghee, etc",7,"No","No","No","No","Yes","No","No","No","No","No",""
"51-15-10-63","Cereals- rice, maize, chapatti, wheat, sorghum, bread, etc",7,"Yes","No","No","No","No","No","No","No","No","No",""
"51-15-10-63","Vegetables- spinach, pumpkin, cabbage, tomato, onion",4,"Yes","No","No","No","No","No","No","No","No","No",""
"51-15-10-63","Fruits- orange, mango, guava, rice paw paw/papaya, pineapple, etc",1,"Yes","No","No","No","No","No","No","No","No","No",""
"51-15-10-63","Meat, poultry, organ meat- goat, sheep, cow, chicken, liver, kidney, intestines",2,"No","No","No","No","Yes","No","No","No","No","No",""
"51-15-10-63","Fish and seafood (dried or fresh)- sardines, dagaa/omena",2,"No","No","No","No","Yes","No","No","No","No","No",""
"51-15-10-63","Pulses, legumes, nuts, seeds",3,"No","No","No","No","Yes","No","No","No","No","No",""
"51-15-10-63","Milk and milk products- fresh, powdered, yogurt, cheese, etc",2,"No","No","No","No","Yes","No","No","No","No","No",""
"51-15-10-63","Oil/fats- oil, fat, butter, ghee, etc",7,"No","No","No","No","Yes","No","No","No","No","No",""
"51-15-10-63","Sugar and sweets- sugar, honey, sweets, desserts",3,"No","No","No","No","Yes","No","No","No","No","No",""
"51-15-10-63","Miscellaneous- tea, coffee, beverages, condiments, spices",3,"Yes","No","No","No","No","No","No","No","No","No",""
"81-75-45-31","Cereals- rice, maize, chapatti, wheat, sorghum, bread, etc",7,"Yes","No","No","No","Yes","No","No","No","No","No",""
"81-75-45-31","Roots and tubers- potato, sweet potato, cassava, arrow roots, cooking banana",1,"Yes","No","No","No","No","No","No","No","No","No",""
"81-75-45-31","Vegetables- spinach, pumpkin, cabbage, tomato, onion",7,"Yes","No","No","No","No","No","No","No","No","No",""
"81-75-45-31","Eggs",2,"Yes","No","No","No","No","No","No","No","No","No",""
"81-75-45-31","Fish and seafood (dried or fresh)- sardines, dagaa/omena",1,"No","No","No","No","Yes","No","No","No","No","No",""
"81-75-45-31","Oil/fats- oil, fat, butter, ghee, etc",7,"No","No","No","No","Yes","No","No","No","No","No",""
"81-75-45-31","Sugar and sweets- sugar, honey, sweets, desserts",7,"No","No","No","No","Yes","No","No","No","No","No",""
"57-29-61-37","Cereals- rice, maize, chapatti, wheat, sorghum, bread, etc",7,"No","No","No","No","Yes","No","No","No","No","No",""
"57-29-61-37","Roots and tubers- potato, sweet potato, cassava, arrow roots, cooking banana",1,"No","No","No","No","Yes","No","No","No","No","No",""
"57-29-61-37","Vegetables- spinach, pumpkin, cabbage, tomato, onion",2,"No","No","No","No","Yes","No","No","No","No","No",""
