interview__key,ctry,region,dist,ward,village,ea,hhid,res_ident,attempt_1,reason_not_interviewed,reason_not_interviewed_other,replacement,is_replacement,interviewed_consent,res_head,res_rel,interview_possible
"45-15-07-99","Tanzania","Iringa","Iringa","Mlenge","Kinyika","Mbuyuni","20003944","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"59-16-11-16","Tanzania","Iringa","Iringa","Kiwere","mgera","Luganga","20003754","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"78-92-27-80","Tanzania","Iringa","Iringa","Maguliwa","ndiwili","Mivinjeni","20002443","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"24-78-22-03","Tanzania","Iringa","Iringa","Wasa","mahanzi","Mahanzi & Kibulilo","20003551","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"61-90-23-18","Tanzania","Iringa","Iringa","Mlenge","kinyika","Mbuyuni","20003942","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"36-41-14-75","Tanzania","Iringa","Iringa","Itunundu","Kimande","Mwatenga","20001141","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"15-24-20-62","Tanzania","Iringa","Iringa","Maguliwa","Ndiwili","Mivinjeni","20002441","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"13-30-97-65","Tanzania","Iringa","Iringa","Wasa","mahanzi","Mahanzi & Kibulilo","20003542","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"62-39-49-91","Tanzania","Iringa","Iringa","Wasa","mahanzi","Mahanzi & Kibulilo","20003553","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"37-93-31-47","Tanzania","Iringa","Iringa","Mlenge","kinyika","Mbuyuni","20003955","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"41-29-34-43","Tanzania","Iringa","Iringa","Kiwere","mgera","Luganga","20003749","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"24-91-36-31","Tanzania","Iringa","Iringa","Mlenge","kinyika","Mbuyuni","20003951","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"85-94-51-81","Tanzania","Iringa","Iringa","Itunundu","kimande","Mwatenga","20001152","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"05-53-82-60","Tanzania","Iringa","Iringa","Mlenge","KINYIKA","Mbuyuni","20003952","No","Yes","Household moved to another village/town/district","","Yes","Yes",,,,
"79-66-45-07","Tanzania","Iringa","Iringa","Kiwere","mgera","Luganga","20003752","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"78-15-69-36","Tanzania","Iringa","Iringa","Kiwere","mgera","Luganga","20003747","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"53-49-72-57","Tanzania","Iringa","Iringa","Wasa","kibulilo","Mahanzi & Kibulilo","20003555","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"66-30-66-08","Tanzania","Iringa","Iringa","Nyang'oro","ikengeza","Mseke 'A'","20004354","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"36-62-86-65","Tanzania","Iringa","Iringa","Maguliwa","Ndiwili","Mivinjeni","20002445","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"93-72-05-88","Tanzania","Iringa","Iringa","Maguliwa","Ndiwili","Mivinjeni","20002448","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"64-59-07-31","Tanzania","Iringa","Iringa","Wasa","Ulata","Mwefu & Nganawasi","20003353","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"14-20-80-15","Tanzania","Iringa","Kilolo","Udekwa","Wotalisoli","Wotalisoli","20006039","No","Yes","Household moved to another village/town/district","","Yes","Yes",,,,
"78-03-04-37","Tanzania","Iringa","Iringa","Wasa","Ulata","Mwefu & Nganawasi","20003354","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"56-24-05-48","Tanzania","Iringa","Iringa","Mlowa","matalawe","Matalawe","20002644","Yes",,,"",,"No",1,"Head of the household",,"Yes"
