interview__key,s0_duration,s1_duration,s2_duration,s3_duration,s4b_duration,s5_duration,s6_duration,s7_duration,s8_duration,s9_duration,s10_duration,s11_duration,s12_duration,s13_duration,s15_duration,interview__duration2,interview__duration,interview__duration_minutes,date,time
"95-96-07-01",1.82,21.37,1.39,4.14,22.06,4.7,5.58,4.8,27.84,7.35,1.92,12.48,3.02,4.22,3.38,126.07,"00.02:58:17",178.2833333333333,"2023-06-24","08:38:48"
"56-10-42-62",3.81,18.86,1.26,3.840975609756097,15.18747126436782,6.085,3.835,2.556551724137931,41.17,8.865,1.3,55.2,3.01,2.561504297994269,4.81,172.3515028962561,"00.05:19:21",319.35,"2023-06-24","08:45:57"
"39-85-42-75",1.27,14.51,.91,3.96,19.8,6.085,5.93,5.12,33.39,6.9,.48,11.84,2.92,4.800000000000001,2.85,120.765,"00.03:16:53",196.8833333333333,"2023-06-26","08:57:56"
"51-15-10-63",1.38,26.31,1.78,6.165,19.83,1.75,7.23,2.556551724137931,41.17,8.630000000000001,.77,19.02,2.189914040114613,2.561504297994269,3.3,144.6429700622468,"00.02:40:44",160.7333333333333,"2023-06-26","09:56:36"
"81-75-45-31",2.494899713467049,18.98,.9398297872340425,3.840975609756097,22.2,6.085,6.093055954088952,2.556551724137931,41.17,7.14,.49,21.47,3.6,2.561504297994269,4.1,143.7218170866783,"00.03:21:06",201.1,"2023-06-24","12:43:28"
"57-29-61-37",4.62,17.22,2.105,5.78,24.015,3.39,9.184999999999999,2.556551724137931,26.65,8.865,2.04,19.07,1.77,3.02,4.39,134.6765517241379,"00.02:36:45",156.75,"2023-06-24","08:55:42"
"92-19-38-79",3.03,15.28954022988506,.9398297872340425,3.840975609756097,24.015,4.26,6.093055954088952,2.556551724137931,25.85136494252874,8.865,1.89,64.7,2.189914040114613,2.561504297994269,3.737280575539568,169.8200171612793,"00.04:59:05",299.0833333333333,"2023-06-24","07:52:46"
"51-61-36-83",2.63,15.28954022988506,1,3.840975609756097,15.18747126436782,6.085,6.093055954088952,2.556551724137931,25.85136494252874,6.042600574712644,1.64,21.408,2.76,4.800000000000001,1.805,116.9895602994772,"00.10:05:03",605.05,"2023-06-24","12:07:45"
"26-90-05-49",1.88,14.92,1.33,5.64,20.21,.2,6.95,5.12,37.83,6.042600574712644,.61,37.63,2.77,2.561504297994269,4.3,147.9941048727069,"00.02:43:12",163.2,"2023-06-26","07:08:38"
"66-97-67-27",5.12,15.07,2.05,3.840975609756097,15.18747126436782,5.34,7.8,2.556551724137931,35.86,6.86,1.71,18.48,2.91,3.14,4.79,130.7149985982618,"00.02:41:12",161.2,"2023-06-26","06:30:13"
"78-48-49-89",3.86,25.6,2.105,3.840975609756097,16.59,4.41,6.57,3.14,25.75,7.41,2.04,22.03,2.61,4.800000000000001,3.23,133.9859756097561,"00.02:19:20",139.3333333333333,"2023-06-26","10:09:49"
"98-05-66-83",2.88,20.46,1.02,3.840975609756097,15.18747126436782,2.369262865090403,3.98,3.99,30.9,4.24,1.03,17.24,1.57,2.28,6.1,117.0877097392143,"00.02:28:18",148.3,"2023-06-26","10:01:51"
"78-17-71-31",3.89,26.31,.9398297872340425,6.165,21.73,6.085,4.8,3.93,27.92,6.87,1.52,10.09,2.32,2.561504297994269,3.97,129.1013340852283,"00.02:24:28",144.4666666666667,"2023-06-26","05:54:02"
"35-97-55-04",2.494899713467049,22.69,.79,6.165,15.18747126436782,2.369262865090403,8.9,2.556551724137931,40.82,8.865,1.8,28.22,3.6,2.561504297994269,2.09,149.1096898650575,"00.03:23:09",203.15,"2023-06-26","03:55:51"
"01-00-08-00",3.96,8.6,.74,3.06,19.65,5.61,5.5,1.13,22.96,5.36,.98,11.07,1.54,3.05,4.43,97.64,"00.01:36:22",96.36666666666666,"2023-06-26","09:00:15"
"23-16-40-98",2.62,15.28954022988506,.9398297872340425,6.08,18.44,6.085,6.093055954088952,3.32,32.61,6.7,.72,11.94,3.6,2.561504297994269,5.38,122.3789302692023,"00.03:54:03",234.05,"2023-06-26","09:33:38"
"33-60-15-24",2.494899713467049,15.28954022988506,.9398297872340425,3.21,10.6,.1,5.43,2.556551724137931,14.86,4.81,.36,11.5,1.23,1.47,3.737280575539568,78.58810203026364,"00.01:41:24",101.4,"2023-06-26","09:46:48"
"83-29-00-04",2.3,26.31,2.105,3.840975609756097,15.18747126436782,2.369262865090403,8.43,2.556551724137931,25.85136494252874,6.042600574712644,.52,25.56,2.18,4.05,2.67,129.9732269805936,"00.03:39:31",219.5166666666667,"2023-06-26","06:14:37"
"39-46-43-34",1.54,19.53,1.63,6.165,16.56,4.79,5.27,1.04,38.23,8.359999999999999,1.68,21.02,2.37,2.73,1.805,132.72,"00.02:14:23",134.3833333333333,"2023-06-26","05:55:24"
"83-88-85-49",2.494899713467049,22.86,1.04,4.97,24.015,6.085,4.38,4.85,25.64,8.865,1.38,14,3.6,4.26,2.55,130.9898997134671,"00.02:45:40",165.6666666666667,"2023-06-26","03:56:10"
"86-33-34-77",4.5,9.4,1.32,5.24,22.54,4.74,5.08,2.556551724137931,32.98,8.82,.48,12.36,2.189914040114613,2.561504297994269,3.46,118.2279700622468,"00.02:13:24",133.4,"2023-06-27","08:27:39"
"85-40-54-06",5.145,14.5,.72,5.03,22.36,.12,8,3.52,38.53,8.43,2.04,11.24,3.6,3.16,6.59,132.985,"00.02:24:05",144.0833333333333,"2023-06-27","05:58:56"
"99-20-43-65",1.6,19.08,2.105,5.39,15.18747126436782,2.369262865090403,5.62,2.556551724137931,33.86,6.92,.9617211948790896,5.19,2.43,2.561504297994269,3.6,109.4315113464695,"00.04:05:28",245.4666666666667,"2023-06-26","05:48:38"
"84-47-44-08",2.28,15.28954022988506,.9398297872340425,3.49,14.45,3.73,6.093055954088952,2.36,25.85136494252874,8.865,.41,12.6,3.33,3.51,3.737280575539568,106.9360714892764,"00.03:11:46",191.7666666666667,"2023-06-27","09:04:34"
"95-71-45-18",2.95,26.31,1.38,5.48,24.015,2.369262865090403,5.09,2.9,29.08,7.59,2.04,13.76,3.02,3.32,3.08,132.3842628650904,"00.02:43:29",163.4833333333333,"2023-06-26","05:20:08"
"43-23-29-59",1.93,9.67,1.01,3.840975609756097,15.18747126436782,2.369262865090403,5.5,2.556551724137931,29.93,8.865,1.36,13.32,2.189914040114613,3.44,3.737280575539568,104.9064560790064,"00.03:25:28",205.4666666666667,"2023-06-27","11:00:28"
