interview__key,buyers__1,buyers__2,buyers__3,buyers__4,buyers__5,buyers__6,buyers__7,buyers__96,sl_oth_1,cp03__1,cp03__2,cp03__3,cp03__4,cp03__5,cp03__6,cp03__7,cp03__8,cp03__9,cp03__10,cp03__11,cp03__12,cp02__1,cp02__2,cp02__3,cp02__96,cp0_other,markt_output_dist,markt_input_dist,crop_contract,contract_crop,input_access_subsidy,subsidy_type__1,subsidy_type__2,subsidy_type__3,subsidy_type__4,subsidy_supplier__1,subsidy_supplier__2,subsidy_supplier__3
"93-19-03-86",1,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","Yes","Yes","No","No","Yes","No","No","No","",20,20,"No","","no",,,,,,,
"83-16-53-05",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","nothing was sold",25,25,"No","","no",,,,,,,
"96-79-62-23",0,1,0,0,0,0,0,0,"","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","Yes","No","No","",0,0,"No","","no",,,,,,,
"45-89-04-52",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","none",5,5,"No","","no",,,,,,,
"12-50-51-44",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","I did not sell the maize, it was used for food.",10,6,"No","","no",,,,,,,
"64-36-21-26",0,1,0,0,0,0,0,0,"","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","",1.5,1.5,"No","","yes","No","Yes","No","No","No","No","Yes"
"78-84-99-05",1,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes","No","No","No","",50,50,"No","","no",,,,,,,
"37-66-37-12",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","Yes","No","No","",20,20,"No","","yes","No","Yes","No","No","Yes","No","No"
"52-54-55-08",1,0,0,0,0,0,0,0,"","No","No","No","No","No","Yes","Yes","No","No","No","No","No","Yes","No","No","No","",0,0,"No","","no",,,,,,,
"32-13-89-08",0,1,0,0,0,0,0,0,"","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","",5,5,"No","","no",,,,,,,
"85-25-22-09",1,0,0,0,0,0,0,0,"","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","",4,4,"No","","no",,,,,,,
"72-82-24-11",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","I did not sell the crops",2,2,"No","","no",,,,,,,
"36-18-65-12",0,1,0,0,0,0,0,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","buyers came home",11,11,"No","","no",,,,,,,
"42-45-66-86",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","",5,5,"No","","no",,,,,,,
"44-14-86-31",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","",6,20,"No","","no",,,,,,,
"84-19-29-35",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","Yes","buyers came at homestead",9,9,"No","","no",,,,,,,
"39-19-67-67",0,1,0,0,0,0,0,0,"","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No","",4,4,"No","","yes","No","Yes","No","No","Yes","No","No"
"43-82-97-85",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","",1.5,1,"No","","yes","No","Yes","No","No","Yes","No","No"
"91-14-48-53",0,1,0,0,0,0,0,0,"","No","No","Yes","Yes","Yes","No","No","No","No","No","No","Yes","Yes","No","No","Yes","came to homestead",10,10,"No","","yes","No","Yes","No","No","Yes","No","Yes"
"20-26-28-94",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","we didn't sell our crops",2,2,"No","","no",,,,,,,
"23-89-23-81",0,1,0,0,0,0,0,0,"","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","",5,5,"No","","yes","No","Yes","No","No","Yes","No","No"
"52-40-25-11",0,1,0,0,0,0,0,0,"","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","",40,40,"No","","no",,,,,,,
"58-44-00-29",1,1,0,0,0,0,0,0,"","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","",70,70,"No","","no",,,,,,,
"94-81-60-01",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","Yes","No","No","",30,30,"No","","no",,,,,,,
"00-76-76-29",1,0,0,0,0,0,0,0,"","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","",7,7,"No","","no",,,,,,,
"30-24-92-73",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","none",9,9,"No","","no",,,,,,,
"23-53-41-46",0,0,0,0,0,0,1,0,"",,,,,,,,,,,,,"No","No","No","Yes","none transported",30,30,"No","","no",,,,,,,
"62-55-13-64",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","Yes","No","No","",1,1,"No","","no",,,,,,,
"42-85-64-91",0,1,0,0,0,0,0,0,"","No","No","No","No","No","Yes","No","No","No","No","No","Yes","Yes","Yes","No","No","",30,30,"No","","no",,,,,,,
"90-50-65-07",1,1,0,0,0,0,0,0,"","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","No","",60,2,"No","","yes","No","Yes","No","No","No","Yes","No"
"54-70-24-21",0,1,0,0,0,0,0,0,"","No","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","",10,20,"No","","no",,,,,,,
"38-66-21-90",0,1,0,0,0,0,0,0,"","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","Yes","No","No","",1,1,"No","","no",,,,,,,
"32-53-90-85",1,0,0,0,0,0,0,0,"","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","",13,13,"No","","no",,,,,,,
"67-43-43-96",0,1,0,0,0,0,0,0,"","No","No","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","No","No","Yes","No","No","",52,2,"No","","no",,,,,,,
"30-12-86-30",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","",5,5,"No","","no",,,,,,,
"18-64-04-51",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","Yes","No","Yes","No","No","No","No","Yes","No","No","",13,13,"No","","no",,,,,,,
"44-00-42-23",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","none",7,7,"No","","no",,,,,,,
"49-30-59-44",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No","No","",1,1,"No","","no",,,,,,,
"08-14-33-80",0,0,0,0,0,0,1,0,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","did not transport to buyers",.3,.3,"No","","no",,,,,,,
"03-68-26-31",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","",100,8,"No","","no",,,,,,,
"76-88-86-20",1,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","Yes","Yes","No","No","Yes","Yes","No","No","",70,5,"No","","no",,,,,,,
"41-48-09-97",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","Yes","No","Yes","No","No","No","Yes","No","No","",2,2,"No","","no",,,,,,,
"21-76-07-53",0,1,0,0,0,0,0,0,"","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","",30,30,"No","","no",,,,,,,
"01-41-01-54",0,1,0,0,0,0,0,0,"","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","No","No","Yes","No","No","",3,1,"No","","no",,,,,,,
"13-11-49-85",0,1,0,0,0,0,0,0,"","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","Yes","No","No","",30,30,"No","","no",,,,,,,
"72-37-75-96",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","",4,4,"No","","yes","No","Yes","No","No","Yes","No","No"
"71-85-96-60",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","",85,5,"No","","no",,,,,,,
"92-03-64-77",1,0,0,0,0,0,0,0,"","No","No","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","the buyer organise transport",40,40,"No","","no",,,,,,,
"33-40-16-02",0,1,0,0,0,0,0,0,"","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","",0,0,"No","","no",,,,,,,
"55-06-75-57",1,1,0,0,0,0,0,0,"","Yes","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","",45,45,"No","","no",,,,,,,
"01-05-06-43",1,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","Yes","Yes","No","No","Yes","Yes","No","No","No","",30,30,"No","","no",,,,,,,
"12-46-80-99",0,1,0,0,0,0,0,0,"","Yes","No","No","No","No","Yes","Yes","No","No","No","No","Yes","No","Yes","No","No","",60,60,"No","","no",,,,,,,
"34-76-42-19",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","",30,30,"No","","no",,,,,,,
"62-44-56-00",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","Yes","Yes","No","No","Yes","No","Yes","No","No","",32,32,"No","","no",,,,,,,
"35-05-05-79",1,0,0,0,0,0,0,0,"","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","",10,10,"No","","no",,,,,,,
"00-88-32-67",0,0,0,0,0,0,1,0,"","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","",10,15,"No","","yes","Yes","Yes","No","No","No","Yes","No"
"65-77-01-81",0,1,0,0,0,0,0,0,"","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","",52,52,"No","","no",,,,,,,
