interview__key,r_otherincome__id,inc_oth_amt,int_oth_income,who_other_income__0,who_other_income__1,who_other_income__2,othinc_pr,othinc_pr_oth,othinc_provider,othinc_provider_oth,benefits,oth_benefits,oth_income_use__1,oth_income_use__2,oth_income_use__3,oth_income_use__4,oth_income_use__5,oth_income_use__6,oth_income_use__7,oth_income_use__96,otherinc_use_others
"60-54-64-58","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",300000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,0,0,0,1,0,0,0,""
"89-99-48-67","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Monthly",1,2,.a,,"",,"",,"",3,1,0,2,0,0,0,0,""
"44-61-50-65","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",5000,"Monthly",1,.a,.a,"Older persons cash transfer","","Other➡️specify","Relatives and her children","Cash","",0,1,0,2,0,0,0,0,""
"44-61-50-65","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",24000,"Monthly",1,.a,.a,"Poverty reduction program","","National government","","Cash","",0,1,0,0,0,0,0,0,""
"12-80-78-48","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Every three months",1,.a,.a,"Others ➡️ Specify","From my children","Local county government","","Cash","",1,2,0,3,0,0,0,0,""
"12-80-78-48","Rental income, residential property (apartment, house)",50000,"Lump sum (single payment)",1,.a,.a,"Others ➡️ Specify","From neighbours","Local county government","","Cash","",3,2,0,1,0,0,0,0,""
"12-80-78-48","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",24000,"Monthly",1,.a,.a,"Poverty reduction program","","National government","","Cash","",0,2,0,1,0,0,0,0,""
"28-02-97-48","Savings, interest or other investment income",150000,"Monthly",1,.a,.a,,"",,"",,"",0,1,0,0,0,2,0,0,""
"70-19-76-68","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Every year",1,.a,.a,,"",,"",,"",0,0,0,1,0,0,0,0,""
"18-43-40-98","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Every three months",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"50-39-55-52","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",30000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"82-64-50-66","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",100000,"Every three months",2,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"82-64-50-66","Rental income, residential property (apartment, house)",50000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,0,1,0,0,0,0,0,""
"46-02-32-25","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"45-83-32-93","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",10000,"Lump sum (single payment)",1,2,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"33-22-63-71","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,1,0,0,0,2,0,0,""
"33-22-63-71","Savings, interest or other investment income",20000,"Monthly",1,.a,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"95-96-92-75","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",150000,"Every three months",1,.a,.a,,"",,"",,"",0,2,0,0,0,0,0,1,"agricultural input"
"48-48-94-57","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Monthly",1,.a,.a,,"",,"",,"",0,1,0,2,3,0,0,0,""
"03-43-60-42","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Every three months",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"58-75-54-61","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",300000,"Every three months",1,.a,.a,,"",,"",,"",0,1,2,0,0,3,0,0,""
"58-75-54-61","Savings, interest or other investment income",150000,"Monthly",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"49-89-37-09","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",300000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"76-59-40-83","Rental income, residential property (apartment, house)",20000,"Monthly",2,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"83-91-87-26","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",30000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"51-80-93-49","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",48000,"Every three months",1,.a,.a,"Poverty reduction program","","National government","","Cash","",0,1,2,3,0,0,0,0,""
"29-06-51-62","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Every year",1,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"10-22-07-48","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",600000,"Every year",1,2,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"36-41-17-07","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",26000,"Every three months",1,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"36-41-17-07","Rental income, residential property (apartment, house)",100000,"Every year",1,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"52-56-02-56","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"32-96-32-91","Savings, interest or other investment income",70000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",1,0,0,0,0,0,0,0,""
"54-77-99-69","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",60000,"Every three months",1,.a,.a,"Poverty reduction program","","Both national and local governments","","Cash","",0,1,0,0,0,0,0,0,""
"25-34-66-08","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",10000,"Every three months",1,.a,.a,"Older persons cash transfer","","National government","","Cash","",0,1,0,2,0,0,0,0,""
"25-34-66-08","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",46400,"Monthly",1,.a,.a,"Poverty reduction program","","National government","","Cash","",0,1,2,0,3,0,0,0,""
