interview__key,r_otherincome__id,inc_oth_amt,int_oth_income,who_other_income__0,who_other_income__1,who_other_income__2,othinc_pr,othinc_pr_oth,othinc_provider,othinc_provider_oth,benefits,oth_benefits,oth_income_use__1,oth_income_use__2,oth_income_use__3,oth_income_use__4,oth_income_use__5,oth_income_use__6,oth_income_use__7,oth_income_use__96,otherinc_use_others
"30-04-61-14","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",40000,"Every 6 months",2,.a,.a,"Poverty reduction program","","National government","","Cash","",2,0,0,0,0,0,0,1,"agri input"
"89-93-26-33","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",30000,"Every three months",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"89-93-26-33","Savings, interest or other investment income",480000,"Every year",1,.a,.a,,"",,"",,"",1,2,3,0,0,0,0,0,""
"16-51-24-24","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",500000,"Every three months",1,.a,.a,,"",,"",,"",0,1,3,4,2,0,0,0,""
"24-74-06-95","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",10000,"Lump sum (single payment)",2,3,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"76-24-30-21","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",30000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,2,"buying soap"
"98-24-74-63","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",100000,"Every three months",1,2,.a,,"",,"",,"",0,1,3,0,2,0,0,0,""
"98-24-74-63","Rental income, residential property (apartment, house)",15000,"Monthly",1,2,.a,,"",,"",,"",3,1,0,2,4,0,0,5,"Buying clothes for household members"
"36-81-79-37","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",60000,"Every three months",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"98-23-40-44","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,0,0,0,0,0,1,0,""
"00-67-21-61","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",500000,"Monthly",2,.a,.a,,"",,"",,"",1,2,3,4,0,0,0,0,""
"00-01-36-74","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",60000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",1,0,0,0,0,0,0,0,""
"07-23-47-52","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"66-23-65-75","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",150000,"Monthly",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,2,"agri inputs"
"34-33-60-75","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",40000,"Every three months",1,.a,.a,"Poverty reduction program","","National government","","Cash","",0,1,0,0,0,0,0,0,""
"95-30-04-02","Savings, interest or other investment income",30000,"Every three months",2,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"92-70-85-41","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",100000,"Every three months",1,.a,.a,,"",,"",,"",0,1,2,0,3,0,0,0,""
"92-70-85-41","Rental income, residential property (apartment, house)",60000,"Monthly",1,2,.a,,"",,"",,"",0,0,2,3,1,0,0,0,""
"84-79-52-42","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",10000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"62-50-68-38","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",100000,"Monthly",2,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"27-08-48-72","Other➡️specify:",40000,"Every three months",2,.a,.a,,"",,"",,"",0,2,0,1,0,0,0,0,""
"94-42-67-72","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",34000,"Every three months",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"02-53-80-77","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",80000,"Monthly",1,.a,.a,,"",,"",,"",0,1,2,0,3,0,0,0,""
"02-53-80-77","Savings, interest or other investment income",600000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,0,2,0,1,0,0,0,""
"11-91-04-75","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,2,1,0,0,0,0,0,""
"47-86-51-93","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",60000,"Every three months",1,.a,.a,"Poverty reduction program","","National government","","Cash","",0,1,2,3,0,0,0,0,""
"32-24-09-18","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",10000,"Every three months",2,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"32-24-09-18","Rental income, residential property (apartment, house)",10000,"Monthly",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"54-13-98-82","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Monthly",1,2,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"81-55-77-74","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",5000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"17-59-86-59","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Monthly",1,.a,.a,,"",,"",,"",0,1,0,2,3,0,0,0,""
"89-73-28-02","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Every 6 months",2,.a,.a,"Others ➡️ Specify","From children","National government","","Cash","",0,1,0,2,3,0,0,0,""
"89-73-28-02","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",24000,"Monthly",1,2,.a,"Poverty reduction program","","National government","","Cash","",0,1,0,2,0,0,0,0,""
"14-55-50-79","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",140000,"Every three months",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"60-36-21-40","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",100000,"Every three months",1,2,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"57-25-85-63","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",30000,"Every three months",1,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"73-98-72-78","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",100000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,2,1,3,0,0,0,0,""
"08-00-46-02","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Lump sum (single payment)",1,.a,.a,"Others ➡️ Specify","Gift from relative","Other➡️specify","I don't know","Cash","",0,1,0,0,0,0,0,0,""
"08-00-46-02","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",38000,"Every three months",1,.a,.a,"Older persons cash transfer","","Both national and local governments","","Cash","",0,1,0,2,0,0,0,0,""
"36-02-91-03","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",300000,"Lump sum (single payment)",1,.a,.a,"Older persons cash transfer","","Other➡️specify","friend","Cash","",0,1,2,0,0,0,0,0,""
"36-02-91-03","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",58000,"Every three months",2,.a,.a,"Poverty reduction program","","NGO","","Food","",0,1,0,2,0,0,0,0,""
"64-42-73-18","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Every three months",1,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"51-35-95-32","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",300000,"Every three months",2,.a,.a,,"",,"",,"",2,1,0,3,0,0,0,0,""
"45-15-07-99","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",100000,"Monthly",1,.a,.a,,"",,"",,"",0,1,3,2,4,0,0,0,""
"59-16-11-16","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",150000,"Monthly",1,.a,.a,"Poverty reduction program","","National government","","Food","",0,1,2,0,0,0,0,3,"agri inputs"
"59-16-11-16","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",96000,"Monthly",1,.a,.a,"Older persons cash transfer","","National government","","Cash","",0,1,2,0,0,0,0,0,""
"78-92-27-80","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Monthly",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"24-78-22-03","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",500000,"Monthly",1,2,.a,,"",,"",,"",0,1,2,0,0,0,0,0,""
"24-78-22-03","Savings, interest or other investment income",200000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,2,"paying hired labour"
"61-90-23-18","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",1000000,"Monthly",1,2,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"36-41-14-75","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",30000,"Monthly",1,.a,.a,"Older persons cash transfer","","Other➡️specify","From friends and relatives","Cash","",0,1,0,2,0,0,0,0,""
"36-41-14-75","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",24000,"Monthly",1,.a,.a,"Poverty reduction program","","National government","","Cash","",0,1,0,2,3,0,0,0,""
"13-30-97-65","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",50000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,0,0,0,0,0,0,1,"AGRICULTURE"
"62-39-49-91","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",150000,"Monthly",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"62-39-49-91","Savings, interest or other investment income",450000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,0,0,0,1,0,0,0,""
"37-93-31-47","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",200000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"41-29-34-43","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",100000,"Lump sum (single payment)",1,2,.a,,"",,"",,"",0,1,0,0,0,0,0,2,"agriculture activities"
"24-91-36-31","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",400000,"Monthly",1,2,.a,,"",,"",,"",0,1,0,0,0,0,0,2,"buying agri inputs"
"05-53-82-60","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",50000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,2,1,3,0,0,0,0,""
"79-66-45-07","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,0,1,0,0,0,0,0,""
"78-15-69-36","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",48000,"Every 6 months",1,.a,.a,"Older persons cash transfer","","National government","","Cash","",0,1,0,0,0,0,0,0,""
"53-49-72-57","Savings, interest or other investment income",100000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,0,0,0,0,0,0,1,"paying loans"
"64-59-07-31","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",100000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"52-44-39-84","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Monthly",1,.a,.a,"Others ➡️ Specify","From my children","National government","","Cash","",0,1,0,2,0,0,0,0,""
"52-44-39-84","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",20000,"Monthly",1,.a,.a,"Poverty reduction program","","National government","","Cash","",0,1,0,2,0,0,0,0,""
"16-25-25-05","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Every three months",1,.a,.a,"Others ➡️ Specify","From my children","National government","","Cash","",0,2,0,3,1,0,0,0,""
"16-25-25-05","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",24000,"Monthly",1,.a,.a,"Poverty reduction program","","National government","","Cash","",0,1,0,2,3,0,0,0,""
"61-27-42-98","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",100000,"Every three months",1,.a,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"47-23-15-41","Rental income, residential property (apartment, house)",300000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,0,0,1,0,0,0,0,""
"44-86-19-68","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",72000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"99-24-36-43","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",300000,"Every year",1,.a,.a,,"",,"",,"",1,2,4,3,0,0,0,0,""
"99-24-36-43","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",32000,"Every three months",1,.a,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"38-84-93-57","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Monthly",2,.a,.a,,"",,"",,"",0,0,0,0,0,0,0,1,"Labour to work on farm"
"52-85-47-82","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",200000,"Lump sum (single payment)",1,2,.a,,"",,"",,"",0,1,2,0,0,0,0,3,"agriculture activities"
"75-11-11-88","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Every three months",1,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"22-78-28-40","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",30000,"Monthly",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"25-98-64-43","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",800000,"Every year",1,2,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"04-89-61-71","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",600000,"Every year",1,.a,.a,,"",,"",,"",1,2,0,3,0,0,0,0,""
"58-73-17-40","Savings, interest or other investment income",350000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,1,2,0,0,0,0,0,""
"84-25-35-86","Savings, interest or other investment income",250000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,2,1,3,0,0,0,0,""
"53-27-67-24","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",3000000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"89-15-58-91","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",30000,"Monthly",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"86-71-54-16","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Every three months",1,2,.a,,"",,"",,"",0,1,2,0,3,0,0,0,""
"86-71-54-16","Rental income, residential property (apartment, house)",40000,"Monthly",1,2,.a,,"",,"",,"",0,1,2,0,0,0,0,0,""
"60-73-62-17","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",220000,"Every three months",1,.a,.a,,"",,"",,"",0,1,3,2,0,0,0,0,""
"16-68-23-18","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Lump sum (single payment)",1,2,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"92-13-03-64","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Every three months",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"92-13-03-64","Savings, interest or other investment income",70000,"Every three months",2,.a,.a,,"",,"",,"",0,2,0,0,1,0,0,0,""
"92-13-03-64","Rental income, residential property (apartment, house)",1680000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,4,3,2,0,0,0,""
"32-53-28-17","Rental income, residential property (apartment, house)",30000,"Monthly",2,.a,.a,,"",,"",,"",0,3,1,2,0,0,0,0,""
"86-17-31-91","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Lump sum (single payment)",3,.a,.a,,"",,"",,"",0,0,0,0,1,0,0,0,""
"47-19-77-59","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",30000,"Every three months",1,.a,.a,,"",,"",,"",0,2,0,1,0,0,0,0,""
"43-65-32-18","Savings, interest or other investment income",670000,"Lump sum (single payment)",1,.a,.a,"Others ➡️ Specify","saving  group","Other➡️specify","residential  groups","Cash","",0,0,1,0,0,0,0,0,""
"43-65-32-18","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",64000,"Every three months",2,.a,.a,"Poverty reduction program","","Both national and local governments","","Cash","",0,0,1,0,0,0,0,0,""
"20-11-50-00","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",5000,"Monthly",1,.a,.a,"Others ➡️ Specify","From my children","National government","","Cash","",0,1,3,2,0,0,0,0,""
"20-11-50-00","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",24000,"Monthly",1,.a,.a,"Poverty reduction program","","National government","","Cash","",0,1,0,0,0,0,0,0,""
"93-65-33-33","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Every three months",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"35-33-01-98","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",40000,"Monthly",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"83-02-65-23","Savings, interest or other investment income",100000,"Monthly",1,.a,.a,,"",,"",,"",0,0,0,1,0,0,0,0,""
"67-06-10-95","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",70000,"Every three months",2,.a,.a,,"",,"",,"",0,2,1,0,0,0,0,0,""
"96-49-31-22","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",500000,"Lump sum (single payment)",3,.a,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"13-05-66-13","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Monthly",1,.a,.a,,"",,"",,"",0,1,0,0,2,0,0,0,""
"13-05-66-13","Rental income, commercial (shop, store)",50000,"Monthly",1,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"67-06-61-48","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Every three months",1,.a,.a,"Healthcare benefits","","Both national and local governments","","Cash","",0,0,0,1,0,0,0,0,""
"67-06-61-48","Rental income, residential property (apartment, house)",15000,"Monthly",1,2,.a,"Others ➡️ Specify","house rent","Other➡️specify","private individuals","Cash","",0,1,0,2,0,0,0,0,""
"67-06-61-48","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",100000,"Monthly",1,.a,.a,"Pension","","National government","","Cash","",0,1,0,2,0,0,0,0,""
"89-00-56-37","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",2000000,"Monthly",2,.a,.a,,"",,"",,"",1,0,0,0,0,0,0,2,"health"
"89-00-56-37","Savings, interest or other investment income",300000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",2,3,0,0,0,0,0,1,"bought cell phone"
"94-91-64-84","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Every three months",1,.a,.a,,"",,"",,"",0,1,0,0,2,0,0,0,""
"41-54-65-45","Rental income, commercial (shop, store)",450000,"Monthly",1,2,.a,,"",,"",,"",4,1,2,3,0,0,0,0,""
"14-43-79-24","Savings, interest or other investment income",30000,"Monthly",1,2,.a,,"",,"",,"",1,2,0,0,0,0,0,0,""
"48-67-43-42","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",3000000,"Monthly",1,2,.a,,"",,"",,"",1,3,2,0,0,0,0,0,""
"46-95-07-61","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",100000,"Monthly",1,.a,.a,"Pension","","Both national and local governments","","Cash","",0,1,2,3,0,0,0,0,""
"97-29-47-65","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",400000,"Monthly",2,.a,.a,"Pension","","National government","","Cash","",0,1,0,2,0,0,0,0,""
"74-85-56-04","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",100000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"50-63-58-49","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",500000,"Every year",1,.a,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"37-89-69-52","Rental income, residential property (apartment, house)",145000,"Monthly",1,2,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"37-89-69-52","Rental income, commercial (shop, store)",1500000,"Monthly",1,2,.a,,"",,"",,"",1,0,2,3,0,0,0,0,""
"29-36-47-57","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",10000,"Every three months",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"64-03-84-99","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",70000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"49-82-95-52","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",300000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"59-43-90-91","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",10000,"Monthly",1,.a,.a,,"",,"",,"",0,2,0,0,1,0,0,0,""
"90-76-57-66","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Every three months",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"69-63-24-75","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",5000,"Monthly",2,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"98-67-98-63","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Lump sum (single payment)",1,.a,.a,"Healthcare benefits","","NGO","","Cash","",0,1,0,2,0,0,0,0,""
"98-67-98-63","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",75000,"Every three months",1,.a,.a,"Poverty reduction program","","National government","","Cash","",0,1,0,2,0,0,0,0,""
"27-72-61-17","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",200000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"27-72-61-17","Savings, interest or other investment income",400000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"27-72-61-17","Rental income, residential property (apartment, house)",150000,"Lump sum (single payment)",1,2,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"37-84-88-65","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Monthly",1,.a,.a,,"",,"",,"",0,2,1,4,3,0,0,0,""
"14-81-03-80","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Every three months",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"53-19-96-03","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Every three months",2,.a,.a,,"",,"",,"",0,0,1,0,0,0,0,0,""
"53-19-96-03","Savings, interest or other investment income",900000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,2,0,0,0,0,0,1,"buying agri inputs"
"46-19-90-07","Savings, interest or other investment income",20000,"Monthly",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"35-00-29-50","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",1000000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",1,2,0,0,0,0,0,0,""
"35-00-29-50","Savings, interest or other investment income",90000,"Lump sum (single payment)",1,2,.a,,"",,"",,"",0,0,0,0,0,0,0,1,"agriculture activities"
"62-32-74-83","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Every three months",2,3,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"38-96-93-13","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",150000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"38-96-93-13","Rental income, residential property (apartment, house)",350000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"66-94-31-99","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",30000,"Lump sum (single payment)",5,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,2,"home use"
"49-37-92-04","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",290000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,1,0,0,2,0,0,0,""
"21-55-58-12","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",100000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,0,0,0,1,0,0,0,""
"21-55-58-12","Rental income, commercial (shop, store)",150000,"Every three months",1,.a,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"12-96-07-43","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"93-06-19-65","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",1000000,"Every 6 months",1,.a,.a,,"",,"",,"",0,3,2,4,1,0,0,0,""
"11-66-34-17","Rental income, commercial (shop, store)",400000,"Monthly",2,.a,.a,,"",,"",,"",1,2,0,0,0,0,0,0,""
"56-59-99-19","Savings, interest or other investment income",50000,"Every three months",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"31-05-57-57","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",200000,"Lump sum (single payment)",1,2,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"78-11-12-15","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",50000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,0,0,0,0,0,0,1,"farming"
"46-31-75-02","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",100000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",1,2,0,3,4,0,0,0,""
"46-31-75-02","Savings, interest or other investment income",105000,"Every three months",1,.a,.a,,"",,"",,"",0,3,0,0,2,0,0,1,"I send the money to my mother for her needs and that of my daughters"
"44-58-66-87","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",400000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,3,2,0,0,0,0,""
"78-30-57-92","Savings, interest or other investment income",1000000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,1,2,3,4,0,0,0,""
"46-37-91-60","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",44000,"Every three months",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"46-37-91-60","Rental income, residential property (apartment, house)",160000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"67-68-95-71","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",300000,"Every three months",1,2,.a,,"",,"",,"",0,2,3,0,1,0,0,0,""
"40-87-67-76","Rental income, residential property (apartment, house)",500000,"Lump sum (single payment)",1,2,.a,,"",,"",,"",0,0,0,0,0,0,0,1,"agriculture activities"
"99-42-64-05","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",1500000,"Lump sum (single payment)",2,.a,.a,,"",,"",,"",0,1,3,2,0,0,0,0,""
"05-63-81-75","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",80000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,0,0,1,0,0,0,0,""
"30-58-59-34","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",200000,"Lump sum (single payment)",1,.a,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"74-41-82-14","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",15000,"Monthly",1,.a,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
