interview__key,r_buyers__id,sl_amt
"97-79-33-71","Direct buyers /open-air market","less than 20%"
"89-99-48-67","Brokers/ middleman","More than 80%"
"70-19-76-68","Direct buyers /open-air market","More than 80%"
"46-78-87-50","Brokers/ middleman","More than 80%"
"18-43-40-98","Direct buyers /open-air market","61-80%"
"50-39-55-52","Brokers/ middleman","More than 80%"
"82-64-50-66","Direct buyers /open-air market","61-80%"
"46-02-32-25","Brokers/ middleman","less than 20%"
"33-22-63-71","Direct buyers /open-air market","41-60%"
"95-96-92-75","Brokers/ middleman","less than 20%"
"03-43-60-42","Direct buyers /open-air market","less than 20%"
"58-75-54-61","Direct buyers /open-air market","61-80%"
"76-49-10-53","Direct buyers /open-air market","More than 80%"
"83-91-87-26","Brokers/ middleman","61-80%"
"51-80-93-49","Direct buyers /open-air market","less than 20%"
"51-60-71-39","Brokers/ middleman","41-60%"
"36-41-17-07","Brokers/ middleman","More than 80%"
"32-96-32-91","Brokers/ middleman","61-80%"
"29-70-97-81","Brokers/ middleman","41-60%"
"16-38-85-69","Brokers/ middleman","41-60%"
"87-75-27-62","Direct buyers /open-air market","More than 80%"
"03-56-68-20","Direct buyers /open-air market","More than 80%"
"03-56-68-20","Brokers/ middleman","less than 20%"
"96-99-31-77","Brokers/ middleman","21-40%"
"47-55-12-39","Brokers/ middleman","41-60%"
"26-14-45-15","Direct buyers /open-air market","21-40%"
"26-14-45-15","Brokers/ middleman","More than 80%"
"92-21-19-80","Direct buyers /open-air market","21-40%"
"22-09-50-57","Direct buyers /open-air market","61-80%"
"88-99-86-73","Brokers/ middleman","More than 80%"
"71-42-32-14","Direct buyers /open-air market","More than 80%"
"32-10-01-18","Brokers/ middleman","41-60%"
"22-48-15-22","Direct buyers /open-air market","More than 80%"
"06-04-90-02","Direct buyers /open-air market","41-60%"
"89-93-26-33","Brokers/ middleman","61-80%"
"16-51-24-24","Brokers/ middleman","61-80%"
"85-00-63-86","Direct buyers /open-air market","21-40%"
"24-74-06-95","Brokers/ middleman","21-40%"
"76-24-30-21","Direct buyers /open-air market","41-60%"
"56-71-52-33","Direct buyers /open-air market","61-80%"
"98-24-74-63","Brokers/ middleman","61-80%"
"33-63-66-85","Brokers/ middleman","More than 80%"
"98-23-40-44","Brokers/ middleman","21-40%"
"00-67-21-61","Brokers/ middleman","41-60%"
"51-87-88-69","Brokers/ middleman","less than 20%"
"00-01-36-74","Direct buyers /open-air market","less than 20%"
"07-23-47-52","Direct buyers /open-air market","21-40%"
"07-42-94-81","Direct buyers /open-air market","More than 80%"
"23-53-17-58","Brokers/ middleman","More than 80%"
"36-44-48-22","Brokers/ middleman","More than 80%"
"66-23-65-75","Direct buyers /open-air market","41-60%"
"94-52-36-12","Brokers/ middleman","More than 80%"
"94-14-40-52","Brokers/ middleman","21-40%"
"85-43-64-12","Brokers/ middleman","More than 80%"
"95-30-04-02","Brokers/ middleman","21-40%"
"92-70-85-41","Brokers/ middleman","41-60%"
"48-49-97-86","Brokers/ middleman","less than 20%"
"84-79-52-42","Direct buyers /open-air market","21-40%"
"62-50-68-38","Direct buyers /open-air market","41-60%"
"27-08-48-72","Brokers/ middleman","More than 80%"
"77-27-65-41","Brokers/ middleman","More than 80%"
"70-31-22-22","Brokers/ middleman","More than 80%"
"94-42-67-72","Direct buyers /open-air market","More than 80%"
"94-42-67-72","Brokers/ middleman","less than 20%"
"02-54-15-71","Brokers/ middleman","21-40%"
"02-53-80-77","Brokers/ middleman","More than 80%"
"50-80-96-28","Brokers/ middleman","More than 80%"
"11-91-04-75","Brokers/ middleman","41-60%"
"68-47-48-14","Brokers/ middleman","More than 80%"
"64-84-94-47","Direct buyers /open-air market","More than 80%"
"89-64-71-91","Brokers/ middleman","More than 80%"
"32-24-09-18","Brokers/ middleman","21-40%"
"54-13-98-82","Direct buyers /open-air market","More than 80%"
"21-11-21-29","Direct buyers /open-air market","less than 20%"
"81-55-77-74","Brokers/ middleman","21-40%"
"89-73-28-02","Brokers/ middleman","less than 20%"
"60-36-21-40","Direct buyers /open-air market","More than 80%"
"60-36-21-40","Brokers/ middleman","More than 80%"
"80-36-08-51","Brokers/ middleman","61-80%"
"48-58-14-95","Direct buyers /open-air market","21-40%"
"45-96-62-88","Brokers/ middleman","21-40%"
"36-02-91-03","Brokers/ middleman","41-60%"
"29-24-40-33","Brokers/ middleman","61-80%"
"64-42-73-18","Brokers/ middleman","More than 80%"
"56-97-76-00","Direct buyers /open-air market","More than 80%"
"37-93-28-73","Brokers/ middleman","less than 20%"
"51-35-95-32","Brokers/ middleman","More than 80%"
"32-54-58-03","Direct buyers /open-air market","less than 20%"
"45-15-07-99","Brokers/ middleman","61-80%"
"78-92-27-80","Brokers/ middleman","21-40%"
"61-90-23-18","Brokers/ middleman","61-80%"
"36-41-14-75","Brokers/ middleman","21-40%"
"13-30-97-65","Brokers/ middleman","21-40%"
"62-39-49-91","Brokers/ middleman","More than 80%"
"37-93-31-47","Brokers/ middleman","More than 80%"
"41-29-34-43","Brokers/ middleman","More than 80%"
"24-91-36-31","Direct buyers /open-air market","41-60%"
"24-91-36-31","Brokers/ middleman","41-60%"
"85-94-51-81","Brokers/ middleman","41-60%"
"05-53-82-60","Direct buyers /open-air market","21-40%"
"36-62-86-65","Brokers/ middleman","More than 80%"
"64-59-07-31","Direct buyers /open-air market","less than 20%"
"64-59-07-31","Brokers/ middleman","61-80%"
"14-20-80-15","Brokers/ middleman","less than 20%"
"67-64-28-49","Brokers/ middleman","More than 80%"
"75-72-38-92","Direct buyers /open-air market","21-40%"
"37-95-25-26","Brokers/ middleman","More than 80%"
"61-27-42-98","Brokers/ middleman","More than 80%"
"47-23-15-41","Brokers/ middleman","More than 80%"
"68-18-94-35","Brokers/ middleman","41-60%"
"93-76-84-35","Brokers/ middleman","21-40%"
"44-86-19-68","Direct buyers /open-air market","41-60%"
"44-86-19-68","Brokers/ middleman","41-60%"
"18-82-63-90","Brokers/ middleman","61-80%"
"86-57-20-12","Brokers/ middleman","More than 80%"
"38-84-93-57","Brokers/ middleman","61-80%"
"27-07-91-33","Brokers/ middleman","less than 20%"
"78-04-92-62","Brokers/ middleman","More than 80%"
"52-85-47-82","Brokers/ middleman","More than 80%"
"19-35-88-74","Brokers/ middleman","More than 80%"
"75-11-11-88","Brokers/ middleman","More than 80%"
"56-29-47-60","Direct buyers /open-air market","less than 20%"
"56-29-47-60","Brokers/ middleman","More than 80%"
"82-22-01-30","Direct buyers /open-air market","More than 80%"
"15-47-66-05","Brokers/ middleman","21-40%"
"04-89-61-71","Brokers/ middleman","less than 20%"
"58-73-17-40","Brokers/ middleman","less than 20%"
"82-66-58-84","Direct buyers /open-air market","More than 80%"
"40-67-36-34","Brokers/ middleman","More than 80%"
"84-25-35-86","Brokers/ middleman","less than 20%"
"62-42-00-50","Brokers/ middleman","61-80%"
"94-15-10-76","Brokers/ middleman","More than 80%"
"84-84-86-66","Brokers/ middleman","More than 80%"
"53-27-67-24","Brokers/ middleman","More than 80%"
