interview__key,r_shocks__id,r_shocks,sh_1,sh_2,sh_3__1,sh_3__2,sh_3__3,sh_3__4,sh_3__5,sh_3__6,sh_3__7,sh_3__8,sh_3__9,sh_3__10,sh_3__11,sh_3__12,sh_3__13,sh_3__14,sh_3__96,sh_3_oth,sh_4,sh_5,sh_6,sh_7
"26-90-05-49",1,"Chronicor Severe Illnessor Accident of a Household Member",1,"Mild",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"","Very  likely","Not very likely","Not very likely","No"
"26-90-05-49",10,"Livestock Disease/Death",12,"Mild",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"","Very  likely","Not very likely","Not at all likely","No"
"26-90-05-49",15,"Large Rise in Prices of Food",3,"Severe",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Not very likely","Not very likely","Not at all likely","No"
"66-97-67-27",1,"Chronicor Severe Illnessor Accident of a Household Member",5,"Severe",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"","Not very likely","Very  likely","Very  likely","No"
"66-97-67-27",5,"Robbery/Burglary",2,"Severe",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","Not very likely","Very  likely","Very  likely","No"
"66-97-67-27",15,"Large Rise in Prices of Food",1,"Mild",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"","Very  likely","Very  likely","Very  likely","No"
"66-97-67-27",16,"Large Rise in Prices of Agricultural Inputs(E.g.Agrochemicals,Machinery,HiredLabour)",1,"Severe",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"","Very  likely","Very  likely","Very  likely","No"
"78-48-49-89",10,"Livestock Disease/Death",1,"Severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Not very likely","Very  likely","Very  likely","No"
"98-05-66-83",7,"Drought or Extended Period of No Rain",3,"Mild",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Very  likely","Very  likely","Very  likely","No"
"98-05-66-83",10,"Livestock Disease/Death",1,"Mild",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Not very likely","Not very likely","Not very likely","No"
"78-17-71-31",1,"Chronicor Severe Illnessor Accident of a Household Member",6,"Very severe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Not very likely","Not at all likely","Not at all likely","No"
