interview__key,r_members__id,migrant_ind,migrant_current,migrant_past,migr_itt,migr_desti,migr_desti_oth,migrant_year_first,migrant_year_recent,migrant_months_no,migrant_visit,remit_amt,remit_receiver
"20-49-21-26",6,"No",,"No","No intention to migrate",,"",,,,,,
"93-19-03-86",1,"No",,"No","No intention to migrate",,"",,,,,,
"83-16-53-05",1,"No",,"No","No intention to migrate",,"",,,,,,
"83-16-53-05",2,"No",,"No","No intention to migrate",,"",,,,,,
"96-79-62-23",1,"No",,"Yes","Yes permanently migrate","Town in region","",2018,2022,,,,
"96-79-62-23",2,"No",,"Yes","Yes permanently migrate","Town in region","",2018,2022,,,,
"45-89-04-52",1,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"45-89-04-52",2,"No",,"No","No intention to migrate",,"",,,,,,
"45-89-04-52",3,"No",,"No","No intention to migrate",,"",,,,,,
"12-50-51-44",1,"No",,"No","No intention to migrate",,"",,,,,,
"12-50-51-44",2,"No",,"No","No intention to migrate",,"",,,,,,
"12-50-51-44",3,"No",,"No","No intention to migrate",,"",,,,,,
"64-36-21-26",1,"No",,"No","No intention to migrate",,"",,,,,,
"64-36-21-26",2,"No",,"No","No intention to migrate",,"",,,,,,
"64-36-21-26",3,"No",,"No","Yes permanently migrate","Town in region","",,,,,,
"64-36-21-26",4,"No",,"No","Yes temporarily migrate","Town in region","",,,,,,
"64-36-21-26",5,"No",,"No","No intention to migrate",,"",,,,,,
"64-36-21-26",9,"Yes","Yes","No",,,"",2022,2022,9,0,0,
"78-84-99-05",1,"No",,"No","No intention to migrate",,"",,,,,,
"78-84-99-05",2,"No",,"No","No intention to migrate",,"",,,,,,
"37-66-37-12",1,"No",,"No","No intention to migrate",,"",,,,,,
"37-66-37-12",2,"No",,"No","No intention to migrate",,"",,,,,,
"52-54-55-08",1,"No",,"No","No intention to migrate",,"",,,,,,
"52-54-55-08",2,"No",,"No","No intention to migrate",,"",,,,,,
"52-54-55-08",3,"Yes","Yes","No",,,"",2022,2023,9,2,0,
"52-54-55-08",4,"No",,"No","No intention to migrate",,"",,,,,,
"32-13-89-08",1,"No",,"No","No intention to migrate",,"",,,,,,
"32-13-89-08",2,"No",,"No","No intention to migrate",,"",,,,,,
"32-13-89-08",3,"No",,"No","Don’t know",,"",,,,,,
"32-13-89-08",4,"Yes","No","No",,,"",2023,2023,,,,
"32-13-89-08",5,"No",,"No","No intention to migrate",,"",,,,,,
"32-13-89-08",6,"No",,"No","No intention to migrate",,"",,,,,,
"85-25-22-09",1,"No",,"No","No intention to migrate",,"",,,,,,
"85-25-22-09",2,"No",,"No","No intention to migrate",,"",,,,,,
"85-25-22-09",3,"No",,"No","No intention to migrate",,"",,,,,,
"72-82-24-11",1,"No",,"No","No intention to migrate",,"",,,,,,
"72-82-24-11",2,"No",,"No","No intention to migrate",,"",,,,,,
"72-82-24-11",3,"No",,"No","No intention to migrate",,"",,,,,,
"36-18-65-12",1,"No",,"No","No intention to migrate",,"",,,,,,
"36-18-65-12",2,"No",,"No","No intention to migrate",,"",,,,,,
"42-45-66-86",1,"No",,"No","No intention to migrate",,"",,,,,,
"42-45-66-86",3,"No",,"No","No intention to migrate",,"",,,,,,
"42-45-66-86",4,"No",,"No","No intention to migrate",,"",,,,,,
"42-45-66-86",5,"No",,"No","No intention to migrate",,"",,,,,,
"44-14-86-31",1,"No",,"No","No intention to migrate",,"",,,,,,
