interview__key,r_infu__id,as07__1,as07__2,as07__3,as07__4,as07__5,as07__6,as07__7,as07__8,as07__9,as07__96,as07__n88,as07__n99,as07_oth,network_mostinf_gender,network_mostinf_eth,network_eth_oth,network_mostinf_agegrp,as08,as09
"23-16-40-98",3,"No","No","No","No","No","Yes","No","No","Yes","No","No","No",,"Men","Hehe","","In their 40s",3,3
"83-29-00-04",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Hehe","","In their 50s",15,0
"83-29-00-04",2,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Women","Other, Specify","mkinga","In their 40s",5,0
"83-29-00-04",3,"Yes","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Hehe","","In their 50s",20,0
"39-46-43-34",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Hehe","","In their 50s",4,0
"39-46-43-34",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Hehe","","In their 50s",3,0
"39-46-43-34",3,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Women","Hehe","","In their 40s",3,1
"83-88-85-49",1,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Hehe","","In their 60s",2,2
"83-88-85-49",2,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Hehe","","In their 40s",2,2
"83-88-85-49",3,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Hehe","","In their 50s",1,1
"86-33-34-77",1,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Women","Other, Specify","kinga","&gt;70",20,12
"86-33-34-77",2,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Women","Bena","","&gt;70",15,7
"86-33-34-77",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Hehe","","In their 50s",14,5
"85-40-54-06",1,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Hehe","","In their 40s",2,0
"85-40-54-06",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Hehe","","In their 50s",20,10
"85-40-54-06",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Hehe","","In their 60s",10,4
"99-20-43-65",1,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Women","Hehe","","In their 40s",4,4
"99-20-43-65",2,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Hehe","","In their 30s",3,3
"99-20-43-65",3,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Hehe","","In their 50s",2,0
"84-47-44-08",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Women","Hehe","","In their 60s",12,5
"84-47-44-08",2,"No","No","No","No","No","Yes","No","No","Yes","No","No","No",,"Women","Hehe","","In their 40s",10,5
"84-47-44-08",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Hehe","","In their 40s",7,7
