interview__key,lnd_mes,lnd_mes_1,lnd01,lnd02,lnd03,lnd04,lnd08,lnd09,lnd06,lnd_ten01,lnd_ten02,lnd_ten03,lnd_ten04,lnd_ten08,lnd_ten09,lnd_ten06,lnd_07,lnd_08,lnd_08_1,lnd_09,lnd_09_1,lnd_10,lnd_11,lnd_12,lnd_13__1,lnd_13__2,lnd_13__3,lnd_13__4,lnd_13__5,lnd_13__6,lnd_13__7,lnd_13__8,lnd_13__9,lnd_13__10,lnd_13__96,lnd_13_oth,f01,f03,f04__1,f04__2,f04__3,f04__96,f04_1,f05,lnd_14,lnd_15,lnd_16,lnd_17,lnd_18,lnd_18_oth,num_plots,more_plot,more_plot_explain
"88-65-02-29","Acres","",3,0,0,0,.25,0,0,"Private owned with no land title",,,,"Private owned with land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Slight decrease","Slight decrease","No",,,"",1,"No","They have no more energy to farm or own another settlement they are satisfied"
"04-34-31-80","Acres","",1,1,0,0,.125,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",1,"No","she doesn't have a reason"
"91-55-85-33","Acres","",.5,0,0,0,.25,0,0,"Private owned with land title",,,,"Private owned with land title",,,"No",,"",,"",,"unlikely","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,7,"Slight decrease","Massive decrease","No",,,"",1,"Yes","TO INCREASE PRODUCTION"
"40-53-56-12","Acres","",1,0,0,0,2,0,0,"Private owned with land title",,,,"Private owned with land title",,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,2,"Massive decrease","Massive decrease","No",,,"",2,"Yes","agriculture"
"27-46-53-11","Acres","",1,0,0,0,.25,0,0,"Private owned with land title",,,,"Private owned with no land title",,,"Yes","Other individuals","","Tried to sort out ourselves","","Yes","Likely","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes",,"No",,,,,,,4,"The same","Slight decrease","No",,,"",2,"Yes","for agricultural  activities"
"08-92-74-48","Acres","",5,0,0,0,0,0,0,"Private owned with land title",,,,,,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",1,"Yes","TO INCREASE PRODUCTION"
"59-22-70-12","Acres","",2.5,2.5,20,0,.125,0,0,"Private owned with no land title","Private owned with no land title","Private owned with land title",,"Private owned with land title",,,"No",,"",,"",,"Likely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",2,"Yes","For building house and for agriculture"
"02-60-78-89","Acres","",2,0,0,0,.25,0,0,"Private owned with no land title",,,,"Private owned with land title",,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,3,"Slight decrease","Slight decrease","Yes",4000000,"Bank","",0,"Yes","Settlement and Farming"
"16-17-09-10","Acres","",3,0,0,0,.75,0,0,"Private owned with no land title",,,,"Private owned with land title",,,"No",,"",,"",,"Very unlikely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",2,"No","I have no capital to purchase or rent other farm"
"04-43-83-44","Acres","",8,0,0,0,.25,0,0,"Private owned with land title",,,,"Private owned with land title",,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,20,"Slight decrease","Massive decrease","No",,,"",5,"Yes","For agricultural purposes"
"35-46-63-78","Acres","",1,0,0,0,0,0,0,"Private owned with land title",,,,,,,"No",,"",,"",,"Very unlikely","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,6,"Slight decrease","Slight decrease","No",,,"",1,"Yes","Settlement and farming"
"78-47-97-25","Acres","",30,0,0,0,.125,0,0,"Private owned with land title",,,,"Private owned with no land title",,,"Yes","Other individuals","","Tried to sort out ourselves","","Yes","Very unlikely","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","No",,"Yes",6,"Yes","No","No","No",,50,"Massive decrease","Massive decrease","No",,,"",5,"Yes","crop cultivation"
"19-28-85-33","Acres","",5,0,0,0,.5,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"Yes","Other individuals","","Tried to sort out ourselves","","Yes","Maybe, maybe not","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No",,"Yes",3,"Yes","No","No","No",,0,"Massive decrease","Massive decrease","No",,,"",3,"Yes","crop cultivation"
"37-69-53-39","Acres","",6,4,0,0,1,0,0,"Private owned with land title","Private owned with land title",,,"Private owned with no land title",,,"No",,"",,"",,"Maybe, maybe not","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No",,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",2,"No","land is enough"
"34-87-20-64","Acres","",2,0,0,0,.5,0,0,"Private owned with land title",,,,"Private owned with land title",,,"No",,"",,"",,"Maybe, maybe not","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",1,"No","I have no money"
"36-80-61-02","Acres","",3,0,0,0,.25,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",2,"No","am old can't farm more land"
"86-69-42-68","Acres","",1,7,0,0,1.5,0,0,"Private owned with land title","Private owned with land title",,,"Private owned with land title",,,"Yes","Other individuals","","Village headman / chairperson","","Yes","Very unlikely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",1,"No","too old"
"20-42-84-32","Acres","",1,0,1.5,0,.5,0,0,"Leased/rented",,"Private owned with no land title",,"Private owned with no land title",,,"No",,"",,"",,"Maybe, maybe not","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",1,"Yes","for agricultural purposes"
"80-28-03-90","Acres","",2,4,0,0,.25,0,0,"Private owned with land title","Private owned with land title",,,"Private owned with land title",,,"Yes","Within family","","Clan / Elder","","No","unlikely","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","No",,"No",,,,,,,13,"Massive decrease","Massive decrease","No",,,"",2,"Yes","agriculture"
"76-65-87-56","Acres","",2,2,0,0,.5,0,0,"Leased/rented","Leased/rented",,,"Private owned with land title",,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",0,"No","Increase of population"
"32-43-86-95","Acres","",3.25,0,0,0,.25,0,0,"Private owned with land title",,,,"Private owned with land title",,,"No",,"",,"",,"unlikely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",2,"Yes","TO INCREASE PRODUCTION"
"88-70-65-41","Acres","",4,0,0,0,.5,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"Yes","Other individuals","","Nowhere","","No","Very likely","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,30,"Massive decrease","Massive decrease","No",,,"",2,"Yes","To invest for the children's"
"76-49-57-67","Acres","",4,0,0,0,.5,0,0,"Private owned with land title",,,,"Private owned with land title",,,"Yes","Other individuals","","LC Court","","No","Likely","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","No",,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",2,"Yes","agriculture"
"79-79-17-52","Acres","",1,0,0,0,.25,0,3,"Private owned with land title",,,,"Private owned with land title",,"Private owned with land title","Yes","Other individuals","","Village headman / chairperson","","No","Likely","No",,,,,,,,,,,,,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",3,"No","they are far away"
"53-44-93-49","Acres","",1.5,0,0,0,.25,0,0,"Private owned with land title",,,,"Private owned with land title",,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",0,"Yes","agriculture."
"65-67-08-82","Acres","",1,0,0,0,.5,0,0,"Leased/rented",,,,"Private owned with land title",,,"No",,"",,"",,"unlikely","Yes","No","Yes","Yes","No","No","No","Yes","No","No","No","No",,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",0,"Yes","crop cultication and house construction"
"43-85-20-59","Acres","",3,7,0,0,.25,0,0,"Private owned with land title","Private owned with land title",,,"Private owned with land title",,,"Yes","Other individuals","","LC Court","","No","Very likely","No",,,,,,,,,,,,,"No",,,,,,,6,"Slight increase","Slight increase","No",,,"",3,"No","Lack of purchasing power"
