interview__key,h02,h03,h03_oth,h04,h04_oth,h05,h05_oth,h06,h06_oth,h07,h07_oth
"32-33-62-20",2,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Uncovered pit latrine",""
"36-53-13-35",3,"Iron sheets","","Other➡️ Please specify","burnt bricks","Sand","","Piped water (house or public)","","Covered pit latrine without a slab",""
"84-76-53-05",4,"Iron sheets","","Other➡️ Please specify","Burnt bricks with mud","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Covered pit patrine with slab",""
"43-02-03-01",3,"Thatched grass","","Unburnt bricks with mud","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Covered pit latrine without a slab",""
"11-80-97-44",4,"Iron sheets","","Other➡️ Please specify","bricks with mud and cement","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Covered pit latrine without a slab",""
"76-93-73-76",4,"Iron sheets","","Other➡️ Please specify","burnt  bricks","Cement screed","","Piped water (house or public)","","VIP latrine",""
"65-71-79-01",3,"Iron sheets","","Unburnt bricks with mud","","Smooth earth (soil)","","Piped water (house or public)","","Uncovered pit latrine",""
"76-37-92-47",4,"Iron sheets","","Other➡️ Please specify","burnt bricks","Cement screed","","Piped water (house or public)","","Covered pit latrine without a slab",""
"70-40-73-54",3,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Covered pit patrine with slab",""
"88-42-92-11",3,"Iron sheets","","Other➡️ Please specify","burnt brick with mud","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit patrine with slab",""
"37-29-80-51",3,"Iron sheets","","Other➡️ Please specify","burnt bricks with mud","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit patrine with slab",""
"50-63-32-01",5,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit latrine without a slab",""
"46-39-02-59",3,"Iron sheets","","Unburnt bricks with mud","","Cement screed","","Protected (borehole protected well public taps rain water)","","Uncovered pit latrine",""
"62-41-43-18",5,"Iron sheets","","Other➡️ Please specify","burnt bricks with mud","Sand","","Protected (borehole protected well public taps rain water)","","Flush toilet",""
"28-20-80-35",7,"Iron sheets","","Bricks with cement","","Cement screed","","Protected (borehole protected well public taps rain water)","","Flush toilet",""
"56-49-64-65",3,"Thatched grass","","Unburnt bricks with mud","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Covered pit latrine without a slab",""
"56-98-22-95",4,"Iron sheets","","Other➡️ Please specify","Burnt bricks with","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"68-55-46-57",4,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"42-72-39-66",5,"Iron sheets","","Other➡️ Please specify","bricks with mud and cement","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Covered pit patrine with slab",""
"92-09-40-22",3,"Iron sheets","","Unburnt bricks with mud","","Smooth earth (soil)","","Piped water (house or public)","","Covered pit latrine without a slab",""
"95-71-61-75",5,"Iron sheets","","Other➡️ Please specify","Burnt bricks with mud","Sand","","Unprotected source (well spring river lake tank truck)","","Covered pit patrine with slab",""
"78-85-83-34",4,"Iron sheets","","Unburnt bricks with mud","","Smooth earth (soil)","","Piped water (house or public)","","Covered pit latrine without a slab",""
"88-65-02-29",3,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"04-34-31-80",5,"Iron sheets","","Other➡️ Please specify","bricks with mud and cement","Smooth earth (soil)","","Piped water (house or public)","","Covered pit latrine without a slab",""
"91-55-85-33",3,"Iron sheets","","Unburnt bricks with mud","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Uncovered pit latrine",""
"40-53-56-12",3,"Thatched grass","","Unburnt bricks with mud","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Uncovered pit latrine",""
"27-46-53-11",1,"Iron sheets","","Other➡️ Please specify","burnt bricks with Cement","Cement screed","","Unprotected source (well spring river lake tank truck)","","Flush toilet",""
"08-92-74-48",3,"Iron sheets","","Bricks with cement","","Smooth earth (soil)","","Piped water (house or public)","","Uncovered pit latrine",""
"59-22-70-12",4,"Iron sheets","","Other➡️ Please specify","bricks with mud and cement","Smooth earth (soil)","","Piped water (house or public)","","Covered pit latrine without a slab",""
"02-60-78-89",3,"Iron sheets","","Bricks with cement","","Ceramic or other tiles","","Piped water (house or public)","","Flush toilet",""
"16-17-09-10",3,"Iron sheets","","Other➡️ Please specify","burnt brick","Sand","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"04-43-83-44",2,"Iron sheets","","Unburnt bricks with mud","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"35-46-63-78",3,"Iron sheets","","Bricks with cement","","Ceramic or other tiles","","Piped water (house or public)","","Flush toilet",""
"78-47-97-25",5,"Iron sheets","","Other➡️ Please specify","burnt brick with mud","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Uncovered pit latrine",""
"19-28-85-33",4,"Iron sheets","","Unburnt bricks with mud","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Covered pit latrine without a slab",""
"37-69-53-39",8,"Iron sheets","","Concrete","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Covered pit patrine with slab",""
"34-87-20-64",2,"Thatched grass","","Unburnt bricks with mud","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"36-80-61-02",2,"Iron sheets","","Other➡️ Please specify","burnt brick with mud","Sand","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"86-69-42-68",4,"Iron sheets","","Bricks with cement","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Uncovered pit latrine",""
"20-42-84-32",5,"Iron sheets","","Bricks with cement","","Cement screed","","Protected (borehole protected well public taps rain water)","","Flush toilet",""
"80-28-03-90",5,"Iron sheets","","Unburnt bricks with mud","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"76-65-87-56",3,"Iron sheets","","Other➡️ Please specify","Bricks with mud","Cement screed","","Piped water (house or public)","","Covered pit latrine without a slab",""
"32-43-86-95",3,"Iron sheets","","Bricks with cement","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Flush toilet",""
"88-70-65-41",5,"Iron sheets","","Unburnt bricks with mud","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"76-49-57-67",4,"Iron sheets","","Bricks with cement","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit patrine with slab",""
"79-79-17-52",3,"Iron sheets","","Unburnt bricks with mud","","Smooth earth (soil)","","Piped water (house or public)","","Covered pit patrine with slab",""
"53-44-93-49",3,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Uncovered pit latrine",""
"65-67-08-82",1,"Thatched grass","","Unburnt bricks with mud","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit patrine with slab",""
"43-85-20-59",4,"Iron sheets","","Unburnt bricks with mud","","Smooth earth (soil)","","Piped water (house or public)","","Covered pit patrine with slab",""
"11-14-22-98",3,"Iron sheets","","Unburnt bricks with mud","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"31-06-08-24",6,"Iron sheets","","Unburnt bricks with mud","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Flush toilet",""
"01-43-23-45",5,"Iron sheets","","Other➡️ Please specify","burnt brick with mud","Cement screed","","Protected (borehole protected well public taps rain water)","","Uncovered pit latrine",""
"45-46-82-37",3,"Iron sheets","","Unburnt bricks with mud","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Covered pit latrine without a slab",""
"11-87-22-26",3,"Iron sheets","","Unburnt bricks with mud","","Smooth earth (soil)","","Piped water (house or public)","","Uncovered pit latrine",""
"13-55-89-83",5,"Iron sheets","","Bricks with cement","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Flush toilet",""
"34-71-86-92",6,"Iron sheets","","Other➡️ Please specify","burnt brick with cement","Cement screed","","Piped water (house or public)","","Flush toilet",""
"59-34-02-76",6,"Iron sheets","","Other➡️ Please specify","burnt brick with mud","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Uncovered pit latrine",""
"94-38-09-90",3,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Uncovered pit latrine",""
"78-25-48-01",3,"Iron sheets","","Bricks with cement","","Cement screed","","Protected (borehole protected well public taps rain water)","","Covered pit patrine with slab",""
"46-93-32-00",2,"Iron sheets","","Other➡️ Please specify","Burnt bricks with mud","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"12-39-85-61",6,"Iron sheets","","Other➡️ Please specify","burnt bricks with mud","Sand","","Piped water (house or public)","","VIP latrine",""
"28-05-35-45",4,"Iron sheets","","Unburnt bricks with mud","","Smooth earth (soil)","","Piped water (house or public)","","Flush toilet",""
"30-60-59-31",4,"Iron sheets","","Bricks with cement","","Cement screed","","Unprotected source (well spring river lake tank truck)","","Flush toilet",""
"47-75-15-04",2,"Iron sheets","","Other➡️ Please specify","Burnt bricks with mud","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Covered pit patrine with slab",""
"53-29-56-16",1,"Thatched grass","","Mud with poles","","Sand","","Unprotected source (well spring river lake tank truck)","","Uncovered pit latrine",""
"35-42-89-22",4,"Iron sheets","","Bricks with cement","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","Covered pit patrine with slab",""
"88-29-43-39",2,"Iron sheets","","Unburnt bricks with mud","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Covered pit patrine with slab",""
"59-28-36-67",2,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Uncovered pit latrine",""
"86-03-36-52",5,"Iron sheets","","Other➡️ Please specify","burnt bricks","Sand","","Protected (borehole protected well public taps rain water)","","Covered pit latrine without a slab",""
"23-49-64-16",5,"Iron sheets","","Other➡️ Please specify","bricks with mud","Cement screed","","Unprotected source (well spring river lake tank truck)","","Uncovered pit latrine",""
"08-79-12-23",4,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"26-41-89-58",4,"Iron sheets","","Other➡️ Please specify","bricks with mud","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Uncovered pit latrine",""
"68-77-96-37",4,"Iron sheets","","Unburnt bricks with mud","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"52-83-38-94",8,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"67-08-14-84",6,"Iron sheets","","Other➡️ Please specify","Burnt bricks with mud","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Covered pit patrine with slab",""
"43-44-83-36",2,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","Uncovered pit latrine",""
"97-03-37-68",3,"Iron sheets","","Unburnt bricks with mud","","Smooth earth (soil)","","Piped water (house or public)","","Uncovered pit latrine",""
"26-04-46-11",3,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Uncovered pit latrine",""
"64-89-33-44",3,"Iron sheets","","Other➡️ Please specify","burnt bricks with mud","Cement screed","","Piped water (house or public)","","Flush toilet",""
"09-37-28-22",2,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Covered pit latrine without a slab",""
"11-87-63-69",5,"Iron sheets","","Bricks with cement","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","Covered pit latrine without a slab",""
"21-48-73-26",4,"Iron sheets","","Other➡️ Please specify","burnt bricks with mud","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","VIP latrine",""
"95-62-47-68",5,"Thatched grass","","Other➡️ Please specify","bricks with mud","Smooth earth (soil)","","Piped water (house or public)","","Uncovered pit latrine",""
