interview__key,as_loc01_in,as_loc02_in,as_loc03_in,as_loc04_in,as_loc05_in,as_loc06_in,as_loc07_in,as_loc08_in,as_loc09_in,as_loc10_in,as_loc11_in,as_loc12_in,as_loc13_in,as_loc14_in,as_loc15_in,as_loc16_in,trst01,trst02,trst03,trst04,trst05,exp_ev1_01,exp_ev1_03,exp_ev1_05,exp_ev1_06,exp_ev1_07,exp_ev1_11,exp_ev1_12,exp_ev1_13,exp_ev1_14,exp_ev1_15
"01-41-01-54","Agree","Strongly agree","Strongly disagree","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Agree","Agree","Indifferent (neither nor)","Strongly agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Disagree","distrust","indifferent","distrust","distrust","trust","Not at all worried","Slightly worried","Not at all worried","Worried","Slightly worried","Not at all worried","Worried","Worried","Not at all worried","Not at all worried"
"13-11-49-85","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Strongly agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","trust","trust","trust","Not at all worried","Slightly worried","Slightly worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"72-37-75-96","Agree","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Worried","Worried","Not at all worried","Not at all worried","Not at all worried","Worried","Worried","Not at all worried","Not at all worried","Not at all worried"
"71-85-96-60","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Agree","distrust","indifferent","trust","trust","distrust","Slightly worried","Slightly worried","Not at all worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried"
"92-03-64-77","Indifferent (neither nor)","Strongly agree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Strongly disagree","Strongly disagree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Indifferent (neither nor)","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","trust","strongly trust","indifferent","indifferent","indifferent","Slightly worried","Worried","Slightly worried","Not at all worried","Not at all worried","Very worried","Very worried","Not at all worried","Worried","Not at all worried"
"33-40-16-02","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Worried","Worried","Not at all worried","Worried","Worried","Worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"55-06-75-57","Agree","Strongly agree","Agree","Indifferent (neither nor)","Agree","Agree","Disagree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Disagree","Agree","Agree","distrust","indifferent","indifferent","indifferent","indifferent","Not at all worried","Not at all worried","Not at all worried","Worried","Not at all worried","Not at all worried","Worried","Not at all worried","Not at all worried","Worried"
"01-05-06-43","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","strongly trust","strongly trust","trust","strongly trust","strongly trust","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"12-46-80-99","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","trust","strongly trust","trust","trust","trust","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Not at all worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried"
"34-76-42-19","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","trust","trust","distrust","Not at all worried","Slightly worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
