interview__key,lndprep__1,lndprep__2,lndprep__3,lndprep__4,cp021__1,cp021__2,cp021__3,cp021_source__1,cp021_source__2,cp021_source__3,cp021_source__4,cp021_source__5,cp021_source__6,cp021_source__96,cp021_source_other,cp_plantdays,cp_weedays,cp_hvstdays,cp_lbrdays,irr_train,cp026__1,cp026__2,cp026__3,cp026__4,cp026__5,cp026__6,cp026__7,cp026__96,cp026_oth,cp028,cp028_inst__1,cp028_inst__2,cp028_inst__3,cp028_inst__4,cp028_inst__5,cp028_inst__6,cp028_inst__7,cp029,cp030,cp031,cp032,crop_residue__1,crop_residue__2,crop_residue__3,crop_residue__4,crop_residue__5,crop_residue__96
"40-08-15-69",1,0,0,0,"No","Yes","No",,,,,,,,,2,4,2,10,2,"No","Yes","No","No","Yes","Yes","No","No",,,,,,,,,,,,,,0,0,1,0,0,0
"40-09-03-46",0,1,0,0,"Yes","No","No",,,,,,,,,2,4,14,4,0,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0
"88-78-79-65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72-36-26-24",0,1,0,0,"Yes","No","No",,,,,,,,,1,2,2,3,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"07-13-49-69",0,1,0,0,"Yes","No","No",,,,,,,,,3,14,18,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"02-58-47-09",0,1,0,0,"Yes","No","No",,,,,,,,,4,6,2,8,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0
"22-68-37-41",0,1,0,0,"Yes","No","No",,,,,,,,,4,14,2,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"75-57-77-41",0,1,0,0,"Yes","No","No",,,,,,,,,1,7,1,1,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"04-02-68-66",0,1,0,0,"Yes","No","No",,,,,,,,,3,15,2,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0
"02-25-96-16",0,1,0,0,"Yes","No","No",,,,,,,,,1,14,5,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0
"48-71-75-24",0,1,0,0,"No","Yes","No",,,,,,,,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0
"81-80-02-23",0,1,0,0,"No","Yes","No",,,,,,,,,1,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"42-14-73-23",0,1,0,0,"Yes","No","No",,,,,,,,,5,3,21,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0
"76-93-41-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"95-12-78-81",0,1,0,0,"No","Yes","No",,,,,,,,,5,30,4,0,1,"Yes","Yes","Yes","No","No","Yes","No","No",,,,,,,,,,,,,,0,0,0,1,0,0
"20-49-21-26",0,1,0,0,"Yes","No","No",,,,,,,,,14,7,1,1,0,,,,,,,,,,,"No","No","No","No","No","No","Yes",,,,,0,0,1,0,0,0
"93-19-03-86",0,1,0,0,"No","Yes","No",,,,,,,,,2,7,15,0,1,"Yes","Yes","No","No","No","No","No","No",,,,,,,,,,,,,,0,0,0,1,0,0
"83-16-53-05",0,1,0,0,"No","Yes","No",,,,,,,,,1,3,1,3,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0
"96-79-62-23",0,1,0,0,"Yes","No","No",,,,,,,,,3,14,10,0,1,"No","Yes","Yes","Yes","No","Yes","No","No",,,"No","No","No","No","No","No","Yes",,,,,0,1,0,0,0,0
"45-89-04-52",0,1,0,0,"Yes","Yes","No",,,,,,,,,2,4,1,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"12-50-51-44",0,1,0,0,"Yes","No","No",,,,,,,,,2,4,3,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"64-36-21-26",0,1,0,0,"No","Yes","No",,,,,,,,,7,21,9,3,0,,,,,,,,,,,"No","No","No","Yes","No","No","No",,,,,0,0,0,1,0,0
"78-84-99-05",0,1,0,0,"No","Yes","No",,,,,,,,,7,2,14,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0
"37-66-37-12",0,1,0,0,"Yes","Yes","No",,,,,,,,,2,4,12,1,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0
"52-54-55-08",0,1,0,0,"Yes","No","No",,,,,,,,,1,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0
"32-13-89-08",0,1,0,0,"Yes","No","Yes","No","No","Yes","No","No","No","No",,7,9,6,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"85-25-22-09",0,1,0,0,"Yes","No","No",,,,,,,,,5,4,7,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"72-82-24-11",0,1,0,0,"Yes","No","No",,,,,,,,,7,20,1,1,0,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0
"36-18-65-12",0,1,0,0,"Yes","No","No",,,,,,,,,3,18,1,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"42-45-66-86",0,1,0,0,"Yes","No","No",,,,,,,,,2,7,9,1,0,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0
"44-14-86-31",0,1,0,0,"Yes","No","No",,,,,,,,,4,2,3,0,2,"Yes","Yes","No","No","No","No","No","No",,,,,,,,,,,,,,0,0,1,0,0,0
"84-19-29-35",0,1,0,0,"Yes","No","No",,,,,,,,,3,18,12,39,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0
"39-19-67-67",0,1,0,0,"Yes","Yes","No",,,,,,,,,3,6,3,10,1,"Yes","Yes","No","No","No","No","No","No",,,"No","No","No","No","No","No","Yes",,,,,0,1,0,0,0,0
"43-82-97-85",0,1,0,0,"Yes","No","No",,,,,,,,,3,3,1,7,1,"No","Yes","No","No","No","No","No","No",,,"No","No","No","No","No","No","Yes",,,,,0,0,1,0,0,0
