interview__key,r_forset_product__id,fstqty,fstpdt_unt,fstpdt_unt_oth,fstpdt_sl,fstpdt_slqty,fstpdt_slunit,fstpdt_slunit_oth,fstpdt_slpssd,fstpdt_slprc,fstpdt_exp,fstpdt_expamt,fstpdt_ch,fstpdt_ch2,f027,f028
"61-93-54-26","Firewood",100,"Bale / Bundle","","No",,,"",,,"No",,"The same","Massive decrease","",""
"61-93-54-26","Sand, stone, mud",1,"Canter","","No",,,"",,,"No",,"The same","Massive decrease","",""
"51-95-58-91","Tea leaves",1,"Kilograms","","No",,,"",,,"No",,"The same","The same","",""
"51-95-58-91","Mushrooms",2,"Liters","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","climate change"
"32-49-75-13","Firewood",54,"Bunches","","No",,,"",,,"No",,"The same","The same","",""
"32-49-75-13","Tea leaves",1,"Debe","","No",,,"",,,"No",,"The same","The same","",""
"68-39-51-63","Firewood",3,"Bunches","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","population increase"
"71-91-68-16","Firewood",520,"Kilograms","","No",,,"",,,"No",,"Massive increase","Slight decrease","There was no deforestation back then.",""
"71-91-68-16","Mushrooms",5,"Kilograms","","No",,,"",,,"No",,"Massive increase","Massive decrease","There is no rain hence no mushrooms are found.",""
"69-63-50-52","Firewood",96,"Bale / Bundle","","Yes",20,"Bale / Bundle","","No",2000,"No",,"Slight decrease","Massive decrease","","population  increase"
"69-63-50-52","Mushrooms",20,"Liters","","Yes",5,"Liters","","No",500,"No",,"Massive decrease","Massive decrease","","population increase"
"20-96-52-92","Firewood",96,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","increase of agriculture activities"
"20-96-52-92","Mushrooms",1,"Debe","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","shortage of rainfall"
"37-33-23-29","Firewood",108,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","drought condition due to deforestation"
"37-33-23-29","Sand, stone, mud",62,"Debe","","No",,,"",,,"Yes",80000,"Slight decrease","Massive decrease","","mass contruction of buildings"
"55-09-60-79","Firewood",192,"Bale / Bundle","","Yes",48,"Bale / Bundle","","No",1500,"No",,"Slight decrease","Massive decrease","","cutting of trees and  most of Peoples dont plant trees"
"55-09-60-79","Mushrooms",1,"Debe","","No",,,"",,,"No",,"The same","The same","",""
"85-93-95-50","Firewood",108,"Bunches","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","forest clearance"
"85-93-95-50","Wild fruits",1,"Debe","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Land clearance"
"85-93-95-50","Tea leaves",20,"Kilograms","","No",,,"",,,"No",,"The same","The same","",""
"85-93-95-50","Honey",1,"Kilograms","","No",,,"",,,"No",,"The same","The same","",""
"97-19-27-00","Firewood",48,"Bunches","","No",,,"",,,"No",,"The same","The same","",""
"60-48-30-05","Firewood",54,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","competition among firewood users"
"80-01-40-08","Firewood",120,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","cutting of trees"
"29-52-09-79","Firewood",162,"Bunches","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","most of land are now owned privately"
"07-76-06-35","Firewood",50,"Bunches","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","increase in population"
"99-26-76-45","Firewood",96,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","population increase"
"99-26-76-45","Wild fruits",10,"Liters","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","population  increase"
"99-26-76-45","Mushrooms",1,"Debe","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","population increase"
"91-46-41-86","Firewood",3,"Bunches","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","population increase"
"91-46-41-86","Mushrooms",3,"Liters","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","deforestation"
"67-86-22-06","Firewood",108,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"67-86-22-06","Wild fruits",54,"Numbers","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","cutting down fruit trees"
"98-64-51-77","Firewood",54,"Wheelbarrow","","No",,,"",,,"Yes",15000,"Slight decrease","Massive decrease","","lack of farms with trees due to deforestation"
"98-64-51-77","Wild fruits",5,"Kilograms","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","changes in climatic conditions"
"83-59-27-80","Firewood",52,"Bunches","","No",,,"",,,"No",,"The same","The same","",""
"12-54-62-85","Firewood",336,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","decrease of forests"
"12-54-62-85","Mushrooms",1,"Debe","","No",,,"",,,"No",,"The same","The same","",""
"45-06-90-36","Firewood",30,"Bunches","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","DEFORESTATION"
"24-42-82-26","Firewood",144,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","increasing of agriculture activities"
"04-24-78-04","Firewood",48,"Bunches","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","DEFORESTATION"
"83-44-01-42","Firewood",162,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","most of areas are now agricultural land"
"55-32-62-10","Firewood",108,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","increased human population and needs foa agricultural land"
"16-97-28-87","Firewood",20,"Bunches","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","DEFORESTATION"
"79-79-53-26","Firewood",60,"Bunches","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","DEFORESTATION"
"86-05-40-89","Firewood",50,"Bunches","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","DEFORESTATION"
"86-05-40-89","Mushrooms",2,"Debe","","Yes",2,"Debe","","No",500,"No",,"Massive decrease","Massive decrease","","CLIMATE CHANGE"
"06-02-25-50","Firewood",275,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","land clearance"
"06-02-25-50","Wild fruits",5,"Kilograms","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Land clearance"
"06-02-25-50","Medicinal plants",1,"Debe","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Agriculture activities"
"06-02-25-50","Tea leaves",1,"Debe","","No",,,"",,,"No",,"The same","The same","",""
"07-64-12-97","Firewood",3,"Bunches","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","population increase"
"07-64-12-97","Mushrooms",12,"Liters","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","slashing of the forests due to population increase"
"67-73-53-75","Firewood",40,"Bunches","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","DEFORESTATION"
"96-07-74-28","Firewood",156,"Debe","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","increase of agricultural activities"
"96-07-74-28","Wild fruits",1,"Debe","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","deforestation"
