country,interview_key,district,respondant_relation_to_head,members_id,gender,relation_to_head,age,education_level,farm_empl_last_12_months,farm_empl_cash_crops_days_per_week,farm_empl_cash_crops_hours_per_day,farm_empl_food_crops_days_per_week,farm_empl_food_crops_hours_per_day,farm_empl_crops_years_experience_in_years,farm_empl_livestock_years_experience_in_years,sector_off_farm_empl_last_12_months,empl_type,self_empl_duration_in_months,self_empl_days_per_week,self_empl_hours_per_day,self_empl_motivation_others_success,self_empl_motivation_unemployment,self_empl_motivation_insufficient_income_1,self_empl_motivation_insufficient_income_2,self_empl_motivation_insufficient_income_3,self_empl_motivation_inherited_business,self_empl_years_experience_in_years,wage_empl_location,wage_empl_type,wage_empl_permament_wage_per_month,wage_empl_permament_days_per_week,wage_empl_permament_hours_per_day,wage_empl_seasonal_wage,wage_empl_seasonal_duration_days_per_week,wage_empl_seasonal_duration_hours_per_day,wage_empl_contract_status,beans_allocated_to_empl_occupation,aspired_occupation_5_years_ahead,aspiration_continue_farming,agriculture_loan_last_5_years,agriculture_loan_amount,most_common_child_aspiration,land_cropland_ownership_status,market_output_distance_in_km,crop_contract,subsidy,enumeration_area,region,personal_id
Botswana,42-95-35-09,CHOBE DISTRICT,,1,Female,Self/Head,67.0,Standard 6,No,,,,,,,Retail trade,Self-employed/own business,6.0,7.0,15.0,No,Yes,No,No,No,No,0,,,,,,,,,,2.0,"Self-employed non-agribusiness (wholesale/retail trade, etc.)",Other non-agricultural business,No,,,,2.0,No,Yes,,,Botswana_42-95-35-09_1
Botswana,54-69-26-46,Chobe,,1,Female,Self/Head,63.0,Standard 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"Self-employed non-agribusiness (wholesale/retail trade, etc.)",Both,No,,,,,,,,,Botswana_54-69-26-46_1
Botswana,92-23-96-13,chobe,,1,Female,Self/Head,46.0,Form 5,No,,,,,,,Other public sector,Employee,,,,,,,,,,,In this village,Permanent,10000,6.0,8.0,,,,Long term permanent contract,5.0,Self-employed agribusiness/agrienterprise,Continue to farming,No,,,Communally owned,80.0,No,No,,,Botswana_92-23-96-13_1
Botswana,15-81-26-28,chobe,Spouse,1,Female,Wife/Husband,33.0,Form 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Self-employed agribusiness/agrienterprise,Other non-agricultural business,No,,Likely,,,,,,,Botswana_15-81-26-28_1
Botswana,20-52-90-88,Chobe,,1,Female,Self/Head,71.0,Form 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Retired/Pensioner,Continue to farming,No,,Unlikely,,,,,,,Botswana_20-52-90-88_1
Botswana,09-47-23-08,Chobe,,1,Female,Self/Head,47.0,Form 3,No,,,,,,,Other public sector,Employee,,,,,,,,,,,Town or city within this district/region,Permanent,3335,5.0,8.0,,,,Long term permanent contract,2.0,Self-employed agribusiness/agrienterprise,Continue to farming,No,,,Communally owned,,,,,,Botswana_09-47-23-08_1
Botswana,09-47-23-08,Chobe,,2,Male,Wife/Husband,60.0,Standard 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Crop farming/cultivation,Both,No,,,Communally owned,,,,,,Botswana_09-47-23-08_2
Botswana,65-48-87-48,chobe,Spouse,1,Female,Wife/Husband,49.0,Standard 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,"Self-employed non-agribusiness (wholesale/retail trade, etc.)",Other non-agricultural business,No,,,Communally owned,,,,,,Botswana_65-48-87-48_1
Botswana,54-94-74-75,Chobe,,1,Male,Self/Head,44.0,Standard 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,"Other service sector jobs (worker in hotels, restaurants, shops, security guards, etc.)",Both,No,,Very likely,,,,,,,Botswana_54-94-74-75_1
Botswana,70-40-01-04,chobe,Sister,2,Female,Sister/Brother,37.0,Form 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,"Self-employed non-agribusiness (wholesale/retail trade, etc.)",Other non-agricultural business,No,,,,,,,,,Botswana_70-40-01-04_2
Botswana,33-37-06-20,Chobe,,1,Female,Self/Head,27.0,Form 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,Self-employed agribusiness/agrienterprise,Continue to farming,No,,Very likely,,10.0,No,No,,,Botswana_33-37-06-20_1
Botswana,11-89-65-58,Chobe,,1,Female,Self/Head,45.0,Standard 7,No,,,,,,,Food industry,Self-employed/own business,11.0,7.0,12.0,No,Yes,No,No,No,No,11,,,,,,,,,,7.0,"Self-employed non-agribusiness (wholesale/retail trade, etc.)",Other non-agricultural business,No,,"Maybe, maybe not",,,,,,,Botswana_11-89-65-58_1
Botswana,86-01-74-97,Chobe,Spouse,1,Female,Wife/Husband,30.0,Form 3,No,,,,,,,"Beauty industry (hair, skin etc)",Self-employed/own business,120.0,5.0,8.0,Yes,No,No,No,No,No,10,,,,,,,,,,5.0,Self-employed agribusiness/agrienterprise,Both,No,,,,,,,,,Botswana_86-01-74-97_1
Botswana,18-63-27-64,chobe,Spouse,1,Female,Wife/Husband,38.0,Form 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Livestock keeping/raising,Continue to farming,No,,Likely,,,,,,,Botswana_18-63-27-64_1
Botswana,69-53-29-77,Chobe,Spouse,1,Male,Wife/Husband,37.0,University level,No,,,,,,,Travel and Tourism,Employee,,,,,,,,,,,Town or city within this district/region,Permanent,10000,7.0,8.0,,,,Long term permanent contract,4.0,Crop farming/cultivation,Both,No,,Likely,,,,,,,Botswana_69-53-29-77_1
Botswana,69-53-29-77,Chobe,Spouse,2,Female,Self/Head,35.0,Other educational training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Crop farming/cultivation,Both,No,,Very likely,,,,,,,Botswana_69-53-29-77_2
Botswana,38-36-87-54,chobe,,1,Male,Self/Head,53.0,Form 2,No,,,,,,,Security services,Employee,,,,,,,,,,,In this village,Seasonal,,,,2100,7.0,12.0,Part-time contract,5.0,"Other service sector jobs (worker in hotels, restaurants, shops, security guards, etc.)",Continue to farming,No,,Likely,,,,,,,Botswana_38-36-87-54_1
Botswana,96-39-11-89,chobe,Sister,1,Female,Sister/Brother,28.0,Form 3,No,,,,,,,Retail trade,Employee,,,,,,,,,,,In this village,Permanent,2000,6.0,8.0,,,,Long term permanent contract,5.0,Self-employed agribusiness/agrienterprise,Continue to farming,No,,Likely,,,,,,,Botswana_96-39-11-89_1
Botswana,62-05-75-13,chobe,,1,Male,Self/Head,33.0,Form 3,No,,,,,,,Security services,Employee,,,,,,,,,,,In this village,Seasonal,,,,2000,6.0,12.0,Long term permanent contract,4.0,Self-employed agribusiness/agrienterprise,Both,No,,"Maybe, maybe not",Communally owned,10.0,No,No,,,Botswana_62-05-75-13_1
Botswana,12-03-37-86,Chobe,,1,Female,Self/Head,59.0,No formal education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,"Self-employed non-agribusiness (wholesale/retail trade, etc.)",Both,No,,Very likely,Private owned with land title,1.0,No,No,,,Botswana_12-03-37-86_1
Botswana,33-44-32-83,Chobe,,1,Female,Self/Head,67.0,Standard 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Crop farming/cultivation,Both,No,,,,,,,,,Botswana_33-44-32-83_1
