interview__key,contact_ref_1_rel,contact_ref_2_rel
"98-97-38-21","Neighbour","Neighbour"
"92-08-97-62","Neighbour","Neighbour"
"59-21-82-77","Relative","Village Head"
"80-20-31-51","None","Cousin"
"33-11-85-60","Cousin","Cousin"
"06-48-61-69","Neighbour","Neighbour"
"12-93-60-92","Neighbour","Neighbour"
"11-11-55-95","Neighbour","Neighbour"
"82-15-11-19","Neighbour","Neighbour"
"95-73-95-89","Religious Leader","Neighbour"
"02-47-29-85","Village Elder","Son"
"91-34-05-43","Head Man","Neighbour"
"29-34-28-44","Relative","Mother"
"54-07-56-18","Daughter In Law","Neighbour"
"02-67-98-73","Self Head","Wife"
"89-44-00-22","Chief","Relative"
"25-47-42-18","Son","Neighbour"
"92-95-45-69","Religious Leader","Neighbour"
"25-17-75-96","Head Man","Neighbour"
"08-10-28-09","Daughter","Son"
"63-11-66-98","Mother","Sister"
"90-89-89-25","Village Elder","Friend"
"01-16-33-75","Religious Leader","Neighbour"
"37-73-98-41","Child","Neighbour"
"48-88-82-47","Mother","Neighbour"
"44-96-14-86","Neighbour","Village Elder"
"47-83-83-86","Neighbour","Mother In Law"
"79-40-96-41","Neighbour","Neighbour"
"60-73-28-03","Friend","Neighbour"
"79-90-62-68","Sister","Father"
"67-12-09-24","Neighbour","Neighbour"
"63-23-35-27","Neighbour","Cousin"
"04-92-66-81","Neighbour","Neighbour"
"93-87-16-02","Neighbour","Friend"
"65-31-14-31","Neighbour","Neighbour"
"19-27-66-46","Neighbour","Friend"
"08-44-37-94","Son","Neighbour"
"71-04-48-02","Neighbour","Friend"
"24-04-95-50","Daughter","Daughter"
"27-66-11-12","Spouse","Son"
"11-10-12-08","Relative","Son In Law"
"10-98-84-98","Neighbour","Neighbour"
"97-63-71-09","Neighbour","Neighbour"
"11-29-74-23","Relative","Mother"
"59-89-68-30","Neighbour","Brother"
"22-38-73-99","Village Elder","Grandfather"
"81-45-95-70","Self Head","Wife"
"16-03-96-06","Wife","Daughter"
"81-14-42-85","Relative","Relative"
"22-88-97-60","Mother","Brother"
"47-75-71-27","Neighbour","Friend"
"10-39-00-99","Father","Neighbour"
"96-06-62-42","Neighbour","Neighbour"
"11-59-44-40","Village Leader","Relative"
"27-51-81-61","Neighbour","Friend"
"44-37-52-83","Son","Village Leader"
"45-92-75-89","Neighbour","Neighbour"
"85-71-09-15","Son","Brother"
"64-51-39-39","Family Member","Friend"
"36-28-42-39","Father","Mother"
"95-09-61-15","Neighbour","Friend"
"86-63-74-80","Neighbour","Neighbour"
"67-27-36-61","Son","Daughter"
"08-84-33-33","Neighbour","Neighbour"
"07-50-91-84","Relative","Village Leader"
"87-71-97-91","Village Leader","Neighbour"
"72-05-40-32","Village Elder","Son"
"87-43-28-28","Neighbor","Neighbor"
"02-59-28-55","Child","Neighbour"
"41-71-16-88","Uncle","Sister"
"91-57-08-43","Neighbour","Neighbour"
"63-99-85-70","Village Elder","Mother"
"65-43-78-90","Brother","Mother"
"37-38-94-21","Self Head","Relative"
"77-42-43-43","Neighbour","Relative"
"68-60-50-68","Village Leader","Neighbour"
"46-89-69-47","Friend","Brother"
"46-72-66-83","Neighbour","Neighbour"
"25-02-52-66","Neighbour","Neighbour"
"55-56-28-22","Relative","Village Elder"
"99-17-74-11","Neighbour","Village Elder"
"46-53-61-02","Village Leader","Neighbour"
"10-77-75-51","Village Headman","Neighbour"
"71-70-88-23","Neighbour","Uncle"
"50-33-80-84","Neighbour","Neighbour"
"21-95-76-65","Neighbour","Neighbour"
"91-60-65-39","Mother","Brother - In -Law"
"42-15-16-06","Neighbour","Neighbour"
"00-11-52-27","Neighbour","Neighbour"
"87-56-56-81","Sister","Sister Inlaw"
"81-79-89-86","Neighbour","Relative"
"10-18-23-80","None","Neighbour"
"65-08-75-81","None","Neighbour"
"71-59-52-11","Neighbour","Neighbour"
"31-09-36-85","Son","Herself"
"29-04-00-40","Neighbour","Neighbour"
"72-18-38-35","Self Head","Wife"
"83-34-07-73","Neighbor","Neighbor"
"70-36-24-93","Neighbour","Neighbour"
"64-46-73-61","Father","Neighbour"
"13-37-47-48","Sister In Law","Neighbour"
"22-02-49-30","Neighbour","Neighbour"
"97-28-37-38","Neighbour","Relative"
"04-02-73-28","Neighbour","Neighbour"
"57-09-51-71","Neighbour","Son"
"45-10-68-85","Neighbour","Son"
"72-72-49-77","Self Head","Sister"
"61-58-42-30","Self Head","Friend"
"46-76-02-18","Self Head","Wife"
"32-71-82-87","Son","Neighbour"
"51-19-72-02","Neighbour","Neighbour"
"98-92-34-42","Wife","Village Elder"
"49-20-15-79","Son","Friend/Neighbour"
"19-17-82-94","None","Son In Law"
"26-53-83-57","Neighbour","Neighbour"
"35-77-55-36","Village Headman","Neighbour"
"60-19-93-23","Cousin Brother","Brother"
"98-71-23-55","Neighbour","Neighbour"
"88-09-79-89","Self Head","Wife"
"17-30-57-13","Village Elder","Neighbour"
"34-24-20-27","Son In Law","Mother"
"13-99-53-09","Neighbour","Neighbour"
"62-74-89-68","Daughter","Neighbour"
"10-78-86-05","Son","Neighbour"
"58-17-83-09","Village Leader","Neighbour"
"86-94-71-57","Son","Neighbour"
"13-61-09-88","Neighbour","Relative"
"33-63-66-86","Self Head","Son"
"31-45-42-89","None","Brother In Law"
"53-01-20-30","Neighbour","Relative"
"13-52-61-75","Relative","Neighbour"
"64-05-06-14","Neighbour","Neighbour"
"78-32-01-29","Neighbour","Neighbour"
"33-80-34-20","Neighbour","Neighbour"
"10-62-40-22","Neighbour","Neighbour"
"82-40-44-86","Village Elder","Relative"
"52-02-93-49","Neighbour","Neighbour"
"94-99-56-40","Neighbour","Friend"
"32-71-99-16","Daughter","Daughter"
"91-09-88-25","Neighbour","Relative"
"53-58-51-62","Friend","Neighbour"
"95-92-63-73","Husband","Village Leader"
"06-17-24-58","Neighbour","Neighbour"
"23-78-50-31","Relative","Son"
"20-84-25-59","Neighbour","Neighbour"
"97-31-09-83","Village Leader","Neighbour"
"56-22-99-66","Neighbour","Neighbour"
"05-92-75-52","Neighbour","Neighbour"
"56-78-97-61","Neighbour","Relative"
"89-05-59-72","Self Head","Neighbour"
"50-93-16-91","Brother In Law","Neighbour"
"89-68-31-84","Cousin","Relative"
"37-58-34-11","Neighbour","Neighbour"
"33-93-90-01","Daughter","Neighbour"
"00-04-89-61","Village Leader","Neighbour"
"98-42-90-09","Son","Grand Child"
"81-57-29-94","Relative","Grandchild"
"55-74-55-01","Neighbour","Sister"
"35-03-81-94","Neighbour","Neighbor"
