interview__key,crp_ip1_exp,crp_ip3_exp,crp_ip5_exp,crp_ip6_exp,crp_ip7_exp,crp_ip8_exp,crp_ip9_exp,crp_ip10_exp
"84-49-36-60",650,0,0,0,0,0,0,0
"50-30-24-70",1500,0,0,3000,2000,0,300,0
"73-01-79-27",2170,0,1200,7500,900,0,100,0
"61-70-56-76",1000,0,0,0,5000,0,0,0
"02-74-92-32",,,,,,,,
"69-39-88-08",1750,0,0,0,0,0,300,1000
"97-74-84-66",,,,,,,,
"15-82-53-55",,,,,,,,
"46-71-69-87",1550,0,900,1800,0,0,50,0
"05-64-42-77",,,,,,,,
"65-63-71-66",2250,0,800,0,600,0,400,0
"15-51-80-47",0,0,0,6000,0,0,0,0
"32-74-61-81",,,,,,,,
"36-59-31-86",1550,13000,1200,9000,3000,0,4000,0
"73-83-46-14",5000,0,0,0,0,0,400,2000
"07-04-05-10",3000,0,700,3000,4000,0,1000,0
"99-97-90-90",4550,0,0,6000,3000,0,200,0
"53-39-03-44",,,,,,,,
"85-50-39-09",2000,24000,4000,10600,900,0,600,1500
"46-32-17-36",3400,9000,3000,18000,0,0,0,0
"85-98-37-69",2325,11000,2000,7000,0,0,600,0
"65-26-91-15",620,6000,0,2500,0,0,300,0
"65-45-62-39",1500,0,0,2150,1500,5000,0,0
"47-59-10-25",4000,3500,2000,4500,3000,0,300,2000
"03-90-73-99",,,,,,,,
"43-25-90-61",1200,0,0,0,0,0,0,0
"49-70-00-09",5500,5600,10000,12000,10000,0,1200,5000
"06-94-49-47",3000,5000,2000,5000,0,0,0,0
"19-04-54-37",1550,0,0,0,900,0,500,0
"59-57-12-16",1860,9000,4000,10600,0,0,0,0
"49-28-72-36",20500,36000,50000,30000,10000,0,2400,10000
"93-14-44-32",3900,7000,2000,5000,1000,0,1400,500
"51-90-88-91",1860,0,800,5500,2000,0,400,0
"12-47-74-84",2400,14000,1500,5000,0,0,560,0
"66-45-27-28",1600,0,0,0,3000,0,0,500
"61-66-59-51",1000,0,0,4500,0,10000,300,1000
"78-64-43-02",20400,18000,3000,20000,0,0,0,0
"09-79-38-80",8000,0,0,0,36000,0,0,0
"03-23-67-97",9100,14000,5400,14000,10000,0,1200,500
"84-81-25-13",0,0,0,8000,0,0,2000,0
"01-19-86-40",3000,0,0,3500,1500,0,400,0
"69-16-25-63",0,0,0,0,8000,0,0,0
"58-95-91-31",3000,0,0,0,4000,0,0,0
"11-58-78-70",2800,0,0,0,5000,0,0,0
"41-24-59-26",,,,,,,,
"98-97-38-21",2400,0,0,0,5000,0,0,0
"92-08-97-62",3600,0,0,0,0,0,0,0
"59-21-82-77",360,0,0,2000,2000,0,600,1000
"80-20-31-51",3800,0,0,0,10000,0,0,0
"33-11-85-60",,,,,,,,
"06-48-61-69",,,,,,,,
"12-93-60-92",,,,,,,,
"11-11-55-95",,,,,,,,
"82-15-11-19",,,,,,,,
"95-73-95-89",5000,6000,0,7500,0,0,0,0
