interview__key,lnd_mes,lnd_mes_1,lnd01,lnd02,lnd03,lnd04,lnd08,lnd09,lnd06,lnd_ten01,lnd_ten02,lnd_ten03,lnd_ten04,lnd_ten08,lnd_ten09,lnd_ten06,lnd_07,lnd_08,lnd_08_1,lnd_09,lnd_09_1,lnd_10,lnd_11,lnd_12,lnd_13__1,lnd_13__2,lnd_13__3,lnd_13__4,lnd_13__5,lnd_13__6,lnd_13__7,lnd_13__8,lnd_13__9,lnd_13__10,lnd_13__96,lnd_13_oth,f01,f03,f04__1,f04__2,f04__3,f04__96,f04_1,f05,lnd_14,lnd_15,lnd_16,lnd_17,lnd_18,lnd_18_oth,num_plots,more_plot,more_plot_explain
"11-58-78-70","Acres","",.5,1,0,0,.5,0,0,"Communally owned","Communally owned",,,"Communally owned",,,"Yes","Other individuals","","Clan / Elder","","Yes","unlikely","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No",,"Yes",1.5,"Yes","No","Yes","No",,0,"Slight decrease","Massive decrease","No",,,"",0,"Yes","For future use"
"41-24-59-26","Acres","",0,0,0,0,3,0,0,,,,,"Communally owned",,,"Yes","Other individuals","","Tried to sort out ourselves","","Yes","Very unlikely","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",0,"No","satisfied"
"98-97-38-21","Acres","",3,0,0,0,3,0,0,"Communally owned",,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",0,"No","satisfied"
"92-08-97-62","Acres","",3,0,0,0,5,0,0,"Communally owned",,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,1,"Slight decrease","Massive decrease","No",,,"",0,"No","satisfied"
"59-21-82-77","Acres","",3,2,0,0,.5,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"No",,"",,"",,"Maybe, maybe not","Yes","No","No","No","Yes","No","Yes","Yes","No","No","No","No",,"Yes",3,"Yes","No","No","No",,5,"Slight increase","Slight increase","No",,,"",1,"Yes","Fertile farm"
"80-20-31-51","Acres","",2,0,0,0,10,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"No",,"",,"",,"unlikely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Slight decrease","No",,,"",5,"Yes","for my children, they need to have their plot for future developments"
"33-11-85-60","Acres","",0,2,0,0,1,0,0,,"Communally owned",,,"Communally owned",,,"No",,"",,"",,"unlikely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",1,"No","No funds to buy another one"
"06-48-61-69","Acres","",6,0,0,0,5,0,0,"Communally owned",,,,"Communally owned",,,"No",,"",,"",,"Likely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",0,"No","satisfied"
"12-93-60-92","Acres","",0,0,0,0,2,0,0,,,,,"Private owned with no land title",,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",4,"No","my children has got enough plots to settle only that developments is required"
"11-11-55-95","Acres","",5,0,0,0,15,0,0,"Communally owned",,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"Yes",1,"Yes","No","No","No",,0,"The same","The same","No",,,"",0,"No","satisfied"
"82-15-11-19","Acres","",0,0,0,0,3,0,0,,,,,"Private owned with no land title",,,"Yes","Other individuals","","Nowhere","","No","Likely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",2,"Yes","to do my own farm developments"
"95-73-95-89","Acres","",3,0,0,0,10,0,0,"Communally owned",,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",1,"No","satisfied"
"02-47-29-85","Acres","",2,0,0,0,.5,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Slight decrease","No",,,"",1,"Yes","to built houses for my children"
"91-34-05-43","Acres","",0,0,0,0,.5,0,0,,,,,"Private owned with no land title",,,"Yes","Within family","","Nowhere","","No","Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",0,"No","dont need it"
"29-34-28-44","Acres","",0,0,0,0,1,0,0,,,,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",1,"Yes","I will definitely want a additional plot where I can do crop production"
"54-07-56-18","Acres","",0,2,0,2,.5,0,0,,"Communally owned",,"Communally owned","Communally owned",,,"No",,"",,"",,"Maybe, maybe not","Yes","No","No","No","No","No","Yes","Yes","No","No","No","No",,"No",,,,,,,0,"The same","Slight decrease","No",,,"",1,"No","crop farming"
"02-67-98-73","Acres","",2,3,0,0,.5,0,0,"Communally owned","Communally owned",,,"Communally owned",,,"No",,"",,"",,"Likely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"Yes",3,"Yes","No","Yes","No",,0,"Slight decrease","Massive decrease","No",,,"",1,"Yes","For future use"
"89-44-00-22","Acres","",0,2,0,0,.5,0,0,,"Private owned with no land title",,,"Private owned with no land title",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,3,"Slight decrease","Massive decrease","No",,,"",1,"Yes","farming"
"25-47-42-18","Acres","",0,0,0,0,2,0,0,,,,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"The same","The same","No",,,"",2,"No","I don't need a plot instead I prefer to be  bought some livestock"
"92-95-45-69","Acres","",1,1,0,0,10,0,0,"Communally owned","Communally owned",,,"Communally owned",,,"No",,"",,"",,"Very unlikely","Yes","No","Yes","Yes","No","No","No","Yes","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Massive decrease","No",,,"",1,"Yes","To construct a shop"
