interview__key,markt_output_dist,markt_input_dist,markt_buyer,markt_buyer_oth,crop_contract,contract_crop,input_access_subsidy,subsidy_type__1,subsidy_type__2,subsidy_type__3,subsidy_type__4,subsidy_supplier__1,subsidy_supplier__2,subsidy_supplier__3,subsidy_supplier__96,subsidy_supplier__n888,subsidy_supplier__n999,subsidy_supplier_oth
"07-67-77-44",,,,"",,"",,,,,,,,,,,,
"30-73-95-73",15,15,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"81-01-27-26",13,13,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"29-63-05-43",,,,"",,"",,,,,,,,,,,,
"69-97-70-98",,,,"",,"",,,,,,,,,,,,
"15-06-78-78",5,5,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"09-89-86-48",,,,"",,"",,,,,,,,,,,,
"66-77-69-23",,,,"",,"",,,,,,,,,,,,
"34-54-53-25",13,13,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"54-15-04-81",18,18,"Rural market in the neighbouring village","","No","","Yes","No","Yes","No","No","Yes","No","No","No","No","No",
"30-29-61-21",13,13,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"32-65-13-57",,,,"",,"",,,,,,,,,,,,
"64-69-72-73",,,,"",,"",,,,,,,,,,,,
"25-20-08-58",12,12,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"12-04-44-96",15,15,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"97-37-09-60",,,,"",,"",,,,,,,,,,,,
"26-04-59-05",,,,"",,"",,,,,,,,,,,,
"98-27-33-85",15,15,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"65-84-88-76",,,,"",,"",,,,,,,,,,,,
"88-58-36-62",,,,"",,"",,,,,,,,,,,,
"68-07-50-59",.7,.7,"Large city market in this or other region","","Yes","MAIZE","Yes","Yes","No","No","No","Yes","No","Yes","No","No","No",
"69-15-02-37",4,4,"Market in this village","","No","","No",,,,,,,,,,,
"02-78-83-36",1.5,1.5,"Market in this village","","No","","No",,,,,,,,,,,
"97-59-33-64",15,15,"Urban market (town) in this region","","Yes","MAIZE","Yes","Yes","No","No","No","No","No","Yes","No","No","No",
"62-96-19-75",12,12,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"73-91-22-23",2.5,2.5,"Market in this village","","No","","No",,,,,,,,,,,
"20-05-42-35",,,,"",,"",,,,,,,,,,,,
"41-87-52-98",,,,"",,"",,,,,,,,,,,,
"69-31-43-37",,,,"",,"",,,,,,,,,,,,
"53-00-97-20",,,,"",,"",,,,,,,,,,,,
"33-41-86-29",,,,"",,"",,,,,,,,,,,,
"32-86-73-25",7,7,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"72-97-03-54",4,2,"Market in this village","","No","","No",,,,,,,,,,,
"15-89-37-89",8,8,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"12-79-12-74",.5,.5,"Market in this village","","No","","No",,,,,,,,,,,
"84-49-36-60",5,2,"Market in this village","","No","","No",,,,,,,,,,,
"50-30-24-70",8,8,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"73-01-79-27",10,10,"Direct individuals not in a market","","Yes","MAIZE","No",,,,,,,,,,,
"61-70-56-76",2,2,"Market in this village","","No","","No",,,,,,,,,,,
"02-74-92-32",,,,"",,"",,,,,,,,,,,,
"69-39-88-08",16,16,"Rural market in the neighbouring village","","Yes","MAIZE","No",,,,,,,,,,,
"97-74-84-66",,,,"",,"",,,,,,,,,,,,
"15-82-53-55",,,,"",,"",,,,,,,,,,,,
"46-71-69-87",50,50,"Urban market (town) in this region","","Yes","MAIZE","No",,,,,,,,,,,
"05-64-42-77",,,,"",,"",,,,,,,,,,,,
"65-63-71-66",7,7,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"15-51-80-47",4,4,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"32-74-61-81",,,,"",,"",,,,,,,,,,,,
"36-59-31-86",12,12,"Others ➡️ Specify","Cooperative society","Yes","MAIZE","Yes","Yes","No","No","No","No","No","Yes","No","No","No",
"73-83-46-14",15,15,"Rural market in the neighbouring village","","Yes","MAIZE","No",,,,,,,,,,,
"07-04-05-10",9,9,"Rural market in the neighbouring village","","No","","No",,,,,,,,,,,
"99-97-90-90",40,40,"Direct individuals not in a market","","Yes","MAIZE","No",,,,,,,,,,,
"53-39-03-44",,,,"",,"",,,,,,,,,,,,
"85-50-39-09",40,40,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"46-32-17-36",24,24,"Urban market (town) in this region","","Yes","MAIZE","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No",
"85-98-37-69",10,10,"Rural market in the neighbouring village","","Yes","MAIZE","No",,,,,,,,,,,
"65-26-91-15",15,15,"Urban market (town) in this region","","Yes","MAIZE","Yes","Yes","No","No","No","No","No","No","Yes","No","No",
"65-45-62-39",12,12,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"47-59-10-25",17,17,"Urban market (town) in this region","","Yes","MAIZE","Yes","No","Yes","No","No","Yes","No","No","No","No","No",
"03-90-73-99",,,,"",,"",,,,,,,,,,,,
"43-25-90-61",20,20,"Market in this village","","No","","No",,,,,,,,,,,
"49-70-00-09",25,25,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
