interview__key,r_purpose_tr__id,road_4__1,road_4__2,road_4__3,road_4__4,road_4__5,road_4__6,road_4__7,road_4__8,road_4__96,road_5
"50-16-00-20","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"45-36-57-50","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"49-75-44-53","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"35-67-10-08","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"12-79-91-83","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"12-79-91-83","Access medical treatment","Yes","No","No","No","Yes","No","No","No","No","Less often"
"19-90-00-01","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"19-90-00-01","Access medical treatment","Yes","No","No","No","No","No","No","No","No","A few times a year"
"29-86-40-08","Go to the market","Yes","No","No","No","Yes","No","No","No","No","Almost every week"
"29-86-40-08","Go to school","No","No","Yes","No","No","No","No","No","No","Almost every week"
"29-86-40-08","Access medical treatment","No","No","No","No","Yes","No","No","No","No","Almost every week"
"29-86-40-08","Got to workplace","No","No","Yes","No","No","No","No","No","No","Once a week or more often"
"10-69-61-22","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"10-69-61-22","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"10-69-61-22","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Almost every week"
"73-57-30-20","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"98-91-04-48","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"98-91-04-48","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"74-01-41-82","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"74-01-41-82","Go to school","Yes","No","No","No","No","No","No","No","No","Almost every week"
"74-01-41-82","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Almost every week"
"30-00-59-90","Go to the market","Yes","No","No","No","No","No","No","No","No","Almost every week"
"30-00-59-90","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"30-00-59-90","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Almost every week"
"66-77-39-39","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"66-77-39-39","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"66-77-39-39","Access medical treatment","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"35-78-11-70","Go to the market","No","No","No","No","Yes","No","No","No","No","A few times a year"
"35-78-11-70","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"35-78-11-70","Access medical treatment","No","No","No","No","Yes","No","No","No","No","A few times a year"
"75-25-98-04","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"75-25-98-04","Go to school","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
"09-00-12-98","Go to the market","Yes","No","No","No","No","No","No","No","No","Once a week or more often"
