interview__key,ctry,region,dist,ward,ea,hhid,res_ident,attempt_1,reason_not_interviewed,reason_not_interviewed_other,replacement,is_replacement,interviewed_consent,res_head,res_rel,interview_possible
"15-73-69-92","Kenya","Baringo","Tiaty East","Tangulbei","Modok","100021443805","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"18-25-85-30","Kenya","Baringo","Tiaty East","Tangulbei","Modok","100021443812","No","Yes","Household moved to unknown location","","Yes","Yes",1,"Representative of the head","Spouse","Yes"
"97-74-49-80","Kenya","Baringo","Tiaty East","Tangulbei","Seretion","100021454504","No","Yes","Household moved to unknown location","","Yes","Yes",1,"Head of the household",,"Yes"
"65-28-28-23","Kenya","Baringo","Baringo South","Marigat","Nkoipiriri","100011121302","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"60-02-55-31","Kenya","Baringo","Baringo South","Marigat","Chepkech","100011154712","No","No",,"","Yes","Yes",1,"Representative of the head","Spouse","Yes"
"82-11-02-31","Kenya","Baringo","Tiaty East","Churo","Chepelow","100021032711","Yes",,,"",,"No",1,"Representative of the head","Daughter","Yes"
"57-80-52-25","Kenya","Baringo","Baringo South","Marigat","Nkoipiriri","100011121305","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"72-15-05-10","Kenya","Baringo","Baringo South","Marigat","Chepkech","100011154715","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"74-51-85-05","Kenya","Baringo","Tiaty East","Tangulbei","Seretion","100021454503","No","Yes","Household moved to unknown location","","Yes","Yes",1,"Head of the household",,"Yes"
"86-09-61-31","Kenya","Baringo","Tiaty East","Tangulbei","Modok","100021443809","Yes",,,"",,"No",1,"Representative of the head","Daughter","Yes"
"93-25-93-51","Kenya","Baringo","Tiaty East","Tangulbei","Chemakutach","100021454303","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"46-18-65-43","Kenya","Baringo","Tiaty East","Tangulbei","Relenoi","100021454011","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"04-39-31-02","Kenya","Baringo","Baringo South","Marigat","Nkoipiriri","100011121315","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"95-71-10-81","Kenya","Baringo","Baringo South","Marigat","Nkoipiriri","100011121304","Yes",,,"",,"No",1,"Representative of the head","Son","Yes"
