interview__key,h02,h03,h03_oth,h04,h04_oth,h05,h05_oth,h06,h06_oth,h07,h07_oth
"29-61-04-95",0,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"39-38-75-31",1,"Iron sheets","","Tin/iron sheets/mabaati","","Cement screed","","Protected (borehole protected well public taps rain water)","","VIP latrine",""
"49-39-29-75",6,"Concrete","","Bricks with cement","","Ceramic or other tiles","","Protected (borehole protected well public taps rain water)","","Covered pit patrine with slab",""
"30-17-77-88",3,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"29-08-77-29",2,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"69-05-41-80",2,"Iron sheets","","Concrete","","Cement screed","","Unprotected source (well spring river lake tank truck)","","Covered pit patrine with slab",""
"21-49-13-73",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"75-38-27-75",1,"Thatched grass","","Unburnt bricks with mud","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"14-85-47-22",5,"Iron sheets","","Tin/iron sheets/mabaati","","Cement screed","","Protected (borehole protected well public taps rain water)","","VIP latrine",""
"53-81-07-04",2,"Iron sheets","","Tin/iron sheets/mabaati","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"65-80-02-03",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"69-30-60-03",3,"Iron sheets","","Tin/iron sheets/mabaati","","Cement screed","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"21-15-99-40",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"44-56-27-24",4,"Iron sheets","","Tin/iron sheets/mabaati","","Cement screed","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"75-37-22-90",1,"Thatched grass","","Unburnt bricks with mud","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"67-01-06-94",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"04-57-01-84",1,"Iron sheets","","Unburnt bricks with mud","","Cement screed","","Protected (borehole protected well public taps rain water)","","Covered pit patrine with slab",""
"53-87-70-93",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"89-42-22-50",2,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"41-64-40-11",1,"Iron sheets","","Other➡️ Please specify","open","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"89-49-22-36",2,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","No facility/Bush/polythene",""
"20-63-38-57",2,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"84-72-64-66",2,"Thatched grass","","Mud with poles","","Cement screed","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"63-42-88-22",3,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"22-88-22-30",1,"Iron sheets","","Tin/iron sheets/mabaati","","Smooth earth (soil)","","Protected (borehole protected well public taps rain water)","","No facility/Bush/polythene",""
"27-50-41-80",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"87-50-20-38",0,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"78-63-95-63",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"21-75-94-85",2,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"20-46-30-59",2,"Iron sheets","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
"12-17-56-74",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Unprotected source (well spring river lake tank truck)","","No facility/Bush/polythene",""
