interview__key,r_forset_product__id,fstqty,fstpdt_unt,fstpdt_unt_oth,fstpdt_sl,fstpdt_slqty,fstpdt_slunit,fstpdt_slunit_oth,fstpdt_slpssd,fstpdt_slprc,fstpdt_exp,fstpdt_expamt,fstpdt_ch,fstpdt_ch2,f027,f028
"12-93-60-92","Firewood",1,"Kilograms","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","prolonged drought"
"12-93-60-92","Wood for charcoal production",10,"90 kg bag","","Yes",500,"90 kg bag","","No",500,"No",,"Massive decrease","Massive decrease","","forest degradation is tremendously increasing"
"11-11-55-95","Firewood",150,"Bale / Bundle","","No",,,"",,,"No",,"The same","Slight decrease","",""
"82-15-11-19","Firewood",2,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","competition is higher than its demand"
"95-73-95-89","Firewood",96,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","population increase"
"02-47-29-85","Firewood",4,"Bale / Bundle","","No",,,"",,,"No",,"Massive increase","Massive increase","increase availability of prosopis",""
"91-34-05-43","Firewood",40,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","charcoal  burning"
"29-34-28-44","Firewood",8,"Bale / Bundle","","No",,,"",,,"No",,"Massive increase","Massive increase","increase prosopis in the area",""
"54-07-56-18","Firewood",20,"Bunches","","No",,,"",,,"No",,"The same","Slight decrease","",""
"02-67-98-73","Firewood",72,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Deforestation"
"89-44-00-22","Firewood",96,"Bale / Bundle","","No",,,"",,,"No",,"Slight increase","Massive decrease","The flood from lake Baringo has tried alot of trees",""
"89-44-00-22","Wood for charcoal production",120,"90 kg bag","","Yes",120,"90 kg bag","","Yes",500,"No",,"Slight decrease","Massive decrease","","defforestation"
"25-47-42-18","Firewood",8,"Bale / Bundle","","No",,,"",,,"No",,"Massive increase","Massive increase","availability of prosopis",""
"92-95-45-69","Firewood",100,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","population growth"
"25-17-75-96","Firewood",96,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","charcoal  burning"
"25-17-75-96","Wood for charcoal production",120,"90 kg bag","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","defforestation"
"08-10-28-09","Firewood",96,"Bale / Bundle","","No",,,"",,,"No",,"Slight increase","Slight increase","Increasing growth and spread of prosopis juliflora.",""
"08-10-28-09","Wood for charcoal production",50,"25kg bag","","Yes",50,"50 kg bag","","Yes",500,"No",,"Slight increase","Slight increase","increased growth and spread of prosopis.",""
"08-10-28-09","Other➡️specify",3,"90 kg bag","","Yes",3,"90 kg bag","","No",150,"No",,"Slight increase","Slight increase","Increased growth and spread of prosopis juliflora vegetation.",""
"63-11-66-98","Firewood",20,"Bale / Bundle","","No",,,"",,,"No",,"Massive increase","Massive increase","Increased growth and spread of prosopis juliflora",""
"63-11-66-98","Wood for charcoal production",120,"50 kg bag","","Yes",120,"50 kg bag","","Yes",500,"No",,"Massive increase","Massive increase","Increased growth and spread of prosopis juliflora",""
"90-89-89-25","Firewood",80,"Bunches","","Yes",30,"Bunches","","No",200,"No",,"Slight decrease","Slight decrease","","natural vegetation is being cleared"
"90-89-89-25","Wood for charcoal production",10,"90 kg bag","","Yes",9,"90 kg bag","","No",500,"No",,"Slight decrease","Massive increase","","prosobis coverage"
"90-89-89-25","Medicinal plants",10,"Numbers","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","extinct of said plants"
"01-16-33-75","Firewood",120,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"01-16-33-75","Wood for charcoal production",48,"90 kg bag","","Yes",48,"90 kg bag","","Yes",400,"No",,"Slight decrease","Massive decrease","","increased charcoal production"
"37-73-98-41","Firewood",50,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Population increase"
"37-73-98-41","Timber or poles",30,"Numbers","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","clearing of cropland and population increase"
"48-88-82-47","Firewood",8,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"44-96-14-86","Firewood",12,"Bale / Bundle","","No",,,"",,,"No",,"Massive increase","Massive increase","increase prosopis in the area",""
