interview__key,s0_duration,s1_duration,s2_duration,s3_duration,s4_duration,s5_duration,s6_duration,s7_duration,s8_duration,s9_duration,s10_duration,s11_duration,s12_duration,s13_duration,s14_duration,s15_duration,interview__duration2,interview__duration,interview__duration_minutes,date,time
"63-58-57-56",3.610871886120997,10.57,.57,2.271,3.98,5.07,5.030604982206405,3.28,23.83916221033868,6.207379679144385,.48,17.17390374331551,1.25,3.247140319715808,4.62,3.05,94.25006282084179,"00.01:29:30",89.5,"2023-07-15","08:34:01"
"50-43-62-27",3.610871886120997,12.74,.76,4.26,.25,.27,4.78,6.26,22.29,5.87,.39,17.34,2.54,4.17,1.48,2.51,89.520871886121,"00.01:45:03",105.05,"2023-07-15","11:13:21"
"80-45-95-05",3.4,18.92,3.502999999999998,3.8,8.51,4.79,2.99,8.84,15.79,5.29,2.04,16.76,2.03,2.73,3.88,2.48,105.753,"00.01:44:07",104.1166666666667,"2023-07-17","09:24:37"
"63-29-07-40",3.4,9.571000000000002,1.42,3.02,.29,5.13,4.45,3.52,27.65,5.49,.26,21.71,1,5.69,4.17,3.62,100.391,"00.01:42:39",102.65,"2023-07-17","11:04:04"
"54-48-29-18",2.81,12.37,1.21,3.21,6.58,4.64,5.43,2.213,17.07,5.67,.51,25.48,1.7,2.12,4.18,4.7,99.893,"00.01:50:33",110.55,"2023-07-17","06:26:47"
"50-16-00-20",3.610871886120997,29.118,1.14,3.7,.26,12.168,6.53,6.14,25.58,6.74,.54,17.17390374331551,2.964999999999999,5.958,3.526886120996441,2.77,127.9206617504329,"00.02:32:04",152.0666666666667,"2023-07-17","06:27:41"
"45-36-57-50",2.07,18.18393939393939,.45,3.918877005347594,5.32,9.130000000000001,6.44,5.64,17.61,4.31,.4,10.68,.93,3.26,1.69,3.55,93.58281639928698,"00.01:23:11",83.18333333333334,"2023-07-17","11:02:37"
"49-75-44-53",3.610871886120997,9.571000000000002,.54,3.25,.21,4.79,3.8,8.857999999999999,17.58,5.4,1.21,9.731000000000002,2.35,5.84,3.526886120996441,2.4,82.66775800711744,"00.01:19:47",79.78333333333333,"2023-07-17","09:08:39"
"35-67-10-08",3.77,10.3,.99,2.271,.4,.24,3.4,3.26,22.15,5.94,.31,25.738,.72,4.7,6.29,3.55,94.029,"00.01:36:59",96.98333333333333,"2023-07-17","08:35:12"
"12-79-91-83",3.08,15.67,1.17,2.271,.14,.13,5.01,4.17,14.901,4.76,1.06,11.1,1.53,1.83,2.85,3.25,72.922,"00.01:13:28",73.46666666666667,"2023-07-17","12:23:59"
"19-90-00-01",6.4,11.83,1.466543209876543,3.37,.18,8.029999999999999,2.69,7.47,23.83916221033868,4.94,2,9.731000000000002,1.2,3.247140319715808,3.11,3.59,93.09384573993104,"00.02:04:36",124.6,"2023-07-17","06:34:47"
