interview__key,liv_pdtsal,which_liv_pdts__1,which_liv_pdts__2,which_liv_pdts__3,which_liv_pdts__4,which_liv_pdts__5,which_liv_pdts__6,which_liv_pdts__7,which_liv_pdts__96,which_liv_pdts_oth,liv_buyer,liv_buyer_oth,liv_buyer_where,livmkt_dist,liv_pdt_inc,liv_contract
"88-58-36-62","No",,,,,,,,,,,"",,10,,"No"
"68-07-50-59","No",,,,,,,,,,,"",,1,,"No"
"69-15-02-37","No",,,,,,,,,,,"",,4,,"No"
"02-78-83-36","No",,,,,,,,,,,"",,1.5,,"No"
"97-59-33-64","Yes","No","No","No","No","No","Yes","No","No",,"Brokers, middlemen, traders","","Market in this village",15,2000,"No"
"62-96-19-75","No",,,,,,,,,,,"",,15,,"No"
"73-91-22-23",,,,,,,,,,,,"",,,,
"20-05-42-35",,,,,,,,,,,,"",,,,
"41-87-52-98",,,,,,,,,,,,"",,,,
"69-31-43-37",,,,,,,,,,,,"",,,,
"53-00-97-20",,,,,,,,,,,,"",,,,
"33-41-86-29","No",,,,,,,,,,,"",,7,,"No"
"32-86-73-25","No",,,,,,,,,,,"",,7,,"No"
"72-97-03-54","No",,,,,,,,,,,"",,4,,"No"
"15-89-37-89","No",,,,,,,,,,,"",,8,,"No"
"12-79-12-74",,,,,,,,,,,,"",,,,
"84-49-36-60","No",,,,,,,,,,,"",,4,,"No"
"50-30-24-70","No",,,,,,,,,,,"",,8,,"No"
"73-01-79-27","No",,,,,,,,,,,"",,40,,"No"
"61-70-56-76","No",,,,,,,,,,,"",,2,,"No"
"02-74-92-32",,,,,,,,,,,,"",,,,
"69-39-88-08",,,,,,,,,,,,"",,,,
"97-74-84-66","No",,,,,,,,,,,"",,3,,"No"
"15-82-53-55",,,,,,,,,,,,"",,,,
"46-71-69-87","No",,,,,,,,,,,"",,50,,"No"
"05-64-42-77",,,,,,,,,,,,"",,,,
"65-63-71-66","Yes","No","Yes","No","No","No","No","Yes","No",,"Direct buyers, open-air market","","Directly at the homestead",7,5000,"No"
"15-51-80-47","No",,,,,,,,,,,"",,4,,"No"
"32-74-61-81","No",,,,,,,,,,,"",,7,,"No"
"36-59-31-86",,,,,,,,,,,,"",,,,
"73-83-46-14","No",,,,,,,,,,,"",,15,,"No"
"07-04-05-10","No",,,,,,,,,,,"",,9,,"No"
"99-97-90-90",,,,,,,,,,,,"",,,,
