interview__key,access_internet,internet_home,distance_internet,inter_activity__1,inter_activity__2,inter_activity__3,inter_activity__4,inter_activity__5,inter_activity__6,inter_activity__7,inter_activity__8,inter_activity__9,inter_activity__10,inter_activity__96,inter_activity__n888,inter_activity__n999,inter_activity_oth,cost_internet,internet_purpose__1,internet_purpose__2,internet_purpose__3,internet_purpose__4,internet_purpose__5,internet_purpose__6,internet_purpose__96,internet_purpose__n888,internet_purpose__n999,internet_purpose_oth
"68-88-48-96","Yes","Yes",,"Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No",,600,,,,,,,,,,
"86-70-18-69","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,3000,,,,,,,,,,
"82-09-53-31","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"10-84-11-85","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-36-47-93","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"40-02-31-47","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"35-25-14-79","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"96-32-88-00","Yes","Yes",,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,1500,,,,,,,,,,
"30-07-79-13","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"05-61-96-62","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"37-32-16-74","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"06-96-64-70","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"74-21-41-84","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"82-96-41-85","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"58-44-33-27","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"88-25-56-87","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"86-98-25-96","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-54-26-75","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"41-61-78-73","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"90-86-53-30","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"16-75-57-30","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"60-19-22-98","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-29-58-98","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"51-48-94-50","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-20-59-08","Yes","Yes",,"Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","No","No","No",,1000,,,,,,,,,,
"21-43-02-41","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"82-77-24-98","Yes","Yes",,"Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","No",,1000,,,,,,,,,,
"68-99-96-16","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"47-95-59-62","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"86-57-96-89","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"68-47-81-44","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"36-96-75-03","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"08-94-02-07","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"37-79-35-25","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-65-92-38","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,600,,,,,,,,,,
"64-78-16-16","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"21-44-80-94","Yes","Yes",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,600,,,,,,,,,,
"09-64-46-58","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"59-85-28-37","Yes","Yes",,"Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No",,1000,,,,,,,,,,
"59-86-17-42","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,1000,,,,,,,,,,
"19-38-28-96","Yes","Yes",,"Yes","No","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No",,500,"No","No","Yes","No","Yes","No","No","No","No",
"15-65-55-76","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"06-65-59-46","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"31-55-25-17","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"46-83-77-72","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"13-16-83-24","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"55-65-07-83","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"19-58-06-14","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"07-67-77-44","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"30-73-95-73","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"81-01-27-26","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"29-63-05-43","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"69-97-70-98","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"15-06-78-78","Yes","Yes",,"Yes","No","No","No","No","Yes","No","No","No","No","No","No","No",,700,,,,,,,,,,
"09-89-86-48","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"66-77-69-23","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"34-54-53-25","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"54-15-04-81","Yes","Yes",,"Yes","No","Yes","Yes","No","Yes","No","No","Yes","No","No","No","No",,1500,,,,,,,,,,
"30-29-61-21","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"32-65-13-57","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"64-69-72-73","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"25-20-08-58","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"12-04-44-96","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-37-09-60","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"26-04-59-05","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"98-27-33-85","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"65-84-88-76","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"88-58-36-62","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"68-07-50-59","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,1000,,,,,,,,,,
"69-15-02-37","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","Yes","No","No","No","No",,600,,,,,,,,,,
"02-78-83-36","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-59-33-64","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"62-96-19-75","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","Yes","No","No","No","No",,1000,,,,,,,,,,
"73-91-22-23","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"20-05-42-35","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"41-87-52-98","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"69-31-43-37","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"53-00-97-20","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"33-41-86-29","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"32-86-73-25","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"72-97-03-54","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"15-89-37-89","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"12-79-12-74","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"84-49-36-60","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"50-30-24-70","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"73-01-79-27","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"61-70-56-76","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"02-74-92-32","Yes","Yes",,"Yes","No","No","Yes","No","No","No","No","No","No","No","No","No",,1500,,,,,,,,,,
"69-39-88-08","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"97-74-84-66","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"15-82-53-55","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"46-71-69-87","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"05-64-42-77","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"65-63-71-66","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"15-51-80-47","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"32-74-61-81","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"36-59-31-86","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"73-83-46-14","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"07-04-05-10","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"99-97-90-90","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"53-39-03-44","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"85-50-39-09","Yes","Yes",,"Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No",,1000,,,,,,,,,,
"46-32-17-36","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"85-98-37-69","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"65-26-91-15","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"65-45-62-39","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"47-59-10-25","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"03-90-73-99","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"43-25-90-61","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"49-70-00-09","Yes","No","501-1000 m","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,1000,,,,,,,,,,
"06-94-49-47","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"19-04-54-37","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"59-57-12-16","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"49-28-72-36","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"93-14-44-32","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"51-90-88-91","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"12-47-74-84","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"66-45-27-28","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"61-66-59-51","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"78-64-43-02","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"09-79-38-80","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"03-23-67-97","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"84-81-25-13","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"01-19-86-40","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"69-16-25-63","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"58-95-91-31","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"11-58-78-70","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"41-24-59-26","Yes","Yes",,"Yes","Yes","No","Yes","No","No","No","No","Yes","No","No","No","No",,3000,,,,,,,,,,
"98-97-38-21","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"92-08-97-62","Yes","Yes",,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,2500,,,,,,,,,,
