interview__key,as10,as11,as12,as13,as14,as15,as16__1,as16__2,as16__3,as16__4,as16__5,as16__6,as16__7,as16__8,as16__9,as16__96,as16_oth,as19,as17,as18__1,as18__2,as18__3,as18__4,as18__5,as18__6,as18__7,as18__8,as18__9,as18__10,as18__11,as18__96
"71-65-92-38","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"64-78-16-16","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"21-44-80-94","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"09-64-46-58","Yes","Yes","Yes","Yes","No",,,,,,,,,,,,,"Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No"
"59-85-28-37","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"59-86-17-42","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"19-38-28-96","Yes","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"15-65-55-76","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"06-65-59-46","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"31-55-25-17","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"46-83-77-72","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"13-16-83-24","Yes","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"55-65-07-83","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"19-58-06-14","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"07-67-77-44","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"30-73-95-73","No","No","No","No","No",,,,,,,,,,,,,"Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No"
"81-01-27-26","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"29-63-05-43","Yes","Yes","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"69-97-70-98","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
