interview__key,as_loc01_in,as_loc02_in,as_loc03_in,as_loc04_in,as_loc05_in,as_loc06_in,as_loc07_in,as_loc08_in,as_loc09_in,as_loc10_in,as_loc11_in,as_loc12_in,as_loc13_in,as_loc14_in,as_loc15_in,as_loc16_in,trst01,trst02,trst03,trst04,trst05,exp_ev1_01,exp_ev1_03,exp_ev1_05,exp_ev1_06,exp_ev1_07,exp_ev1_11,exp_ev1_12,exp_ev1_13,exp_ev1_14,exp_ev1_15
"02-78-83-36","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","trust","trust","trust","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Worried","Worried","Extremely worried","Worried"
"97-59-33-64","Strongly agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Disagree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","indifferent","strongly trust","indifferent","indifferent","trust","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Not at all worried","Not at all worried"
"62-96-19-75","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","strongly trust","trust","strongly trust","trust","trust","Extremely worried","Very worried","Extremely worried","Extremely worried","Worried","Slightly worried","Slightly worried","Slightly worried","Worried","Slightly worried"
"73-91-22-23","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","trust","distrust","indifferent","indifferent","Worried","Worried","Worried","Worried","Worried","Very worried","Slightly worried","Slightly worried","Very worried","Worried"
"20-05-42-35","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Disagree","Agree","Agree","Disagree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Agree","Agree","Indifferent (neither nor)","Disagree","Strongly disagree","trust","trust","trust","trust","trust","Very worried","Very worried","Extremely worried","Extremely worried","Very worried","Worried","Worried","Slightly worried","Extremely worried","Not at all worried"
"41-87-52-98","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","trust","trust","trust","trust","trust","Extremely worried","Extremely worried","Extremely worried","Very worried","Very worried","Worried","Worried","Worried","Worried","Worried"
"69-31-43-37","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Disagree","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","indifferent","trust","indifferent","indifferent","indifferent","Very worried","Very worried","Extremely worried","Very worried","Very worried","Slightly worried","Extremely worried","Slightly worried","Worried","Slightly worried"
"53-00-97-20","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Worried","Worried","Worried","Very worried","Very worried","Worried","Worried","Worried","Worried","Worried"
"33-41-86-29","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","Indifferent (neither nor)","Disagree","Strongly agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","indifferent","trust","distrust","trust","trust","Worried","Slightly worried","Very worried","Very worried","Very worried","Slightly worried","Very worried","Worried","Not at all worried","Slightly worried"
"32-86-73-25","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly disagree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","indifferent","trust","indifferent","indifferent","indifferent","Worried","Worried","Worried","Worried","Worried","Worried","Very worried","Slightly worried","Not at all worried","Not at all worried"
"72-97-03-54","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","trust","distrust","distrust","trust","Very worried","Very worried","Very worried","Very worried","Slightly worried","Not at all worried","Not at all worried","Not at all worried","Extremely worried","Not at all worried"
"15-89-37-89","Agree","Agree","Disagree","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","trust","trust","trust","trust","trust","Worried","Worried","Very worried","Very worried","Worried","Slightly worried","Slightly worried","Worried","Slightly worried","Worried"
"12-79-12-74","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Disagree","trust","trust","distrust","indifferent","trust","Worried","Worried","Worried","Worried","Worried","Worried","Slightly worried","Slightly worried","Extremely worried","Worried"
"84-49-36-60","Strongly agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","trust","trust","distrust","distrust","trust","Very worried","Very worried","Very worried","Very worried","Slightly worried","Slightly worried","Not at all worried","Worried","Extremely worried","Not at all worried"
"50-30-24-70","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","trust","trust","strongly distrust","trust","trust","Worried","Worried","Extremely worried","Very worried","Worried","Very worried","Worried","Worried","Very worried","Worried"
"73-01-79-27","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Indifferent (neither nor)","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Agree","trust","trust","trust","trust","trust","Very worried","Slightly worried","Extremely worried","Extremely worried","Extremely worried","Slightly worried","Slightly worried","Worried","Slightly worried","Slightly worried"
"61-70-56-76","Agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Slightly worried","Worried","Extremely worried","Extremely worried","Worried","Slightly worried","Not at all worried","Worried","Worried","Not at all worried"
"02-74-92-32","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","trust","trust","distrust","trust","trust","Not at all worried","Worried","Very worried","Extremely worried","Slightly worried","Slightly worried","Not at all worried","Slightly worried","Extremely worried","Not at all worried"
"69-39-88-08","Strongly agree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Disagree","Agree","Indifferent (neither nor)","Agree","Disagree","Disagree","Strongly agree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","distrust","trust","trust","Worried","Extremely worried","Extremely worried","Extremely worried","Worried","Worried","Very worried","Very worried","Worried","Slightly worried"
"97-74-84-66","Agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","trust","trust","trust","trust","trust","Worried","Worried","Extremely worried","Very worried","Very worried","Worried","Worried","Worried","Worried","Worried"
"15-82-53-55","Agree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Indifferent (neither nor)","trust","strongly trust","strongly distrust","strongly trust","indifferent","Very worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Worried","Very worried","Very worried","Extremely worried","Worried"
"46-71-69-87","Agree","Strongly agree","Agree","Strongly agree","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Disagree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","distrust","trust","indifferent","strongly trust","strongly trust","Very worried","Very worried","Extremely worried","Extremely worried","Very worried","Slightly worried","Slightly worried","Worried","Very worried","Not at all worried"
"05-64-42-77","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Agree","trust","trust","strongly trust","trust","strongly trust","Very worried","Slightly worried","Very worried","Worried","Worried","Worried","Very worried","Very worried","Worried","Worried"
"65-63-71-66","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Disagree","Strongly agree","Agree","Strongly agree","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Agree","Agree","Strongly agree","Disagree","Agree","Indifferent (neither nor)","trust","strongly trust","strongly distrust","distrust","strongly distrust","Worried","Very worried","Extremely worried","Extremely worried","Extremely worried","Slightly worried","Not at all worried","Slightly worried","Not at all worried","Not at all worried"
"15-51-80-47","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried","Very worried"
"32-74-61-81","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","strongly trust","trust","trust","trust","trust","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Very worried","Slightly worried","Very worried","Not at all worried","Not at all worried","Not at all worried"
"36-59-31-86","Indifferent (neither nor)","Strongly agree","Indifferent (neither nor)","Agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Agree","Strongly agree","Indifferent (neither nor)","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","indifferent","indifferent","strongly trust","indifferent","strongly trust","Slightly worried","Worried","Worried","Worried","Very worried","Worried","Very worried","Worried","Slightly worried","Slightly worried"
"73-83-46-14","Strongly agree","Strongly agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Disagree","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Disagree","Disagree","trust","trust","strongly distrust","indifferent","indifferent","Very worried","Worried","Extremely worried","Extremely worried","Extremely worried","Worried","Very worried","Worried","Extremely worried","Slightly worried"
"07-04-05-10","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Agree","distrust","indifferent","distrust","trust","trust","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried"
