interview__key,r_otherincome__id,inc_oth_amt,int_oth_income,who_other_income__0,who_other_income__1,othinc_pr,othinc_pr_oth,othinc_provider,othinc_provider_oth,benefits,oth_benefits,oth_income_use__1,oth_income_use__2,oth_income_use__3,oth_income_use__4,oth_income_use__5,oth_income_use__6,oth_income_use__7,oth_income_use__96,otherinc_use_others
"91-09-88-25","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",110000,"Lump sum (single payment)",1,.a,"Poverty reduction program","","NGO","","Cash","",1,0,2,0,3,0,0,0,""
"56-78-97-61","Payments for environmental/ecological services or nature conservation for instance, payments by the conservancies",5000,"Monthly",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"50-93-16-91","Savings, interest or other investment income",12000,"Every year",1,.a,,"",,"",,"",0,1,2,3,4,0,0,0,""
"37-58-34-11","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",6000,"Every three months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"33-93-90-01","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",110000,"Lump sum (single payment)",1,.a,"Poverty reduction program","","NGO","","Cash","",0,1,2,3,4,0,0,5,"buy goats"
"55-74-55-01","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",110000,"Lump sum (single payment)",2,.a,"Poverty reduction program","","NGO","","Cash","",1,0,0,0,0,0,0,0,""
"59-04-53-64","Savings, interest or other investment income",5000,"Lump sum (single payment)",5,.a,"Others ➡️ Specify","Individual savings","Other➡️specify","Sacco","Cash","",0,1,3,0,2,0,0,0,""
"59-04-53-64","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",20000,"Every three months",1,.a,"Poverty reduction program","","NGO","","Cash","",0,1,3,2,4,0,0,0,""
"82-68-38-51","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",3,"Every three months",1,.a,"Older persons cash transfer","","National government","","Cash","",0,1,0,2,0,0,0,0,""
"82-68-38-51","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",110000,"Lump sum (single payment)",1,.a,"Poverty reduction program","","NGO","","Cash","",0,1,0,0,3,0,0,2,"fencing"
"36-02-93-74","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",10000,"Monthly",1,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"36-02-93-74","Rental income, residential property (apartment, house)",5000,"Monthly",1,.a,,"",,"",,"",0,0,1,0,0,0,0,0,""
"64-62-65-29","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Every three months",1,.a,,"",,"",,"",0,2,1,3,0,0,0,0,""
"57-81-30-05","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",10000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,0,0,0,0,0,0,1,"crop cultivation"
"50-74-95-60","Rental income, residential property (apartment, house)",500,"Monthly",2,.a,,"",,"",,"",0,1,2,0,3,0,0,0,""
"36-65-12-21","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",5000,"Monthly",1,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"97-41-99-18","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",5000,"Monthly",1,.a,"Poverty reduction program","","NGO","","Cash","",0,1,0,0,0,0,0,0,""
"80-92-01-63","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Every three months",1,.a,"Older persons cash transfer","","National government","","Cash","",0,1,0,0,0,0,0,0,""
"80-92-01-63","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",35000,"Monthly",1,.a,"Poverty reduction program","","NGO","","Cash","",0,2,0,1,0,0,0,0,""
"39-04-13-87","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",6000,"Every three months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"07-91-23-12","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Every three months",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"48-70-52-60","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",15000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"03-69-84-05","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",1500,"Monthly",2,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"55-07-48-89","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",110000,"Lump sum (single payment)",2,.a,,"",,"",,"",0,2,1,3,5,0,0,4,"crop farming and  purchase of livestock"
"86-61-90-88","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",500,"Monthly",3,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"38-25-54-65","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",5067,"Monthly",1,.a,"Poverty reduction program","","NGO","","Cash","",0,1,0,0,0,0,0,0,""
"54-34-58-95","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",110000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,2,1,4,3,0,0,0,""
"27-87-86-78","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",10000,"Lump sum (single payment)",2,.a,,"",,"",,"",0,1,2,0,0,0,0,0,""
"48-20-93-40","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",110000,"Lump sum (single payment)",2,.a,"Poverty reduction program","","NGO","","Cash","",0,2,1,0,0,0,0,0,""
"60-02-55-31","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",45,"Every three months",1,.a,"Poverty reduction program","","NGO","","Cash","",0,0,0,0,1,0,0,0,""
"72-15-05-10","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",110000,"Lump sum (single payment)",2,.a,"Poverty reduction program","","NGO","","Cash","",0,0,1,0,0,0,0,0,""
"93-25-93-51","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",5000,"Monthly",2,.a,"Poverty reduction program","","NGO","","Cash","",0,1,0,0,0,0,0,0,""
"95-71-10-81","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",10000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"12-15-65-08","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",5067,"Every three months",1,.a,"Poverty reduction program","","NGO","","Cash","",0,1,0,0,0,0,0,0,""
"21-46-83-44","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",6000,"Monthly",1,.a,"Poverty reduction program","","NGO","","Cash","",0,1,0,0,0,0,0,0,""
"92-47-39-90","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Every three months",12,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"76-33-66-65","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"20-69-31-32","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Lump sum (single payment)",1,2,,"",,"",,"",0,1,0,2,0,0,0,0,""
"20-69-31-32","Other➡️specify:",20000,"Every year",1,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"32-73-67-08","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",9000,"Monthly",1,.a,"Education subsidy","","Local county government","","Cash","",0,1,0,0,0,0,0,0,""
"82-73-01-57","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",2000,"Monthly",1,.a,"Older persons cash transfer","","National government","","Cash","",0,1,0,0,0,0,0,0,""
"89-62-46-70","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",5000,"Lump sum (single payment)",2,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"54-86-93-60","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",500,"Every three months",1,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"33-07-96-51","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",110000,"Every three months",1,.a,"Poverty reduction program","","NGO","","Cash","",0,2,1,0,3,0,0,0,""
"10-60-87-78","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",65000,"Monthly",2,.a,,"",,"",,"",0,0,0,0,1,0,0,0,""
"34-70-02-31","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",5000,"Every three months",2,.a,"Poverty reduction program","","NGO","","Cash","",0,2,1,0,0,0,0,0,""
"04-31-65-65","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",30000,"Monthly",2,.a,"Education subsidy","","National government","","Cash","",0,1,0,0,0,0,0,0,""
"40-51-79-00","Other➡️specify:",6000,"Monthly",1,.a,,"",,"",,"",0,1,3,2,0,0,0,0,""
"78-46-05-26","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Every three months",7,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"01-54-87-19","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",30000,"Every 6 months",1,2,"Others ➡️ Specify","Reinbursements from family friends-well wishers","Other➡️specify","Family friends","Cash","",0,1,2,0,3,0,0,0,""
"01-54-87-19","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",65000,"Lump sum (single payment)",1,.a,"Poverty reduction program","","NGO","","Cash","",0,1,0,0,0,2,0,0,""
"40-89-32-79","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,1,0,2,0,3,0,0,""
"40-89-32-79","International remittances - cash transfers/gifts from individuals (relatives, friends) from abroad",3000,"Monthly",1,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"17-73-42-21","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",7000,"Monthly",2,.a,"Education subsidy","","Other➡️specify","Relatives","Cash","",0,1,3,0,2,0,0,0,""
"17-73-42-21","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",9000,"Every three months",1,.a,"Older persons cash transfer","","National government","","Cash","",0,1,0,2,0,0,0,0,""
"77-46-09-31","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",5000,"Every three months",1,2,,"",,"",,"",0,0,1,0,0,0,0,0,""
"97-62-36-16","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",40000,"Lump sum (single payment)",1,9,"Poverty reduction program","","NGO","","Cash","",0,0,1,0,2,0,0,0,""
"54-62-08-69","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",20000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,1,2,3,4,0,0,0,""
"59-85-68-42","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",5000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,0,0,0,0,0,0,1,"livestock rearing"
"75-58-20-42","Rental income, residential property (apartment, house)",10000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"00-68-70-04","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",65000,"Every three months",1,.a,"Emergency relief","","NGO","","Cash","",0,1,0,0,2,3,0,0,""
"39-74-73-78","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Every three months",11,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"95-10-30-55","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Every three months",1,2,,"",,"",,"",0,1,2,3,4,0,0,0,""
"93-64-37-20","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",45000,"Monthly",1,2,,"",,"",,"",0,1,0,0,2,0,0,0,""
"91-66-07-16","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",110000,"Every three months",1,.a,"Poverty reduction program","","NGO","","Cash","",0,1,2,0,3,0,0,0,""
"76-32-07-05","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Monthly",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"16-40-92-10","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Every three months",1,.a,,"",,"",,"",0,1,2,0,0,0,0,0,""
"24-75-24-45","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",8000,"Every three months",1,.a,,"",,"",,"",0,1,2,0,0,0,0,0,""
"21-01-77-10","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",65000,"Lump sum (single payment)",1,.a,"Poverty reduction program","","NGO","","Cash","",0,1,0,0,0,0,0,2,"clothing, livestock shed"
"81-78-91-05","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",110000,"Lump sum (single payment)",1,.a,"Poverty reduction program","","NGO","","Cash","",0,1,2,0,0,0,0,0,""
"34-25-65-08","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",45000,"Lump sum (single payment)",1,.a,"Poverty reduction program","","NGO","","Cash","",0,2,1,0,0,0,0,0,""
"66-39-11-55","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",150000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,1,2,3,4,0,0,0,""
"05-86-89-30","Rental income, residential property (apartment, house)",8000,"Monthly",1,.a,,"",,"",,"",0,1,2,3,0,0,0,0,""
"84-33-11-24","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",5067,"Monthly",1,.a,"Poverty reduction program","","NGO","","Cash","",0,1,0,0,0,0,0,0,""
"53-42-52-41","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",8000,"Every three months",1,.a,"Older persons cash transfer","","National government","","Cash","",0,1,0,0,0,0,0,0,""
"62-58-98-18","Rental income, residential property (apartment, house)",30000,"Monthly",1,.a,,"",,"",,"",2,1,3,5,4,6,7,0,""
"25-22-65-60","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",8000,"Every three months",3,.a,"Older persons cash transfer","","National government","","Cash","",0,1,0,2,0,0,0,0,""
"98-05-61-12","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",2000,"Monthly",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"93-39-60-64","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",20000,"Lump sum (single payment)",1,.a,"Emergency relief","","NGO","","Cash","",0,1,0,0,2,0,0,3,"Buy livestock"
"67-51-21-12","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",2000,"Monthly",1,.a,"Older persons cash transfer","","National government","","Cash","",0,1,2,3,0,0,0,0,""
"23-95-53-31","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",2000,"Monthly",1,.a,,"",,"",,"",0,1,0,2,0,0,0,0,""
"32-27-90-36","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",20000,"Lump sum (single payment)",1,.a,"Poverty reduction program","","NGO","","Cash","",0,1,2,4,0,3,0,0,""
"98-33-69-97","Rental income, residential property (apartment, house)",8000,"Monthly",1,.a,"Others ➡️ Specify","Rental income","Other➡️specify","Tenants","Cash","",0,1,0,0,0,0,0,0,""
"98-33-69-97","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",67000,"Monthly",2,.a,"Education subsidy","","National government","","Cash","",0,2,1,3,0,0,0,0,""
"72-65-40-82","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",3000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"09-02-42-42","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",5067,"Monthly",2,.a,"Poverty reduction program","","NGO","","Cash","",0,1,0,0,0,0,0,0,""
"29-61-04-95","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",1000,"Lump sum (single payment)",1,.a,,"",,"",,"",0,1,0,0,0,0,0,0,""
"75-38-27-75","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",2000,"Monthly",1,.a,"Emergency relief","","NGO","","Cash","",0,1,2,3,0,0,0,0,""
"75-38-27-75","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",11362,"Monthly",1,.a,"Emergency relief","","Other➡️specify","USAID","Cash","",0,1,2,3,0,0,0,0,""
"69-30-60-03","National remittances - cash transfers/gifts from individuals (relatives, friends) within the country",3000,"Monthly",1,.a,"Others ➡️ Specify","general use","Other➡️specify","relatives","Cash","",0,1,0,2,0,0,0,0,""
"69-30-60-03","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",110000,"Lump sum (single payment)",1,.a,"Poverty reduction program","","NGO","","Cash","",0,1,0,2,0,0,0,0,""
"41-64-40-11","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",20000,"Lump sum (single payment)",1,.a,"Poverty reduction program","","NGO","","Cash","",0,1,0,0,0,0,0,2,"buy iron sheets"
"63-42-88-22","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",20000,"Monthly",1,2,"Poverty reduction program","","NGO","","Cash","",0,1,0,0,2,0,0,0,""
"20-46-30-59","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",45000,"Monthly",1,2,"Poverty reduction program","","NGO","","Cash","",0,2,3,0,1,0,0,0,""
"05-33-62-23","Transfers (some kind of public/NGO transfer program (given money in daily/weekly/ monthly basis)",20000,"Lump sum (single payment)",1,.a,"Poverty reduction program","","NGO","","Other➡️specify","phone",0,1,2,0,0,0,0,0,""
