interview__key,road_1,road_2,road_3__1,road_3__2,road_3__3,road_3__4,road_3__5,road_3__6,road_3__7,road_3__8,road_3_oth,road_6,road_7,road_8,road_9,road_10,road_11__1,road_11__2,road_11__3,road_11__96,road_11_oth,road_12__1,road_12__2,road_12__3,road_12__4,road_12__5,road_12__6,road_12__7,road_12__96,road_12_oth,road_13,road_14__1,road_14__2,road_14__3,road_14__4,road_14__5,road_14__96,road_14_oth
"74-01-41-82","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,40,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"30-00-59-90","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,3,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"66-77-39-39","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,20,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"35-78-11-70","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"75-25-98-04","Murram/ gravel road","Well passable","Yes","Yes","No","No","No","No","No","No",,15,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"09-00-12-98","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","Yes","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"13-38-59-03","Dirt road/ bush road","Almost not passable","Yes","Yes","Yes","Yes","Yes","No","Yes","No",,2,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"26-77-14-31","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","No","No","No","Yes","No","No",,2,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"04-52-21-75","Dirt road/ bush road","Almost not passable","Yes","Yes","Yes","Yes","Yes","No","Yes","No",,10,"No",,,,,,,,,,,,,,,,,,,"No","No","No","Yes","No","No",
"49-10-89-14","Dirt road/ bush road","Almost not passable","Yes","Yes","Yes","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"15-13-85-83","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"81-99-34-25","Murram/ gravel road","Well passable","Yes","Yes","Yes","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"96-35-08-20","Murram/ gravel road","Only passable with certain vehicles/ at certain times","No","Yes","No","Yes","No","Yes","No","No",,2,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"78-02-12-77","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"66-37-18-93","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,10,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"77-89-79-33","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","No","No","Yes","No","Yes","No",,3,"Yes","No",,"No",,,,,,"No","Yes","No","No","No","No","No","No",,"Yes","Yes","Yes","No","No","No","No",
"09-97-47-73","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","No","No","Yes","No","No","No",,2,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"62-45-31-86","Dirt road/ bush road","Almost not passable","Yes","No","No","No","No","No","No","No",,15,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"96-13-78-99","Murram/ gravel road","Well passable","Yes","No","Yes","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"25-35-15-07","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,120,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"10-80-25-79","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","No","Yes","No","No","No","No","No",,120,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"46-89-14-96","Murram/ gravel road","Well passable","Yes","No","No","No","No","No","No","No",,20,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"80-24-04-77","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,30,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"26-82-89-21","Murram/ gravel road","Very well passable, in both rainy and dry season","Yes","Yes","No","No","No","No","No","No",,120,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"22-43-50-27","Murram/ gravel road","Well passable","Yes","No","No","No","No","No","No","No",,20,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"41-41-55-55","Murram/ gravel road","Well passable","Yes","No","No","No","No","No","No","No",,20,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"26-69-32-41","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","No","No","No","No",,10,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"68-81-12-32","Murram/ gravel road","Only passable with certain vehicles/ at certain times","No","No","No","No","No","No","Yes","No",,15,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"46-49-14-82","Dirt road/ bush road","Almost not passable","Yes","Yes","No","No","No","No","No","No",,20,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"92-16-89-27","Dirt road/ bush road","Well passable","Yes","No","No","No","Yes","No","No","No",,2,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"01-28-41-84","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"23-46-40-42","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","No","Yes","Yes","No","No","No",,3,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"93-71-36-41","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","Yes","Yes","No","No","No",,90,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"07-56-93-09","Dirt road/ bush road","Almost not passable","Yes","No","No","No","No","No","No","No",,120,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"40-07-12-46","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","Yes","No","No","Yes","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","Yes","No","No",
"68-88-48-96","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,20,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"86-70-18-69","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,5,"Yes","No",,"No",,,,,,"No","Yes","Yes","Yes","No","No","No","No",,"No","No","No","No","No","Yes","No",
"82-09-53-31","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","No","No","No","No",,10,"No",,,,,,,,,,,,,,,,,,,"Yes","Yes","No","No","No","No",
"10-84-11-85","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,60,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"93-36-47-93","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,60,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"40-02-31-47","Dirt road/ bush road","Almost not passable","Yes","No","No","No","No","No","No","No",,120,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"35-25-14-79","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","No","No","No","No",,15,"No",,,,,,,,,,,,,,,,,,,"No","Yes","No","No","No","No",
"96-32-88-00","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","No","No","No","No","Yes","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"30-07-79-13","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,80,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"05-61-96-62","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"37-32-16-74","Dirt road/ bush road","Almost not passable","Yes","Yes","Yes","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"06-96-64-70","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","No","Yes","No","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"74-21-41-84","Dirt road/ bush road","Almost not passable","Yes","No","No","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"82-96-41-85","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","Yes","No","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"58-44-33-27","Tarmac road","Very well passable, in both rainy and dry season","Yes","Yes","Yes","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"88-25-56-87","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","No","Yes","No","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"86-98-25-96","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,2,"Yes","No",,"No",,,,,,"No","Yes","Yes","Yes","Yes","No","No","No",,"Yes","No","No","No","No","Yes","No",
"09-54-26-75","Murram/ gravel road","Almost not passable","Yes","Yes","Yes","No","No","No","No","No",,20,"No",,,,,,,,,,,,,,,,,,,"Yes","Yes","No","No","No","No",
"41-61-78-73","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,60,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"90-86-53-30","Murram/ gravel road","Almost not passable","Yes","Yes","No","No","No","No","No","No",,20,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"16-75-57-30","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","No","No","No","No",,10,"No",,,,,,,,,,,,,,,,,,,"Yes","Yes","No","No","No","No",
"60-19-22-98","Murram/ gravel road","Almost not passable","Yes","Yes","No","No","No","No","No","No",,5,"No",,,,,,,,,,,,,,,,,,,"Yes","Yes","No","No","No","No",
"97-29-58-98","Murram/ gravel road","Almost not passable","Yes","No","Yes","No","No","No","No","No",,2,"No",,,,,,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"51-48-94-50","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","No","Yes","No","No","No","No",,5,"Yes","No",,"No",,,,,,"No","Yes","Yes","No","Yes","No","No","No",,"Yes","No","No","No","No","Yes","No",
