interview__key,r_infu__id,as07__1,as07__2,as07__3,as07__4,as07__5,as07__6,as07__7,as07__8,as07__9,as07__96,as07__n88,as07__n99,as07_oth,network_mostinf_gender,network_mostinf_eth,network_eth_oth,network_mostinf_agegrp,as08,as09
"76-73-19-09",2,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Ilchamus","","In their 20s",20,20
"76-73-19-09",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Ilchamus","","In their 30s",30,30
"17-23-66-97",1,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Men","Tugen","","In their 30s",0,0
"17-23-66-97",2,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 30s",10,10
"17-23-66-97",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Ilchamus","","In their 40s",20,20
"71-45-81-79",1,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Pokot","","In their 40s",10,2
"71-45-81-79",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Pokot","","In their 30s",5,3
"71-45-81-79",3,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 50s",10,5
"53-00-83-03",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 30s",2,1
"53-00-83-03",2,"No","No","No","No","No","No","No","Yes","No","No","No","No",,"Men","Ilchamus","","In their 40s",2,1
"53-00-83-03",3,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 40s",2,1
"70-80-16-39",1,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Women","Other, Specify","Kikuyu","In their 50s",21,15
"70-80-16-39",2,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Women","Ilchamus","","In their 60s",10,5
"70-80-16-39",3,"Yes","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 40s",2,2
"11-00-74-85",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 50s",10,10
"11-00-74-85",2,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 50s",8,2
"11-00-74-85",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Ilchamus","","In their 30s",30,25
"16-44-32-23",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 40s",3,2
"16-44-32-23",2,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Tugen","","In their 50s",30,3
"16-44-32-23",3,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 40s",6,3
"49-09-04-04",1,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Ilchamus","","In their 60s",10,2
"49-09-04-04",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Ilchamus","","In their 40s",20,5
"49-09-04-04",3,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Women","Ilchamus","","In their 30s",10,1
"33-01-13-01",1,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 40s",1,1
"33-01-13-01",2,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 40s",10,10
"33-01-13-01",3,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 60s",20,10
"79-39-40-36",1,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Tugen","","In their 40s",5,4
"79-39-40-36",2,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Tugen","","In their 60s",15,10
"79-39-40-36",3,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 40s",4,2
"65-53-51-27",1,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Women","Tugen","","In their 40s",30,10
"65-53-51-27",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Ilchamus","","In their 50s",14,10
"65-53-51-27",3,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 40s",25,10
"64-11-62-56",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Women","Tugen","","In their 50s",4,4
"64-11-62-56",2,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Tugen","","In their 40s",4,4
"64-11-62-56",3,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Men","Tugen","","In their 40s",30,30
"79-53-04-50",1,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Women","Ilchamus","","In their 40s",4,2
"79-53-04-50",2,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Women","Ilchamus","","In their 50s",2,2
"79-53-04-50",3,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 30s",10,5
"14-13-86-20",1,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 60s",10,7
"14-13-86-20",2,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 30s",12,7
"14-13-86-20",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Ilchamus","","In their 30s",25,18
"19-99-67-92",1,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Tugen","","In their 50s",6,6
"19-99-67-92",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Tugen","","In their 40s",10,5
"19-99-67-92",4,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Other, Specify","Nubi","In their 50s",20,20
"65-80-65-49",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 30s",8,4
"65-80-65-49",2,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 30s",5,5
"65-80-65-49",3,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 40s",4,1
"08-76-57-31",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Ilchamus","","In their 50s",2,2
"08-76-57-31",2,"Yes","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Ilchamus","","In their 30s",12,3
"08-76-57-31",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Ilchamus","","In their 50s",5,5
"02-57-88-54",1,"No","No","No","No","No","No","Yes","No","Yes","No","No","No",,"Men","Pokot","","In their 20s",8,3
"02-57-88-54",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 40s",3,0
"02-57-88-54",3,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Men","Pokot","","In their 30s",5,2
"36-87-83-91",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 50s",30,8
"36-87-83-91",2,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 50s",8,6
"36-87-83-91",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 30s",30,5
"99-46-97-26",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 40s",10,3
"99-46-97-26",2,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 50s",8,2
"99-46-97-26",3,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Ilchamus","","In their 30s",3,2
"76-21-46-00",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Women","Tugen","","In their 40s",10,2
"76-21-46-00",2,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Tugen","","In their 40s",15,5
"76-21-46-00",3,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Tugen","","In their 40s",3,1
"63-02-11-31",1,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Tugen","","In their 40s",30,25
"63-02-11-31",2,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Tugen","","In their 40s",2,2
"63-02-11-31",3,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Tugen","","In their 20s",30,28
"45-95-07-81",1,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 40s",26,6
"45-95-07-81",2,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Pokot","","In their 50s",28,4
"45-95-07-81",3,"No","No","Yes","No","No","No","No","No","No","No","No","No",,"Women","Pokot","","In their 50s",25,1
"15-84-79-29",1,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 50s",23,20
"15-84-79-29",2,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Men","Pokot","","In their 50s",28,8
"15-84-79-29",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Pokot","","In their 40s",30,3
"52-10-39-37",1,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Women","Pokot","","In their 30s",10,5
"52-10-39-37",2,"No","No","No","No","No","No","Yes","No","No","No","No","No",,"Men","Pokot","","In their 20s",15,15
"52-10-39-37",3,"No","No","No","No","No","No","Yes","No","No","Yes","No","No",,"Men","Pokot","","In their 30s",20,14
"57-47-06-86",1,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Women","Pokot","","In their 30s",20,0
"57-47-06-86",2,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Pokot","","In their 20s",10,0
