interview__key,s0_duration,s1_duration,s2_duration,s3_duration,s4_duration,s5_duration,s6_duration,s7_duration,s8_duration,s9_duration,s10_duration,s11_duration,s12_duration,s13_duration,s15_duration,interview__duration2,interview__duration,interview__duration_minutes,date,time
"67-75-50-83",2.84,31.53,.4,7.625558739255014,10.25063037249284,4.337118644067797,5.024928366762178,4.33,17.91,4.83,2.03,10.29,2.16,2.15,4.04,109.7482361225778,"00.01:25:40",85.66666666666667,"2023-06-07","13:06:52"
"02-25-92-18",1.87,32.31,1.119318181818182,11.93,10.25063037249284,3.61,7.17,4.25,35.05,6.93,1.56,13.8,1.48,4.42,3.85,139.599948554311,"00.03:35:13",215.2166666666667,"2023-06-08","10:13:58"
"49-92-48-01",3.5,19.38002865329513,2.404,7.67,8.41,7.37,5.024928366762178,3.720458452722063,28.32,5.03,1.05,12.6,1.57,3.15,8.489999999999998,117.6894154727794,"00.02:45:25",165.4166666666667,"2023-06-07","09:22:32"
"86-85-54-02",2.93,19.38002865329513,1.36,7.37,16.82,8.84,3.75,4.14,21.76,5.42,.77,28.59,1.4,3.344212034383954,3.05,128.9242406876791,"00.02:55:36",175.6,"2023-06-07","17:59:55"
"25-71-60-55",3.82,19.38002865329513,.91,9.99,14.67,4.4,5.41,6.267999999999999,36.8,7.54,1.28,9.640000000000001,2.22,2.54,5.79,130.6580286532951,"00.02:47:04",167.0666666666667,"2023-06-08","09:06:53"
"52-17-01-39",3.82,13.08,.73,10.71,10.71,7.36,4.81,3.22,15.67,7.29,1.000571428571429,19.9,2.242,1.52,6.25,108.3125714285714,"00.01:54:58",114.9666666666667,"2023-06-08","09:09:41"
"85-68-71-94",1.74,15.89,1.24,7.625558739255014,6.63,4.337118644067797,4.44,1.96,20.11,6.04,.55,32.556,1.7,2.87,4.48,112.1686773833228,"00.01:54:50",114.8333333333333,"2023-06-08","11:15:25"
"88-33-53-02",3.79,11.64,.84,8.51,6.08,6.37,4.16,2.68,37.694,5.904485714285714,1.87,19.62,1.77,1.52,4.359570200573066,116.8080559148588,"00.02:10:56",130.9333333333333,"2023-06-08","07:26:35"
"73-16-52-51",2.51,31.65,1.119318181818182,7.625558739255014,10.25063037249284,4.337118644067797,4.92,5.57,24.26126074498567,5.904485714285714,2.03,17.45193732193732,1.371647727272727,3.344212034383954,4.02,126.3661694804992,"00.04:06:30",246.5,"2023-06-08","08:06:13"
"29-32-71-31",2.85,20.06,1.119318181818182,7.625558739255014,10.49,10.184,5.024928366762178,5.49,21.58,8.539999999999999,.45,13.4,1.371647727272727,3.9,3.56,115.6454530151081,"00.02:22:36",142.6,"2023-06-08","07:34:36"
"08-80-55-70",1.648,19.38002865329513,.4,5.67,10.25063037249284,.1,5.024928366762178,2.6,28.57,5.904485714285714,.66,32.556,2.242,3.6,3.26,121.8660731068359,"00.02:25:15",145.25,"2023-06-08","11:33:33"
"58-68-82-05",3.15,20.01,.53,5.16,10.25063037249284,6.01,3.43,3.88,14.38,5.32,2.03,17.45193732193732,1,2.63,2.61,97.84256769443016,"00.02:11:27",131.45,"2023-06-08","12:01:46"
"40-89-66-86",4.52,32.31,1.55,6.3,12.27,8.56,6.31,4.16,24.26126074498567,5.904485714285714,2.03,15.43,1.21,4.67,2.73,132.2157464592714,"00.02:05:20",125.3333333333333,"2023-06-08","09:39:29"
"88-30-77-96",3.05,30.96,1.119318181818182,11.944,17.06,4.337118644067797,5.024928366762178,3.720458452722063,37.694,5.904485714285714,.64,32.556,1.94,5.778,3.58,165.3083093596559,"00.03:14:38",194.6333333333333,"2023-06-08","13:15:45"
"72-26-90-86",3.01,19.98,.72,4.582,10.96,3.01,7.93,2.88,15.67,8.029999999999999,1.12,17.45193732193732,2.242,3.344212034383954,2.94,103.8701493563213,"00.02:19:53",139.8833333333333,"2023-06-08","08:04:41"
"49-59-81-92",4.26,10.06,.45,5,10.46,4.07,3.54,3.720458452722063,24.26126074498567,5.904485714285714,1.05,9.460000000000001,1.33,2.91,1.92,88.39620491199345,"00.02:00:09",120.15,"2023-06-08","11:49:36"
"21-01-20-88",3.09,24.07,1.33,11.944,10.25063037249284,.27,5.76,3.720458452722063,24.26126074498567,8.25,1.26,17.45193732193732,1.8,3.344212034383954,5.08,121.8824989265218,"00.03:03:58",183.9666666666667,"2023-06-08","11:47:23"
"79-70-14-90",1.82,19.38002865329513,.57,4.73,7.46,.1,2.726,2.54,24.26126074498567,5.904485714285714,.75,17.45193732193732,1.23,2.93,2.4,94.25371243450384,"00.01:42:05",102.0833333333333,"2023-06-08","09:51:42"
"80-75-47-72",2.61,19.38002865329513,1.119318181818182,5.73,9.609999999999999,.17,4.04,4.5,14.61,4.55,.99,18.14,.73,3.15,1.96,91.28934683511331,"00.01:32:47",92.78333333333333,"2023-06-08","13:51:07"
"56-08-93-09",4.95,24.61,1.14,7.625558739255014,18.618,4.337118644067797,7.71,3.63,21.94,5.07,1.000571428571429,10.68,1.371647727272727,3.85,6.79,123.322896539167,"00.02:24:00",144,"2023-06-08","12:59:25"
"17-42-48-26",3.67,10.64,.6,5.23,8.09,.18,2.96,3.720458452722063,26.82,8.542,.54,22.01,.8,3.344212034383954,1.918,99.06467048710601,"00.02:23:20",143.3333333333333,"2023-06-08","09:43:22"
"48-20-15-07",3.73,23.17,.63,11.34,10.64,.19,5.52,3.31,16.07,3.88,1.06,11.42,1.371647727272727,4.37,5.47,102.1716477272727,"00.02:54:48",174.8,"2023-06-08","07:56:03"
"14-03-97-85",3.062378223495702,28.05,.75,8.300000000000001,9.42,4.337118644067797,5.024928366762178,5.14,19.94,5.904485714285714,1.14,14.93,.6899999999999999,2.07,3.21,111.9689109486114,"00.02:06:45",126.75,"2023-06-08","15:26:43"
