interview__key,as10,as11,as12,as13,as14,as15,as16__1,as16__2,as16__3,as16__4,as16__5,as16__6,as16__7,as16__8,as16__9,as16__96,as16_oth,as19,as17,as18__1,as18__2,as18__3,as18__4,as18__5,as18__6,as18__7,as18__8,as18__9,as18__10,as18__11,as18__96
"91-57-65-34","Yes","No","No","No","Yes",3000,"Yes","No","No","No","No","No","No","Yes","No","No",,"Yes","No",,,,,,,,,,,,
"61-08-28-75","No","Yes","No","Yes","Yes",60,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"08-98-76-07","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"07-58-78-17","Yes","No","No","Yes","Yes",500,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"50-08-29-58","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"21-97-24-76","No","Yes","Yes","No","No",,,,,,,,,,,,,"Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","No","No","No"
"47-86-23-98","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"58-41-17-07","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"27-41-68-88","No","Yes","No","Yes","Yes",100,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"36-57-67-99","Yes","No","No","Yes","Yes",300,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"14-01-18-55","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"25-45-40-50","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"28-45-95-92","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"52-38-49-21","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"59-05-06-39","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"07-23-34-26","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"74-55-33-17","No","No","No","No","Yes",2500,"Yes","No","No","No","No","No","No","Yes","No","No",,"No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"63-06-38-69","No","No","No","Yes","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"05-74-67-92","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"98-46-70-51","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"36-97-15-03","No","Yes","No","No","Yes",500,"Yes","No","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"31-20-72-58","No","No","No","No","Yes",300,"Yes","No","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"59-12-76-31","No","No","No","No","Yes",500,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"07-54-13-18","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"84-52-73-65","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"85-09-03-91","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"56-01-39-00","Yes","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"69-33-88-72","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"26-09-67-07","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"69-39-81-14","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"00-76-43-47","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"29-40-24-48","No","Yes","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"79-00-21-46","Yes","No","Yes","No","Yes",2000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes"
"46-34-68-84","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"45-00-04-40","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"22-15-19-43","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"09-01-21-24","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"28-05-99-59","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"78-33-63-09","No","No","No","Yes","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"21-06-84-39","No","No","No","No","Yes",150,"Yes","No","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"96-45-29-81","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"82-78-33-54","No","Yes","No","Yes","Yes",2000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"01-53-98-85","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"15-34-27-17","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"84-32-88-02","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"02-43-89-26","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"36-62-21-63","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"98-63-71-97","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"07-88-71-07","No","No","No","No","Yes",100,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"18-07-56-01","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"76-16-53-82","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"36-91-65-20","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"22-29-07-01","No","No","No","No","Yes",200,"Yes","No","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"53-93-66-67","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"37-39-06-63","No","No","No","No","Yes",50,"Yes","No","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"17-95-97-27","No","Yes","No","Yes","Yes",200,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
