interview__key,ctry,region,dist,village,ea,hhid,res_ident,attempt_1,reason_not_interviewed,reason_not_interviewed_other,replacement,is_replacement,interviewed_consent,res_head,res_rel,interview_possible
"47-86-23-98","Zambia","Western province","Mwandi","Simbala","Mushukula","100021109","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"58-41-17-07","Zambia","Western province","Mwandi","Ntesa","Kalundu","100021413","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"27-41-68-88","Zambia","Western province","Mwandi","Simbala","Kalundu","100021407","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"36-57-67-99","Zambia","Western province","Mwandi","Simbala","Mushukula","100021111","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"14-01-18-55","Zambia","Western province","Mwandi","Simbala","Mushukula","100021105","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"25-45-40-50","Zambia","Western province","Mwandi","Ntesa","Kalundu","100021412","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"28-45-95-92","Zambia","Western province","Mwandi","Nakalamba","Simungoma","100021308","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"52-38-49-21","Zambia","Western province","Mwandi","Ntesa","Kalundu","100021409","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"59-05-06-39","Zambia","Western province","Mwandi","Simbala","Mushukula","100021108","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"07-23-34-26","Zambia","Western province","Mwandi","Ntesa","Kalundu","100021414","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"74-55-33-17","Zambia","Western province","Mwandi","Simbala","Mushukula","100021106","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"63-06-38-69","Zambia","Western province","Mwandi","Simbala","Kalundu","100021402","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"05-74-67-92","Zambia","Western province","Mwandi","Simbala","Kalundu","100021404","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"98-46-70-51","Zambia","Western province","Mwandi","Simbala","Mushukula","100021115","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"36-97-15-03","Zambia","Western province","Mwandi","Simbala","Mushukula","100021102","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"31-20-72-58","Zambia","Western province","Mwandi","Simbala","Mushukula","100021113","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"59-12-76-31","Zambia","Western province","Sesheke","Sililo","Luampungu 2","100012112","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"07-54-13-18","Zambia","Western province","Sesheke","Sililo","Luampungu 2","100012113","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"84-52-73-65","Zambia","Western province","Mwandi","Mbaene","Magumwi","100021210","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"85-09-03-91","Zambia","Western province","Sesheke","Namwinga","Luampungu 2","100012111","Yes",,,"",,"No",1,"Head of the household",,"No"
"56-01-39-00","Zambia","Western province","Sesheke","Namwinga","Luampungu 2","100012104","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"69-33-88-72","Zambia","Western province","Sesheke","Namwinga","Luampungu 2","100012110","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"26-09-67-07","Zambia","Western province","Sesheke","Makusi","Katima 2","100011910","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"69-39-81-14","Zambia","Western province","Sesheke","Namwinga","Luampungu 2","100012115","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"00-76-43-47","Zambia","Western province","Sesheke","Namwinga","Luampungu 2","100012105","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"29-40-24-48","Zambia","Western province","Sesheke","Kayombo","Luampungu 2","100012108","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"79-00-21-46","Zambia","Western province","Sesheke","Namwinga","Luampungu 1","100012010","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"46-34-68-84","Zambia","Western province","Sesheke","Sikela","Luampungu 1","100012016","No","Yes","Household not found","","Yes","Yes",1,"Head of the household",,"Yes"
"45-00-04-40","Zambia","Western province","Sioma","Sikuka","Sioma 1","100033908","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"22-15-19-43","Zambia","Western province","Sesheke","Sililo","Luampungu 1","100012013","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"09-01-21-24","Zambia","Western province","Sesheke","Sikela","Luampungu 1","100012003","No","Yes","Household moved to another village/town/district","","Yes","Yes",1,"Head of the household",,"Yes"
"28-05-99-59","Zambia","Western province","Sesheke","Kayombo","Luampungu 2","100012109","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"78-33-63-09","Zambia","Western province","Sesheke","Kayombo","Luampungu 2","100012103","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"21-06-84-39","Zambia","Western province","Sesheke","Masilingi","Luampungu 1","100012014","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"96-45-29-81","Zambia","Western province","Sesheke","Namwinga","Luampungu 2","100012106","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"82-78-33-54","Zambia","Western province","Sioma","Sikuka","Sioma 1","100033910","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"01-53-98-85","Zambia","Western province","Sioma","Sikuka","Sioma 1","100033915","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"15-34-27-17","Zambia","Western province","Sesheke","Kachola","Silumbu","100012404","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"84-32-88-02","Zambia","Western province","Sesheke","Kamamba","Luampungu 1","100012007","No","Yes","Other (Specify)","household deceased","Yes","Yes",1,"Head of the household",,"Yes"
"02-43-89-26","Zambia","Western province","Sesheke","Kamamba","Luampungu 1","100012004","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"36-62-21-63","Zambia","Western province","Sesheke","Sililo","Luampungu 1","100012002","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"98-63-71-97","Zambia","Western province","Sesheke","Namande","Silumbu","100012412","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"07-88-71-07","Zambia","Western province","Sioma","Sikuka","Sioma 1","100033907","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"18-07-56-01","Zambia","Western province","Sesheke","Kayombo","Luampungu 2","100012107","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"76-16-53-82","Zambia","Western province","Sesheke","Sililo","Luampungu 1","100012001","No","Yes","Refused","","Yes","Yes",1,"Head of the household",,"Yes"
"36-91-65-20","Zambia","Western province","Sioma","Lenge","Sioma 1","100033912","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"22-29-07-01","Zambia","Western province","Sesheke","Mbilika","Luampungu 2","100012101","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"53-93-66-67","Zambia","Western province","Sesheke","Sililo","Luampungu 1","100012005","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"37-39-06-63","Zambia","Western province","Sesheke","Sililo","Luampungu 1","100012008","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"17-95-97-27","Zambia","Western province","Sioma","Sikuka","Sioma 1","100033909","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"92-61-03-62","Zambia","Western province","Sesheke","Sililo","Luampungu 1","100012006","No","Yes","Dwelling destroyed","","Yes","Yes",1,"Head of the household",,"Yes"
"02-86-94-14","Zambia","Western province","Sesheke","Kachola","Silumbu","100012407","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"26-53-37-24","Zambia","Western province","Sesheke","Matula","Silumbu","100012413","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"73-57-99-74","Zambia","Western province","Sesheke","School Compound","Silumbu","100012402","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"49-29-23-58","Zambia","Western province","Sesheke","Namande","Silumbu","100012409","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"71-13-07-75","Zambia","Western province","Sesheke","Namande","Silumbu","100012406","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"19-53-43-56","Zambia","Western province","Sesheke","Matula","Silumbu","100012414","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"57-61-80-20","Zambia","Western province","Sioma","Sikuka","Sioma 1","100033913","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"66-47-36-80","Zambia","Western province","Sesheke","Namande","Silumbu","100012405","No","Yes","Household moved to another village/town/district","","Yes","Yes",1,"Head of the household",,"Yes"
"55-47-02-66","Zambia","Western province","Sesheke","Kachola","Silumbu","100012410","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"69-74-76-81","Zambia","Western province","Sioma","Sankandi","Sioma 1","100033914","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"25-51-33-57","Zambia","Western province","Sioma","Lenge","Sioma 1","100033905","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"99-83-71-81","Zambia","Western province","Sioma","Nalwanda","Kalongola 1","100032501","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"30-46-44-49","Zambia","Western province","Sesheke","Kale Primary/Basic","Silumbu","100012401","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"03-30-12-96","Zambia","Western province","Sioma","Namayula","Kalongola 2","100032615","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"35-16-22-13","Zambia","Western province","Sioma","Namilenga","Kalongola 2","100032606","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"96-28-28-46","Zambia","Western province","Sioma","Namayula","Kalongola 2","100032613","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"10-32-26-69","Zambia","Western province","Sesheke","Matula","Silumbu","100012415","No","Yes","Refused","","Yes","Yes",1,"Head of the household",,"Yes"
"68-75-69-07","Zambia","Western province","Sioma","Namilenga","Kalongola 2","100032607","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"02-58-63-69","Zambia","Western province","Sioma","Silowana Likondwama","Kalongola 1","100032513","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"58-12-98-10","Zambia","Western province","Sioma","Namilenga","Kalongola 2","100032603","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"22-68-19-10","Zambia","Western province","Sioma","Namilenga","Kalongola 2","100032612","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"99-42-05-34","Zambia","Western province","Sesheke","Sililo","Luampungu 2","100012114","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"21-29-11-98","Zambia","Western province","Sioma","Namilenga","Kalongola 2","100032608","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"06-11-50-44","Zambia","Western province","Sesheke","Kachola","Luampungu 1","100012009","No","Yes","Household moved to another village/town/district","","Yes","Yes",1,"Head of the household",,"Yes"
"38-44-09-59","Zambia","Western province","Sioma","Namilenga","Kalongola 2","100032609","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"81-45-35-86","Zambia","Western province","Sioma","Lenge","Sioma 1","100033906","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"83-11-66-41","Zambia","Western province","Sioma","Namilenga","Kalongola 2","100032614","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"45-34-02-51","Zambia","Western province","Sioma","Likondwama","Kalongola 1","100032510","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"26-37-15-28","Zambia","Western province","Sioma","Lenge","Sioma 1","100033901","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"73-50-61-74","Zambia","Western province","Sioma","Nalwanda","Kalongola 1","100032502","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"58-09-34-36","Zambia","Western province","Sioma","Silowana Likondwama","Kalongola 1","100032508","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"94-78-30-89","Zambia","Western province","Sioma","Nalwanda","Kalongola 1","100032503","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"97-62-61-29","Zambia","Western province","Sioma","Silowana","Kalongola 1","100032515","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"16-35-49-05","Zambia","Western province","Sioma","Silowana","Kalongola 1","100032514","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"18-48-69-27","Zambia","Western province","Sioma","Nalwanda","Kalongola 1","100032504","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"30-61-23-28","Zambia","Western province","Sesheke","Sitwatwa","Katima 2","100011913","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"91-09-11-51","Zambia","Western province","Sioma","Nalwanda","Kalongola 1","100032505","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"03-15-59-01","Zambia","Western province","Sesheke","Nangandwe","Silumbu","100012403","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"51-88-98-79","Zambia","Western province","Sioma","Silowana Likondwama","Kalongola 1","100032507","No","Yes","Other (Specify)","Deceased","Yes","Yes",1,"Head of the household",,"Yes"
"38-99-58-33","Zambia","Western province","Sioma","Lenge","Sioma 1","100033904","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"73-78-76-86","Zambia","Western province","Sioma","silowana","Kalongola 1","100032511","No","No",,"","Yes","Yes",1,"Head of the household",,"Yes"
"16-76-51-56","Zambia","Western province","Sioma","silowana likondwana","Kalongola 1","100032509","No","Yes","Household not found","","Yes","Yes",1,"Head of the household",,"Yes"
"34-75-99-64","Zambia","Western province","Sesheke","Namutondo","Kalobelelwa 2","100011713","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"00-76-59-09","Zambia","Western province","Sioma","Likondwama","Kalongola 1","100032512","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"03-36-35-32","Zambia","Western province","Sioma","Mushiana","Kalongola 2","100032611","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"66-74-25-56","Zambia","Western province","Sioma","Sankandi","Sioma 1","100033903","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"80-48-62-68","Zambia","Western province","Sioma","Nalwanda","Kalongola 1","100032506","Yes",,,"",,"No",1,"Representative of the head","Sister","Yes"
"67-59-61-49","Zambia","Western province","Sesheke","Namande","Silumbu","100012411","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"23-88-68-38","Zambia","Western province","Sioma","Namilenga","Kalongola 2","100032601","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"24-58-49-24","Zambia","Western province","Sioma","Namilenga","Kalongola 2","100032605","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"27-73-91-69","Zambia","Western province","Sioma","Kalongola","Nangweshi 2","100033515","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"88-41-94-49","Zambia","Western province","Sioma","Sikuka","Sioma 1","100033911","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"83-47-45-70","Zambia","Western province","Sioma","Namilenga","Kalongola 2","100032604","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"06-72-44-70","Zambia","Western province","Sioma","Mushiana","Kalongola 2","100032610","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"85-25-38-04","Zambia","Western province","Sioma","Lenge","Sioma 1","100033902","No","Yes","Household moved to unknown location","","Yes","Yes",1,"Head of the household",,"Yes"
"99-72-02-18","Zambia","Western province","Sioma","Kabula 1","Liwandamo 2","100032806","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"76-93-76-77","Zambia","Western province","Sioma","Sikanda","Sioma 2","100034005","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"25-81-57-24","Zambia","Western province","Sioma","Kalongola","Nangweshi 2","100033512","Yes",,,"",,"No",1,"Representative of the head","Sister-in-law","Yes"
"18-66-56-26","Zambia","Western province","Sioma","Kalongola","Nangweshi 2","100033513","No","Yes","Household not found","","Yes","Yes",1,"Head of the household",,"Yes"
"38-35-03-16","Zambia","Western province","Sioma","Kabula 1","Liwandamo 2","100032807","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"87-43-13-02","Zambia","Western province","Sioma","Kalongola","Nangweshi 2","100033501","Yes",,,"",,"No",1,"Head of the household",,"Yes"
"06-72-27-90","Zambia","Western province","Sioma","Munguli","Sioma 2","100034007","Yes",,,"",,"No",1,"Representative of the head","Spouse","Yes"
"10-09-48-91","Zambia","Western province","Sioma","Liyoyelo","Liwandamo 2","100032801","No","Yes","Household moved to unknown location","","Yes","Yes",1,"Head of the household",,"Yes"
"89-20-17-64","Zambia","Western province","Sioma","Sikanda","Sioma 2","100034013","Yes",,,"",,"No",1,"Head of the household",,"Yes"
