interview__key,num_plots,lnd_mes,lnd_mes_1,plot_name,plot_area,begin_year,land_acquire,time_plot_home,soil_type,signs_good_plot__1,signs_good_plot__2,signs_good_plot__3,signs_good_plot__4,signs_good_plot__5,signs_good_plot__6,signs_good_plot__96,signs_good_plot_oth,plot_problem__1,plot_problem__2,plot_problem__3,plot_problem__4,plot_problem__5,plot_problem__6,plot_problem__96,plot_problem_other,if_soilwater_cons__1,if_soilwater_cons__2,if_soilwater_cons__3,if_soilwater_cons__4,if_soilwater_cons__5,if_soilwater_cons__6,if_soilwater_cons__7,if_soilwater_cons__9,if_soilwater_cons__10,if_soilwater_cons__11,if_soilwater_cons__12,if_soilwater_cons__13,if_soilwater_cons__14,if_soilwater_cons__15,if_soilwater_cons__96,if_soilwater_conservation_other,trees_onfarm,why_trees__1,why_trees__2,why_trees__3,why_trees__4,why_trees__5,why_trees__96,why_trees_oth
"06-72-27-90",1,"Hectares","","Munguli",8,"1998","Ceded by traditional authorities",20,"Silt",0,1,0,0,0,0,0,"",0,1,0,0,0,0,0,"",0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,"","Yes",0,0,1,0,0,0,""
"10-09-48-91",1,"Hectares","","Mbonyi",5,"2019","Inherited",60,"Loam",0,0,1,1,0,0,0,"",0,1,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","Yes",1,0,0,0,0,0,""
"89-20-17-64",5,"Other➡️ Please specify","lima","mbonyi",3,"2020","Ceded by relatives",15,"Sand",0,1,0,1,0,0,0,"",0,0,0,0,0,0,1,"none",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"","Yes",0,1,0,0,0,0,""
"61-30-29-22",3,"Hectares","","1",2,"1994","Inherited",60,"Silt",1,0,0,0,0,0,0,"",0,1,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Yes",1,1,0,0,0,0,""
"32-64-82-60",1,"Other➡️ Please specify","Lima (1 Lima =0.25 hectares)","Limakazo",3,"2021","Inherited",30,"Silt",1,0,0,0,0,0,0,"",0,1,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"","Yes",1,0,0,0,0,0,""
"05-69-71-03",1,"Other➡️ Please specify","lima","mbonyi",2.5,"2018","Ceded by relatives",60,"Sand",0,1,0,1,0,0,0,"",0,0,0,0,0,0,1,"none",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"","Yes",0,1,0,0,0,0,""
"62-54-48-69",1,"Hectares","","kwalutondo",3,"2015","Inherited",60,"Loam",0,1,0,0,0,0,0,"",0,1,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","Yes",1,0,0,0,0,0,""
"40-71-41-17",1,"Other➡️ Please specify","Lima (1 Lima=0.25 hectares)","Mervis",5,"2010","Ceded by relatives",60,"Silt",1,0,0,0,0,0,0,"",0,1,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"","Yes",1,1,0,0,0,0,""
"59-04-18-69",2,"Hectares","","Sikanda",5,"2001","Inherited",3,"Sand",0,1,0,0,0,0,0,"",0,1,0,0,0,0,0,"",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"","Yes",1,1,0,0,0,0,""
"99-19-59-36",1,"Hectares","","Mushitu",.8,"1992","Inherited",30,"Silt",0,0,0,0,0,1,0,"",0,1,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"","Yes",1,1,0,0,0,0,""
