interview__key,markt_output_dist,markt_input_dist,markt_buyer,markt_buyer_oth,crop_contract,contract_crop,input_access_subsidy,subsidy_type__1,subsidy_type__2,subsidy_type__3,subsidy_type__4,subsidy_supplier__1,subsidy_supplier__2,subsidy_supplier__3,subsidy_supplier__96,subsidy_supplier__n888,subsidy_supplier__n999,subsidy_supplier_oth
"28-45-95-92",20,20,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"52-38-49-21",80,80,"Direct individuals not in a market","","No","","Yes","Yes","No","No","No","Yes","No","No","No","No","No",
"59-05-06-39",75,75,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"07-23-34-26",20,20,"Market in this village","","No","","Yes","Yes","No","No","No","Yes","No","No","No","No","No",
"74-55-33-17",75,75,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"63-06-38-69",65,65,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"05-74-67-92",65,10,"Market in this village","","No","","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No",
"98-46-70-51",65,65,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"36-97-15-03",65,65,"Market in this village","","Yes","MAIZE","No",,,,,,,,,,,
"31-20-72-58",,,,"",,"",,,,,,,,,,,,
"59-12-76-31",105,105,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"07-54-13-18",105,105,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"84-52-73-65",20,20,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"85-09-03-91",115,115,"Market in this village","","No","","No",,,,,,,,,,,
"56-01-39-00",90,90,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
"69-33-88-72",110,110,"Market in this village","","No","","No",,,,,,,,,,,
"26-09-67-07",48,48,"Others ➡️ Specify","I never sell","No","","No",,,,,,,,,,,
"69-39-81-14",120,120,"Urban market (town) in this region","","No","","No",,,,,,,,,,,
"00-76-43-47",90,90,"Direct individuals not in a market","","No","","No",,,,,,,,,,,
