interview__key,r_members__id,migrant_ind,migrant_current,migrant_past,migr_itt,migr_desti,migr_desti_oth,migrant_year_first,migrant_year_recent,migrant_months_no,migrant_visit,remit_amt,remit_receiver
"91-72-91-72",2,"No",,"No","No intention to migrate",,"",,,,,,
"91-72-91-72",3,"No",,"No","No intention to migrate",,"",,,,,,
"91-72-91-72",5,"No",,"No","No intention to migrate",,"",,,,,,
"91-72-91-72",8,"No",,"No","No intention to migrate",,"",,,,,,
"07-58-36-50",1,"No",,"No","No intention to migrate",,"",,,,,,
"07-58-36-50",2,"No",,"No","No intention to migrate",,"",,,,,,
"07-58-36-50",3,"No",,"No","No intention to migrate",,"",,,,,,
"07-58-36-50",4,"No",,"No","No intention to migrate",,"",,,,,,
"27-63-39-98",1,"No",,"No","No intention to migrate",,"",,,,,,
"27-63-39-98",2,"No",,"No","No intention to migrate",,"",,,,,,
"27-63-39-98",3,"No",,"No","Yes temporarily migrate","Village in region","",,,,,,
"27-63-39-98",4,"No",,"No","Don’t know",,"",,,,,,
"27-63-39-98",6,"No",,"No","Yes temporarily migrate","Village in region","",,,,,,
"31-14-07-01",1,"No",,"No","No intention to migrate",,"",,,,,,
"31-14-07-01",2,"No",,"No","Don’t know",,"",,,,,,
"31-14-07-01",3,"No",,"No","Don’t know",,"",,,,,,
"31-14-07-01",4,"No",,"No","Don’t know",,"",,,,,,
"96-79-76-17",1,"No",,"No","No intention to migrate",,"",,,,,,
"96-79-76-17",2,"No",,"No","No intention to migrate",,"",,,,,,
"96-79-76-17",3,"No",,"No","No intention to migrate",,"",,,,,,
"96-79-76-17",4,"No",,"No","No intention to migrate",,"",,,,,,
"96-79-76-17",5,"No",,"No","No intention to migrate",,"",,,,,,
"96-79-76-17",6,"No",,"No","No intention to migrate",,"",,,,,,
"96-79-76-17",7,"No",,"No","No intention to migrate",,"",,,,,,
"23-90-90-29",1,"No",,"No","No intention to migrate",,"",,,,,,
"23-90-90-29",2,"No",,"No","No intention to migrate",,"",,,,,,
"23-90-90-29",3,"No",,"No","No intention to migrate",,"",,,,,,
"23-90-90-29",4,"No",,"No","No intention to migrate",,"",,,,,,
"23-90-90-29",5,"No",,"No","No intention to migrate",,"",,,,,,
"23-90-90-29",6,"No",,"No","No intention to migrate",,"",,,,,,
"99-47-47-96",1,"No",,"No","No intention to migrate",,"",,,,,,
"99-47-47-96",2,"No",,"No","No intention to migrate",,"",,,,,,
"99-47-47-96",3,"No",,"No","No intention to migrate",,"",,,,,,
"99-47-47-96",4,"No",,"No","No intention to migrate",,"",,,,,,
"99-47-47-96",5,"No",,"No","No intention to migrate",,"",,,,,,
"99-47-47-96",6,"No",,"No","No intention to migrate",,"",,,,,,
"99-47-47-96",7,"No",,"No","No intention to migrate",,"",,,,,,
"48-69-67-88",1,"No",,"No","No intention to migrate",,"",,,,,,
"93-76-93-98",1,"No",,"No","No intention to migrate",,"",,,,,,
"02-49-04-36",1,"No",,"No","No intention to migrate",,"",,,,,,
"02-49-04-36",2,"No",,"No","No intention to migrate",,"",,,,,,
"02-49-04-36",3,"No",,"No","No intention to migrate",,"",,,,,,
"97-96-55-67",1,"No",,"No","No intention to migrate",,"",,,,,,
"97-96-55-67",2,"No",,"No","No intention to migrate",,"",,,,,,
"97-96-55-67",3,"No",,"No","No intention to migrate",,"",,,,,,
"97-96-55-67",4,"No",,"No","No intention to migrate",,"",,,,,,
"97-96-55-67",5,"No",,"No","No intention to migrate",,"",,,,,,
"55-00-90-34",1,"Yes","No","Yes",,,"",2017,2022,,,,
"55-00-90-34",2,"No",,"No","No intention to migrate",,"",,,,,,
