interview__key,lvexp01_11,lvexp02_12,lvexp03_13,lvexp04_14,lvexp05_15,lvexp06_16
"65-50-61-63",,,,,,""
"14-25-07-27",0,0,500,0,0,"0"
"95-81-39-58",0,0,490,0,0,"0"
"63-48-87-87",0,0,0,0,0,"0"
"49-38-87-08",,,,,,""
"56-09-22-69",0,0,500,0,0,"0"
"52-67-58-90",,,,,,""
"61-51-30-74",0,0,200,0,0,"0"
"90-75-70-65",0,0,175,0,0,"0"
"70-34-30-04",0,0,530,0,0,"0"
"00-18-21-78",0,0,0,0,0,"0"
"80-41-37-09",0,0,0,0,0,"0"
"62-10-09-84",0,0,0,0,0,"0"
"16-01-99-93",420,0,0,0,0,"0"
"91-31-71-31",,,,,,""
"14-78-47-78",0,0,200,0,0,"0"
"07-03-43-18",,,,,,""
"87-80-74-34",0,0,0,0,0,"0"
"39-19-95-41",0,0,0,0,0,"0"
"13-94-38-36",0,0,350,0,0,"0"
"64-10-30-77",0,0,0,0,0,"0"
"98-88-46-23",0,0,300,0,0,"0"
"35-26-63-26",0,0,200,0,0,"0"
"77-44-63-61",0,0,300,0,0,"0"
"26-64-90-32",0,0,5000,0,3000,"0"
"15-44-39-66",,,,,,""
"97-96-32-80",0,0,1500,0,0,"0"
"65-28-62-87",0,0,600,0,0,"0"
"91-95-41-16",0,0,120,0,0,"0"
"65-02-00-05",0,0,0,0,0,"0"
"48-22-83-32",0,0,680,0,0,"0"
"53-04-96-58",,,,,,""
"93-77-89-30",,,,,,""
"03-06-71-34",,,,,,""
"38-24-53-68",0,0,600,0,900,"0"
"76-44-39-80",,,,,,""
"17-98-15-90",,,,,,""
"43-89-48-48",,,,,,""
"46-95-44-44",,,,,,""
"79-36-03-31",,,,,,""
"37-08-68-08",0,0,0,0,0,"0"
"76-66-08-56",0,0,300,0,0,"0"
"84-78-41-82",0,0,0,0,0,"0"
"33-73-65-41",0,0,0,0,0,"0"
"15-05-96-27",0,0,0,0,0,"0"
"04-08-02-81",0,0,0,0,0,"0"
"48-12-37-19",0,0,0,0,0,"0"
"99-22-87-46",0,0,0,0,0,"0"
"05-46-14-17",,,,,,""
"21-68-94-15",0,0,360,0,0,"0"
"40-56-04-29",,,,,,""
"58-04-84-61",0,0,500,0,4200,"0"
"92-36-21-21",0,0,138,0,0,"0"
"14-57-41-87",0,0,0,0,0,"0"
"96-30-76-58",,,,,,""
"94-10-09-72",,,,,,""
"63-44-25-02",,,,,,""
"66-67-56-06",0,0,0,0,0,"0"
"61-94-69-82",0,0,0,0,0,"0"
"72-52-17-18",0,0,0,0,0,"0"
"90-79-08-36",0,0,70,0,0,"0"
