interview__key,lnd_mes,lnd_mes_1,lnd01,lnd02,lnd03,lnd04,lnd08,lnd09,lnd06,lnd_ten01,lnd_ten02,lnd_ten03,lnd_ten04,lnd_ten08,lnd_ten09,lnd_ten06,lnd_07,lnd_08,lnd_08_1,lnd_09,lnd_09_1,lnd_10,lnd_11,lnd_12,lnd_13__1,lnd_13__2,lnd_13__3,lnd_13__4,lnd_13__5,lnd_13__6,lnd_13__7,lnd_13__8,lnd_13__9,lnd_13__10,lnd_13__96,lnd_13_oth,f01,f03,f04__1,f04__2,f04__3,f04__96,f04_1,f05,lnd_14,lnd_15,lnd_16,lnd_17,lnd_18,lnd_18_oth,num_plots,more_plot,more_plot_explain
"52-71-69-48","Hectares","",0,0,0,20,0,0,0,,,,"Communally owned",,,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,4,"Massive decrease","Massive decrease","No",,,"",0,"Yes","Build a house (holiday home)"
"88-38-32-86","Hectares","",2,0,0,0,.08,0,0,"Private owned with no land title",,,,"Leased/rented",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","Slight decrease","No",,,"",2,"Yes","To build"
"78-51-51-91","Other➡️ Please specify","Lima (1 lima= 0.25 hectares)",10,0,0,0,.5,0,0,"Communally owned",,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",1,"Yes","The current one has run out of fertility"
"98-42-68-21","Other➡️ Please specify","Lima, 1 Lima=0.25ha",14,0,0,0,.25,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",1,"No","The current one is adequate"
"23-92-64-64","Hectares","",1.2,0,0,0,.14,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"No",,"",,"",,"Very likely","No",,,,,,,,,,,,,"No",,,,,,,0,"Slight decrease","Slight decrease","No",,,"",1,"Yes","To extend her farmland"
"33-60-76-52","Hectares","",1,0,0,0,.06,0,0,"Communally owned",,,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",1,"No","am too old to have another farm"
"99-53-97-21","Other➡️ Please specify","Lima (1 Lima= 0.25 hectares)",10,0,0,0,.5,0,0,"Communally owned",,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",1,"No","I have enough"
"35-30-07-09","Other➡️ Please specify","lima",3,1.25,2.5,0,.25,0,0,"Private owned with no land title","Private owned with no land title","Private owned with no land title",,"Private owned with no land title",,,"Yes","Within family","","LC Court","","Yes","Very unlikely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"Yes",1.5,"Yes","No","No","No",,0,"Slight decrease","Slight decrease","No",,,"",2,"Yes","to extend farming activities"
"84-39-86-14","Hectares","",2,0,0,0,.06,0,0,"Communally owned",,,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",2,"No","what I have is enough for now"
"33-93-88-48","Hectares","",3,0,0,0,1,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"Yes","Other individuals","","Nowhere","","No","Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,21,"Massive decrease","Massive decrease","No",,,"",3,"Yes","still want a plot my family is big"
"93-94-24-13","Hectares","",1.5,1.25,0,0,.15,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,9,"Slight decrease","Slight decrease","No",,,"",1,"Yes","To run a business"
"02-86-42-10","Other➡️ Please specify","Lima, 1Lima =0.25ha",10,0,0,0,1,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"No",,"",,"",,"unlikely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"Slight decrease","Slight decrease","No",,,"",1,"No","Lack of manpower"
"18-90-95-90","Hectares","",3,0,0,0,.25,0,0,"Communally owned",,,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",4,"No","i have enough for now"
"71-80-40-68","Hectares","",1,1,0,10,.5,0,0,"Private owned with no land title","Private owned with no land title",,"Communally owned","Private owned with no land title",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,3,"Slight decrease","Massive decrease","No",,,"",1,"No","no money"
"03-80-12-55","Hectares","",1,.5,0,0,.5,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"No",,"",,"",,"Maybe, maybe not","Yes","No","No","No","Yes","No","No","No","No","No","No","No",,"Yes",.5,"Yes","No","No","No",,10,"The same","Slight decrease","No",,,"",2,"No","no money"
"03-05-82-85","Other➡️ Please specify","lima",4.75,5,0,0,.25,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,3,"Slight decrease","Slight decrease","No",,,"",2,"Yes","for building houses"
"96-34-34-83","Hectares","",1,1,0,0,.25,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",1,"No","Have no resources"
"84-86-67-50","Other➡️ Please specify","Lima (1 lima= 0.25 hectares)",15,0,0,0,.5,0,0,"Communally owned",,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",3,"Yes","Looking for the fertile land"
"65-50-61-63","Other➡️ Please specify","Lima, 1 Lima=0.25 ha",6,0,0,0,1,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"No",,"",,"",,"Likely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",3,"No","The 3 are enough"
"14-25-07-27","Hectares","",4.5,0,0,0,.1,0,.1,"Private owned with no land title",,,,"Private owned with no land title",,"Private owned with no land title","No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"Yes",4.5,"Yes","No","No","No",,2,"The same","Slight decrease","No",,,"",2,"Yes","IT'S NO LONGER FERTILE AND IT'S NOT ENOUGH"
"95-81-39-58","Hectares","",2.2,0,0,15,.5,0,0,"Private owned with land title",,,"Communally owned","Private owned with no land title",,,"No",,"",,"",,"unlikely","Yes","No","No","No","Yes","No","No","No","No","No","No","No",,"No",,,,,,,1,"Massive decrease","Massive decrease","No",,,"",1,"Yes","additional farm land"
"63-48-87-87","Other➡️ Please specify","Lima (1 lima= 0.25 hectares)",0,0,0,0,.5,0,0,,,,,"Communally owned",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",0,"Yes","So that he can start cultivating"
"49-38-87-08","Hectares","",0,0,0,0,.13,0,0,,,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",0,"No","I am too old to cultivate"
"56-09-22-69","Other➡️ Please specify","Lima, 1=0.25 ha",9,0,0,0,0,0,0,"Private owned with no land title",,,,,,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",1,"No","The current one is enough"
"52-67-58-90","Hectares","",4,2,0,0,.5,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"No",,"",,"",,"Maybe, maybe not","Yes","No","No","No","Yes","No","No","No","No","No","No","No",,"No",,,,,,,3,"Slight decrease","Massive decrease","No",,,"",1,"No","no money"
"61-51-30-74","Hectares","",7,0,0,0,.8,0,0,"Private owned with no land title",,,,"Private owned with no land title",,,"No",,"",,"",,"Likely","No",,,,,,,,,,,,,"No",,,,,,,10,"Massive decrease","Massive decrease","No",,,"",4,"Yes","increase production need more fertile land"
"90-75-70-65","Other➡️ Please specify","lima",2,1.75,0,0,.25,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,4,"Slight decrease","Slight decrease","No",,,"",2,"Yes","for farming"
"70-34-30-04","Hectares","",4,2,0,0,.25,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",1,"No","Satisfied"
"00-18-21-78","Hectares","",2,0,0,0,.25,0,0,"Communally owned",,,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","Yes","No","No","Yes","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"The same","The same","No",,,"",2,"Yes","To extend my farm land"
"80-41-37-09","Other➡️ Please specify","lima",2,1.25,0,0,.25,0,0,"Private owned with no land title","Private owned with no land title",,,"Private owned with no land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,4,"Slight decrease","Slight decrease","No",,,"",2,"Yes","for farming activities"
