interview__key,as_loc01_in,as_loc02_in,as_loc03_in,as_loc04_in,as_loc05_in,as_loc06_in,as_loc07_in,as_loc08_in,as_loc09_in,as_loc10_in,as_loc11_in,as_loc12_in,as_loc13_in,as_loc14_in,as_loc15_in,as_loc16_in,trst01,trst02,trst03,trst04,trst05,exp_ev1_01,exp_ev1_03,exp_ev1_05,exp_ev1_06,exp_ev1_07,exp_ev1_11,exp_ev1_12,exp_ev1_13,exp_ev1_14,exp_ev1_15
"91-95-41-16","Agree","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","trust","strongly trust","trust","trust","trust","Worried","Worried","Worried","Very worried","Very worried","Worried","Worried","Worried","Worried","Worried"
"65-02-00-05","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Strongly agree","Agree","Agree","Indifferent (neither nor)","Agree","Agree","trust","trust","trust","trust","trust","Extremely worried","Not at all worried","Extremely worried","Extremely worried","Extremely worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried"
"48-22-83-32","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Extremely worried","Very worried","Extremely worried","Very worried","Worried","Very worried","Worried","Worried","Worried","Worried"
"53-04-96-58","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Disagree","Disagree","strongly trust","strongly trust","strongly trust","strongly trust","strongly trust","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried"
"93-77-89-30","Agree","Strongly agree","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","strongly trust","trust","trust","trust","strongly trust","Worried","Worried","Very worried","Very worried","Very worried","Very worried","Very worried","Worried","Very worried","Extremely worried"
"03-06-71-34","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried"
"38-24-53-68","Strongly agree","Strongly agree","Strongly disagree","Agree","Strongly agree","Strongly agree","Disagree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","strongly trust","strongly trust","strongly trust","strongly trust","strongly trust","Very worried","Very worried","Very worried","Very worried","Worried","Slightly worried","Worried","Worried","Not at all worried","Very worried"
"76-44-39-80","Agree","Strongly agree","Disagree","Indifferent (neither nor)","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Strongly agree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","trust","strongly trust","trust","distrust","distrust","Extremely worried","Slightly worried","Extremely worried","Very worried","Worried","Slightly worried","Worried","Worried","Not at all worried","Very worried"
"17-98-15-90","Strongly agree","Strongly agree","Disagree","Indifferent (neither nor)","Strongly agree","Strongly agree","Indifferent (neither nor)","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","strongly trust","strongly trust","trust","strongly trust","trust","Extremely worried","Extremely worried","Very worried","Extremely worried","Very worried","Slightly worried","Extremely worried","Very worried","Slightly worried","Very worried"
"43-89-48-48","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried"
