interview__key,r_members__id,r_child__id,ed03asp,asocp01,youth_child_tofarm
"65-02-79-39",1,4,"University level","Teacher/doctor","Likely"
"65-02-79-39",2,3,"University level","Police","Likely"
"65-02-79-39",2,4,"University level","Nurse","Likely"
"36-55-19-74",1,3,"College","Teacher","Maybe, maybe not"
"36-55-19-74",1,4,"University level","Police officer","Maybe, maybe not"
"36-55-19-74",2,3,"College","Teacher","Maybe, maybe not"
"36-55-19-74",2,4,"College","Nurse","Maybe, maybe not"
"02-47-11-50",1,2,"Grade 12","Teacher","Maybe, maybe not"
"02-47-11-50",1,3,"Grade 12","Nurse","Maybe, maybe not"
"34-55-62-08",1,8,"University level","Teacher","Very likely"
"34-55-62-08",1,9,"University level","Nursing","Likely"
"34-55-62-08",2,8,"University level","Teacher","Likely"
"34-55-62-08",2,9,"University level","Doctor","Likely"
"21-53-06-24",1,4,"University level","Teacher","Very likely"
"21-53-06-24",1,7,"University level","Police officer","Very likely"
"54-20-19-80",1,2,"Post graduate university level","Policeman","Very likely"
"54-20-19-80",1,3,"University level","Nurse","Very likely"
"77-37-06-75",1,5,"University level","Teacher","Likely"
"77-37-06-75",1,6,"University level","Nurse","Very likely"
"77-37-06-75",1,7,"University level","Sordier","Likely"
"77-37-06-75",1,8,"University level","Nursing","Likely"
"17-29-45-21",1,6,"University level","Medical doctor","Likely"
"17-29-45-21",2,6,"College","Teacher","Likely"
"14-98-54-79",1,6,"College","Teacher","Maybe, maybe not"
"14-98-54-79",1,7,"University level","Doctor","Likely"
"14-98-54-79",1,8,"College","Police officer","Likely"
"74-43-35-64",1,3,"College","Teacher","Maybe, maybe not"
"91-57-65-34",1,2,"University level","Doctor","Very likely"
"91-57-65-34",1,3,"University level","Teacher","Very likely"
"61-08-28-75",1,6,"University level","Army","Very likely"
"61-08-28-75",2,6,"University level","Electrician","Very likely"
"08-98-76-07",1,7,"University level","Teacher","Very likely"
"08-98-76-07",1,8,"University level","Builder","Likely"
"08-98-76-07",1,9,"Post graduate university level","Doctor","Very likely"
"08-98-76-07",5,7,"University level","Teacher","Likely"
"08-98-76-07",5,8,"University level","Doctor","Maybe, maybe not"
"08-98-76-07",5,9,"College","Nurse","Likely"
"07-58-78-17",1,6,"University level","Nurse","Likely"
"07-58-78-17",1,7,"University level","Teacher","Likely"
"07-58-78-17",1,8,"University level","Agricultural officer","Very likely"
"07-58-78-17",1,9,"University level","Police officer","Likely"
"07-58-78-17",1,10,"University level","Teacher","Likely"
"07-58-78-17",11,6,"University level","Teacher","Likely"
"07-58-78-17",11,7,"University level","Nurse","Likely"
"07-58-78-17",11,8,"University level","Soldier","Likely"
"07-58-78-17",11,9,"University level","Police officer","Likely"
"07-58-78-17",11,10,"University level","Police officer","Likely"
"50-08-29-58",2,3,"University level","Army","Likely"
"21-97-24-76",1,4,"University level","Police","Likely"
"21-97-24-76",1,5,"University level","Teacher","Likely"
"21-97-24-76",1,6,"University level","Teacher","Very likely"
"21-97-24-76",2,4,"University level","Army","Very likely"
"21-97-24-76",2,5,"University level","Teacher","Likely"
"21-97-24-76",2,6,"University level","Nursing","Likely"
"47-86-23-98",1,7,"College","Teacher","Likely"
"47-86-23-98",1,8,"College","Teacher","Likely"
"47-86-23-98",1,9,"College","Nurse","Unlikely"
"47-86-23-98",1,10,"College","Teacher","Unlikely"
"47-86-23-98",2,7,"College","Nurse","Likely"
"47-86-23-98",2,8,"College","Nurse","Likely"
"47-86-23-98",2,9,"College","Nurse","Likely"
"47-86-23-98",2,10,"College","Teacher","Likely"
"58-41-17-07",1,5,"University level","Nurse","Likely"
"58-41-17-07",1,6,"University level","Teacher","Likely"
"58-41-17-07",2,5,"University level","Police/nurse","Likely"
"58-41-17-07",2,6,"Post graduate university level","Nurse","Likely"
"27-41-68-88",1,4,"College","Teacher","Likely"
"27-41-68-88",2,4,"College","Nurse","Likely"
"36-57-67-99",1,6,"University level","Teacher","Very likely"
"36-57-67-99",1,7,"University level","Nurse","Very likely"
"36-57-67-99",2,6,"University level","Nurse","Very likely"
"36-57-67-99",2,7,"University level","Teacher","Very likely"
"14-01-18-55",2,8,"College","Nurse","Maybe, maybe not"
"14-01-18-55",2,9,"College","Police officer","Maybe, maybe not"
"14-01-18-55",2,10,"University level","Medical personnel","Maybe, maybe not"
"14-01-18-55",2,11,"College","Teacher","Likely"
"14-01-18-55",2,12,"College","Nurse","Likely"
"14-01-18-55",2,13,"University level","Pilot","Maybe, maybe not"
"14-01-18-55",6,8,"I dont know","Teacher","Maybe, maybe not"
"14-01-18-55",6,9,"Grade 12","Driver","Maybe, maybe not"
"14-01-18-55",6,10,"I dont know","Teacher","Maybe, maybe not"
"14-01-18-55",6,11,"Grade 12","Driver","Maybe, maybe not"
"14-01-18-55",6,12,"Grade 12","Famer","Likely"
"14-01-18-55",6,13,"Grade 12","Farmer","Likely"
"25-45-40-50",1,6,"College","Doctor","Very likely"
"25-45-40-50",1,7,"College","Nurse","Very likely"
"25-45-40-50",1,8,"College","Teacher","Very likely"
"25-45-40-50",9,6,"College","Teacher","Very likely"
"25-45-40-50",9,7,"College","Doctor","Very likely"
"25-45-40-50",9,8,"College","Teacher","Very likely"
"28-45-95-92",1,3,"University level","Teacher","Very likely"
"52-38-49-21",1,6,"University level","Doctor","Very likely"
"52-38-49-21",1,7,"College","Teacher","Likely"
"52-38-49-21",2,6,"College","Doctor","Very likely"
"52-38-49-21",2,7,"College","Nurse","Very likely"
"59-05-06-39",1,5,"University level","Nurse","Maybe, maybe not"
"59-05-06-39",2,5,"University level","Nurse","Very unlikely"
"74-55-33-17",1,3,"University level","Security wings","Likely"
"74-55-33-17",1,4,"University level","Police man","Likely"
"74-55-33-17",2,3,"University level","Nurse","Very unlikely"
"74-55-33-17",2,4,"University level","Police","Very unlikely"
"63-06-38-69",1,7,"University level","Nurse","Very likely"
"63-06-38-69",1,11,"University level","Lawyer","Very likely"
"63-06-38-69",2,7,"University level","Nurse","Very likely"
"63-06-38-69",2,11,"University level","Police officer","Very likely"
"05-74-67-92",1,7,"University level","Teacher","Very likely"
"05-74-67-92",1,8,"University level","Nurse","Very likely"
"98-46-70-51",1,8,"University level","Teacher","Very likely"
"98-46-70-51",1,9,"University level","Nurse","Very likely"
"98-46-70-51",1,10,"University level","Doctor","Very likely"
"98-46-70-51",1,11,"University level","Lawyer","Very likely"
"98-46-70-51",2,8,"University level","Nurse","Likely"
"98-46-70-51",2,9,"University level","Teacher","Likely"
"98-46-70-51",2,10,"University level","Lawyer","Likely"
"98-46-70-51",2,11,"University level","Doctor","Likely"
"36-97-15-03",1,6,"University level","Nurse","Maybe, maybe not"
"36-97-15-03",2,6,"University level","Agriculture officer","Very likely"
"59-12-76-31",1,4,"University level","Nurse","Likely"
"59-12-76-31",1,5,"University level","Police officer","Likely"
"59-12-76-31",2,4,"University level","Agricultural officer","Very likely"
"59-12-76-31",2,5,"University level","Teacher","Very likely"
"07-54-13-18",1,6,"University level","Soldier","Likely"
"07-54-13-18",1,7,"University level","Doctor","Likely"
"07-54-13-18",2,6,"University level","Teacher","Likely"
"07-54-13-18",2,7,"University level","Doctor","Likely"
"84-52-73-65",1,6,"College","Teacher","Very likely"
"84-52-73-65",1,7,"University level","Nurse","Very likely"
"84-52-73-65",2,6,"University level","Teacher","Very likely"
"84-52-73-65",2,7,"Grade 12","Nurse","Very likely"
"85-09-03-91",1,4,"University level","Teacher","Maybe, maybe not"
"85-09-03-91",1,5,"University level","Police officer","Maybe, maybe not"
"85-09-03-91",2,4,"College","Teacher","Maybe, maybe not"
"85-09-03-91",2,5,"University level","Nurse","Maybe, maybe not"
"56-01-39-00",1,5,"University level","Teacher","Likely"
"56-01-39-00",1,6,"University level","Police","Likely"
"56-01-39-00",1,7,"University level","Nursing","Very likely"
"56-01-39-00",1,8,"University level","Teacher","Very likely"
"56-01-39-00",2,5,"University level","Nursing","Likely"
"56-01-39-00",2,6,"University level","Soldier","Likely"
"56-01-39-00",2,7,"University level","Teacher","Likely"
"56-01-39-00",2,8,"University level","Police officer","Very likely"
"26-09-67-07",1,3,"University level","Nurse","Very likely"
"26-09-67-07",1,4,"University level","Teacher","Very likely"
"26-09-67-07",1,5,"University level","Mechanical engineer","Very likely"
"26-09-67-07",1,6,"University level","Doctor","Very likely"
"26-09-67-07",2,3,"Post graduate university level","Nurse","Very likely"
"26-09-67-07",2,4,"Post graduate university level","Teacher","Very likely"
"26-09-67-07",2,5,"Post graduate university level","Police officer","Very likely"
"26-09-67-07",2,6,"Post graduate university level","Doctor","Very likely"
"69-39-81-14",1,5,"University level","Doctor","Very likely"
"69-39-81-14",7,5,"University level","Doctor","Likely"
"00-76-43-47",1,3,"University level","Doctor","Likely"
"00-76-43-47",2,3,"College","Teacher","Likely"
"29-40-24-48",1,5,"College","Teacher","Likely"
"29-40-24-48",1,6,"College","Doctor","Likely"
"29-40-24-48",2,5,"College","Nurse","Likely"
"29-40-24-48",2,6,"College","Police officer","Likely"
"79-00-21-46",1,5,"University level","Doctor","Very likely"
"79-00-21-46",1,7,"University level","Nurse","Very likely"
"46-34-68-84",1,3,"University level","Business man","Likely"
"45-00-04-40",1,3,"University level","Doctor","Very likely"
"45-00-04-40",1,4,"University level","Teacher","Very likely"
"09-01-21-24",1,2,"University level","Teacher","Likely"
"28-05-99-59",1,3,"College","Teacher","Likely"
"28-05-99-59",1,4,"College","Medical doctor","Likely"
"28-05-99-59",2,3,"Grade 12","Teacher","Likely"
"28-05-99-59",2,4,"College","Medical doctor","Likely"
"21-06-84-39",1,3,"University level","Nurse","Likely"
"21-06-84-39",2,3,"University level","Teacher","Likely"
"96-45-29-81",2,4,"University level","Teacher","Likely"
"96-45-29-81",2,5,"University level","Nursing","Very likely"
"96-45-29-81",2,6,"University level","Soldier","Likely"
"82-78-33-54",1,3,"University level","Teacher","Very likely"
"15-34-27-17",2,3,"Post graduate university level","Teacher","Very likely"
"15-34-27-17",2,4,"College","Nurse","Likely"
"15-34-27-17",2,5,"College","Builder","Likely"
"84-32-88-02",1,2,"University level","Teacher","Likely"
"84-32-88-02",1,3,"University level","Numbers","Likely"
"02-43-89-26",1,7,"College","Teacher","Maybe, maybe not"
"02-43-89-26",2,7,"College","Nurse","Maybe, maybe not"
"36-62-21-63",1,4,"University level","Teacher/police","Very likely"
"36-62-21-63",1,5,"University level","Nurse","Likely"
"36-62-21-63",1,6,"University level","Police","Likely"
"36-62-21-63",2,4,"University level","Nurse","Likely"
"36-62-21-63",2,5,"University level","Teacher","Likely"
"36-62-21-63",2,6,"University level","Driver","Likely"
"98-63-71-97",1,7,"College","Nurse","Maybe, maybe not"
"98-63-71-97",2,7,"University level","Nurse","Likely"
"07-88-71-07",1,4,"University level","Soldier","Very likely"
"07-88-71-07",1,5,"University level","Teacher","Very likely"
"07-88-71-07",1,7,"University level","Nurse","Very likely"
"07-88-71-07",1,9,"University level","Teacher","Very likely"
"07-88-71-07",2,4,"College","Soldier","Very likely"
"07-88-71-07",2,5,"University level","Teacher","Very likely"
"07-88-71-07",2,7,"University level","Nurse","Very likely"
"07-88-71-07",2,9,"University level","Teacher","Very likely"
"18-07-56-01",2,5,"College","Nurse","Maybe, maybe not"
"18-07-56-01",2,6,"University level","Police officer","Likely"
"18-07-56-01",2,7,"College","Teacher","Likely"
"18-07-56-01",2,8,"Grade 12","Driver","Likely"
"18-07-56-01",2,9,"College","Nurse","Likely"
"22-29-07-01",1,6,"Grade 12","Nurse","Maybe, maybe not"
"22-29-07-01",1,7,"Grade 12","Nurse","Likely"
"22-29-07-01",2,6,"College","Nurse","Likely"
"22-29-07-01",2,7,"College","Teacher","Maybe, maybe not"
"53-93-66-67",1,5,"College","Teacher","Very likely"
"53-93-66-67",2,5,"No formal education","Nurse","Very likely"
"37-39-06-63",1,4,"University level","Teacher","Likely"
"37-39-06-63",1,5,"University level","Driver","Likely"
"37-39-06-63",1,6,"No formal education","Non","Very unlikely"
"92-61-03-62",1,4,"Grade 12","Teacher","Likely"
"02-86-94-14",2,4,"College","Teacher","Likely"
"02-86-94-14",2,5,"University level","Driver","Likely"
"26-53-37-24",1,6,"University level","Doctor","Very likely"
"26-53-37-24",2,6,"University level","Teacher","Likely"
"73-57-99-74",1,3,"University level","Doctor","Likely"
"73-57-99-74",1,4,"University level","Doctor","Likely"
