interview__key,r_forset_product__id,fstqty,fstpdt_unt,fstpdt_unt_oth,fstpdt_sl,fstpdt_slqty,fstpdt_slunit,fstpdt_slunit_oth,fstpdt_slpssd,fstpdt_slprc,fstpdt_exp,fstpdt_expamt,fstpdt_ch,fstpdt_ch2,f027,f028
"28-05-99-59","Firewood",12,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Unlimited harvesting"
"28-05-99-59","Timber or poles",12,"Numbers","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Indiscriminate harvest of the product"
"78-33-63-09","Firewood",10,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","the Only source of cooking"
"21-06-84-39","Firewood",1,"Oxcart","","No",,,"",,,"No",,"The same","Slight decrease","",""
"96-45-29-81","Firewood",10,"Oxcart","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Deforestation"
"96-45-29-81","Wild fruits",1,"25kg bag","","No",,,"",,,"No",,"The same","The same","",""
"82-78-33-54","Firewood",100,"Numbers","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Deforestation"
"01-53-98-85","Firewood",6,"Oxcart","","No",,,"",,,"No",,"The same","The same","",""
"84-32-88-02","Firewood",3,"Oxcart","","No",,,"",,,"No",,"The same","The same","",""
"02-43-89-26","Firewood",4,"Oxcart","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Deforestation rates are high"
"02-43-89-26","Wild fruits",1,"10kg bag","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Bush fire and deforestation"
"36-62-21-63","Firewood",3,"Oxcart","","No",,,"",,,"No",,"The same","The same","",""
"98-63-71-97","Firewood",2,"Numbers","","No",,,"",,,"No",,"The same","The same","",""
"07-88-71-07","Firewood",12,"Oxcart","","No",,,"",,,"No",,"The same","Slight decrease","",""
"07-88-71-07","Wood for charcoal production",100,"25kg bag","","Yes",86,"25kg bag","","Yes",60,"Yes",500,"Slight decrease","Massive decrease","","a lot of people involved in charcoal production"
"18-07-56-01","Firewood",2,"Oxcart","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Deforestation"
"76-16-53-82","Firewood",4,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"76-16-53-82","Wild fruits",2,"10kg bag","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","deforestation in the area high"
"36-91-65-20","Firewood",2,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"22-29-07-01","Firewood",20,"Oxcart","","No",,,"",,,"No",,"The same","The same","",""
"22-29-07-01","Wild fruits",10,"Basins","","No",,,"",,,"No",,"The same","The same","",""
"22-29-07-01","Small game (warthog, duiker, turtle, wild birds)",2,"Numbers","","No",,,"",,,"No",,"The same","The same","",""
"53-93-66-67","Firewood",2,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"53-93-66-67","Wild fruits",2,"10kg bag","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Collection of the fruits has increased due to beer brewing and the this has led to the reduction of the fruits in the forest"
"37-39-06-63","Firewood",180,"Numbers","","No",,,"",,,"No",,"The same","The same","",""
"17-95-97-27","Firewood",6,"Oxcart","","No",,,"",,,"No",,"The same","The same","",""
"92-61-03-62","Firewood",1,"Oxcart","","No",,,"",,,"No",,"The same","The same","",""
"02-86-94-14","Firewood",10,"Bale / Bundle","","No",,,"",,,"No",,"Slight increase","Massive decrease","deforestation",""
"26-53-37-24","Firewood",40,"Oxcart","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Deforestation"
"73-57-99-74","Firewood",6,"Oxcart","","No",,,"",,,"Yes",300,"The same","The same","",""
"73-57-99-74","Timber or poles",1,"Oxcart","","No",,,"",,,"Yes",650,"Slight decrease","Slight decrease","","high practice of timber"
"73-57-99-74","Sand, stone, mud",2,"Oxcart","","No",,,"",,,"Yes",650,"The same","The same","",""
"73-57-99-74","Wild fruits",1,"Tins (eg milk tins)","","No",,,"",,,"No",,"The same","The same","",""
"73-57-99-74","Medicinal plants",8,"Numbers","","No",,,"",,,"No",,"The same","The same","",""
"49-29-23-58","Firewood",3,"Oxcart","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Because of timber dealers"
"71-13-07-75","Firewood",2,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"19-53-43-56","Firewood",15,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Over extraction of resources"
"19-53-43-56","Medicinal plants",5,"Basins","","No",,,"",,,"No",,"The same","The same","",""
