interview__key,liv_pdtsal,which_liv_pdts__1,which_liv_pdts__2,which_liv_pdts__3,which_liv_pdts__4,which_liv_pdts__5,which_liv_pdts__6,which_liv_pdts__7,which_liv_pdts__96,which_liv_pdts_oth,liv_buyer,liv_buyer_oth,liv_buyer_where,livmkt_dist,liv_pdt_inc,liv_contract
"69-39-81-14","No",,,,,,,,,,,"",,120,,"No"
"00-76-43-47","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Directly at the farm",90,60,"No"
"29-40-24-48","No",,,,,,,,,,,"",,115,,"No"
"79-00-21-46","No",,,,,,,,,,,"",,90,,"No"
"46-34-68-84","No",,,,,,,,,,,"",,90,,"No"
"45-00-04-40","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",1,3600,"No"
"22-15-19-43",,,,,,,,,,,,"",,,,
"09-01-21-24",,,,,,,,,,,,"",,,,
"28-05-99-59",,,,,,,,,,,,"",,,,
"78-33-63-09","No",,,,,,,,,,,"",,115,,"No"
"21-06-84-39",,,,,,,,,,,,"",,,,
"96-45-29-81","No",,,,,,,,,,,"",,90,,"No"
"82-78-33-54",,,,,,,,,,,,"",,,,
"01-53-98-85","No",,,,,,,,,,,"",,10,,"No"
"15-34-27-17","No",,,,,,,,,,,"",,4,,"No"
"84-32-88-02",,,,,,,,,,,,"",,,,
"02-43-89-26","No",,,,,,,,,,,"",,80,,"No"
"36-62-21-63",,,,,,,,,,,,"",,,,
"98-63-71-97","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",102,3000,"No"
"07-88-71-07","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",1,7200,"No"
"18-07-56-01","No",,,,,,,,,,,"",,115,,"No"
"76-16-53-82",,,,,,,,,,,,"",,,,
"36-91-65-20",,,,,,,,,,,,"",,,,
"22-29-07-01","No",,,,,,,,,,,"",,93,,"No"
"53-93-66-67",,,,,,,,,,,,"",,,,
"37-39-06-63","No",,,,,,,,,,,"",,95,,"No"
"17-95-97-27","No",,,,,,,,,,,"",,10,,"No"
"92-61-03-62","No",,,,,,,,,,,"",,90,,"No"
"02-86-94-14",,,,,,,,,,,,"",,,,
"26-53-37-24","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",1,400,"No"
"73-57-99-74","No",,,,,,,,,,,"",,125,,"No"
"49-29-23-58","No",,,,,,,,,,,"",,60,,"No"
"71-13-07-75","No",,,,,,,,,,,"",,80,,"No"
"19-53-43-56",,,,,,,,,,,,"",,,,
"57-61-80-20",,,,,,,,,,,,"",,,,
"66-47-36-80","No",,,,,,,,,,,"",,60,,"No"
"55-47-02-66","No",,,,,,,,,,,"",,40,,"No"
"69-74-76-81","No",,,,,,,,,,,"",,20,,"No"
"25-51-33-57","No",,,,,,,,,,,"",,20,,"No"
"99-83-71-81",,,,,,,,,,,,"",,,,
"30-46-44-49","No",,,,,,,,,,,"",,120,,"No"
"03-30-12-96",,,,,,,,,,,,"",,,,
"35-16-22-13",,,,,,,,,,,,"",,,,
"96-28-28-46","Yes","Yes","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Rural market in neighbouring other village",15,3000,"No"
"10-32-26-69","No",,,,,,,,,,,"",,100,,"No"
"68-75-69-07","No",,,,,,,,,,,"",,80,,"No"
"02-58-63-69","No",,,,,,,,,,,"",,10,,"No"
"58-12-98-10","No",,,,,,,,,,,"",,40,,"No"
"22-68-19-10",,,,,,,,,,,,"",,,,
"99-42-05-34","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",110,0,"No"
"21-29-11-98","No",,,,,,,,,,,"",,30,,"No"
"06-11-50-44","No",,,,,,,,,,,"",,90,,"No"
"38-44-09-59",,,,,,,,,,,,"",,,,
"81-45-35-86","No",,,,,,,,,,,"",,10,,"No"
"83-11-66-41","No",,,,,,,,,,,"",,3,,"No"
"45-34-02-51",,,,,,,,,,,,"",,,,
"26-37-15-28","No",,,,,,,,,,,"",,10,,"No"
"73-50-61-74","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",21,200,"No"
"58-09-34-36",,,,,,,,,,,,"",,,,
"94-78-30-89","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",25,1500,"No"
"97-62-61-29","No",,,,,,,,,,,"",,10,,"No"
"16-35-49-05","No",,,,,,,,,,,"",,10,,"No"
"18-48-69-27","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Urban market (town) in this region",100,100,"No"
"30-61-23-28","No",,,,,,,,,,,"",,17,,"No"
"91-09-11-51","No",,,,,,,,,,,"",,112,,"No"
"03-15-59-01","No",,,,,,,,,,,"",,100,,"No"
"51-88-98-79","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Directly at the homestead",55,1440,"No"
"38-99-58-33","No",,,,,,,,,,,"",,4,,"No"
"73-78-76-86",,,,,,,,,,,,"",,,,
"16-76-51-56",,,,,,,,,,,,"",,,,
"34-75-99-64",,,,,,,,,,,,"",,,,
"00-76-59-09","No",,,,,,,,,,,"",,112,,"No"
"03-36-35-32","No",,,,,,,,,,,"",,15,,"No"
"66-74-25-56","No",,,,,,,,,,,"",,5,,"No"
"80-48-62-68",,,,,,,,,,,,"",,,,
"67-59-61-49","No",,,,,,,,,,,"",,95,,"No"
"23-88-68-38","No",,,,,,,,,,,"",,3,,"No"
"24-58-49-24",,,,,,,,,,,,"",,,,
"27-73-91-69",,,,,,,,,,,,"",,,,
"88-41-94-49",,,,,,,,,,,,"",,,,
"83-47-45-70",,,,,,,,,,,,"",,,,
"06-72-44-70",,,,,,,,,,,,"",,,,
"85-25-38-04",,,,,,,,,,,,"",,,,
"99-72-02-18","No",,,,,,,,,,,"",,20,,"No"
"76-93-76-77",,,,,,,,,,,,"",,,,
"25-81-57-24",,,,,,,,,,,,"",,,,
"18-66-56-26","No",,,,,,,,,,,"",,50,,"No"
"38-35-03-16","No",,,,,,,,,,,"",,30,,"No"
"87-43-13-02",,,,,,,,,,,,"",,,,
"06-72-27-90","No",,,,,,,,,,,"",,1,,"No"
"10-09-48-91","No",,,,,,,,,,,"",,15,,"No"
"89-20-17-64","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Urban market (town) in this region",8,600,"No"
"61-30-29-22","No",,,,,,,,,,,"",,4,,"No"
"32-64-82-60","No",,,,,,,,,,,"",,30,,"No"
"05-69-71-03","No",,,,,,,,,,,"",,10,,"No"
"62-54-48-69","No",,,,,,,,,,,"",,20,,"No"
"40-71-41-17","No",,,,,,,,,,,"",,30,,"No"
"59-04-18-69","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Directly at the homestead",7,7,"No"
"99-19-59-36","No",,,,,,,,,,,"",,40,,"No"
"66-80-07-88","No",,,,,,,,,,,"",,20,,"No"
"33-91-72-59","No",,,,,,,,,,,"",,12,,"No"
"79-95-75-64","No",,,,,,,,,,,"",,50,,"No"
"36-27-38-94","No",,,,,,,,,,,"",,9,,"No"
"20-85-41-55","No",,,,,,,,,,,"",,12,,"No"
"99-41-30-80","No",,,,,,,,,,,"",,7,,"No"
"71-06-23-24","No",,,,,,,,,,,"",,8,,"No"
"89-01-00-04",,,,,,,,,,,,"",,,,
"00-37-37-14","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",15,80,"No"
"74-41-47-70",,,,,,,,,,,,"",,,,
"52-43-66-41","Yes","No","No","No","No","No","No","Yes","No",,"Direct buyers, open-air market","","Market in this village",50,50,"No"
"83-13-77-99","No",,,,,,,,,,,"",,30,,"No"
"61-91-44-04","No",,,,,,,,,,,"",,50,,"No"
"61-31-17-62","No",,,,,,,,,,,"",,28,,"No"
"01-73-77-56","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",28,300,"No"
"47-87-04-23","No",,,,,,,,,,,"",,20,,"No"
"46-77-22-22",,,,,,,,,,,,"",,,,
"54-46-59-23","No",,,,,,,,,,,"",,9,,"No"
"47-72-11-03","No",,,,,,,,,,,"",,23,,"No"
"75-19-56-83",,,,,,,,,,,,"",,,,
"17-63-18-37",,,,,,,,,,,,"",,,,
"36-67-78-55","No",,,,,,,,,,,"",,20,,"No"
"57-94-56-04","No",,,,,,,,,,,"",,1,,"No"
"50-78-72-42","No",,,,,,,,,,,"",,1,,"No"
"39-32-15-43","No",,,,,,,,,,,"",,40,,"No"
"83-43-24-20","No",,,,,,,,,,,"",,1,,"No"
"86-15-33-66","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",1,100,"No"
"44-68-45-91","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Directly at the homestead",25,600,"No"
"92-79-83-19",,,,,,,,,,,,"",,,,
"84-11-52-01","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Directly at the homestead",25,30,"No"
"04-80-79-59",,,,,,,,,,,,"",,,,
"86-90-94-39","No",,,,,,,,,,,"",,5,,"No"
"60-18-28-01","No",,,,,,,,,,,"",,40,,"No"
"95-75-71-60","No",,,,,,,,,,,"",,160,,"No"
"92-06-91-29","No",,,,,,,,,,,"",,50,,"No"
"54-44-90-07","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",1,50,"No"
"03-23-51-60","No",,,,,,,,,,,"",,1,,"No"
"00-90-52-98",,,,,,,,,,,,"",,,,
"94-81-42-69","No",,,,,,,,,,,"",,90,,"No"
"93-63-81-71","No",,,,,,,,,,,"",,8,,"No"
"98-80-95-52",,,,,,,,,,,,"",,,,
"43-02-26-99",,,,,,,,,,,,"",,,,
"53-75-34-84","No",,,,,,,,,,,"",,18,,"No"
"27-49-80-27","No",,,,,,,,,,,"",,55,,"No"
"33-72-39-68","No",,,,,,,,,,,"",,14,,"No"
"17-79-25-12",,,,,,,,,,,,"",,,,
"74-51-58-80",,,,,,,,,,,,"",,,,
"22-03-45-06",,,,,,,,,,,,"",,,,
"29-14-83-70",,,,,,,,,,,,"",,,,
"54-67-39-05","No",,,,,,,,,,,"",,1,,"No"
"72-58-55-05","No",,,,,,,,,,,"",,2,,"No"
"04-15-15-88",,,,,,,,,,,,"",,,,
"27-95-56-36","No",,,,,,,,,,,"",,60,,"No"
"53-49-41-59",,,,,,,,,,,,"",,,,
"39-17-22-92","No",,,,,,,,,,,"",,20,,"No"
"74-39-55-58","No",,,,,,,,,,,"",,40,,"No"
"26-22-03-23",,,,,,,,,,,,"",,,,
"09-03-01-05","No",,,,,,,,,,,"",,60,,"No"
"15-07-16-66","No",,,,,,,,,,,"",,30,,"No"
"06-67-11-07","No",,,,,,,,,,,"",,175,,"No"
"66-85-51-19",,,,,,,,,,,,"",,,,
"62-23-34-43","No",,,,,,,,,,,"",,180,,"No"
"40-89-37-32",,,,,,,,,,,,"",,,,
"47-88-11-20","No",,,,,,,,,,,"",,47,,"No"
"92-32-27-35","No",,,,,,,,,,,"",,30,,"No"
"67-30-34-31","No",,,,,,,,,,,"",,1,,"No"
"41-24-19-16","No",,,,,,,,,,,"",,30,,"No"
"45-68-78-48","No",,,,,,,,,,,"",,1,,"No"
"02-28-32-41","No",,,,,,,,,,,"",,60,,"No"
"42-76-32-22",,,,,,,,,,,,"",,,,
"79-53-86-42","Yes","Yes","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Directly at the homestead",25,4500,"No"
"27-88-22-86","No",,,,,,,,,,,"",,60,,"No"
"92-15-50-98",,,,,,,,,,,,"",,,,
"59-62-31-80","No",,,,,,,,,,,"",,60,,"No"
"36-99-50-88",,,,,,,,,,,,"",,,,
"44-25-16-47","No",,,,,,,,,,,"",,60,,"No"
"59-82-52-95","No",,,,,,,,,,,"",,60,,"No"
"74-78-76-52","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Directly at the homestead",1,150,"No"
"83-63-78-61",,,,,,,,,,,,"",,,,
"38-59-12-03","No",,,,,,,,,,,"",,180,,"No"
"52-04-43-36","No",,,,,,,,,,,"",,47,,"No"
"13-43-00-98",,,,,,,,,,,,"",,,,
"52-45-15-44","No",,,,,,,,,,,"",,40,,"No"
"84-06-43-96","No",,,,,,,,,,,"",,1,,"No"
"85-25-67-57","No",,,,,,,,,,,"",,63,,"No"
"99-71-69-71",,,,,,,,,,,,"",,,,
"90-84-04-84","No",,,,,,,,,,,"",,19,,"No"
"75-65-72-44","Yes","Yes","No","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",1,70,"No"
"56-76-80-56","No",,,,,,,,,,,"",,1,,"No"
"95-24-62-42",,,,,,,,,,,,"",,,,
"42-51-00-37",,,,,,,,,,,,"",,,,
"36-23-13-87",,,,,,,,,,,,"",,,,
"70-84-37-07",,,,,,,,,,,,"",,,,
"99-94-97-40","No",,,,,,,,,,,"",,12,,"No"
"40-68-37-93","No",,,,,,,,,,,"",,25,,"No"
"08-64-31-45",,,,,,,,,,,,"",,,,
"24-71-47-80","No",,,,,,,,,,,"",,60,,"No"
"53-67-73-98","No",,,,,,,,,,,"",,50,,"No"
"89-30-04-89",,,,,,,,,,,,"",,,,
"85-35-76-75","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Rural market in neighbouring other village",50,1200,"No"
"34-78-22-26",,,,,,,,,,,,"",,,,
"59-51-95-60",,,,,,,,,,,,"",,,,
"22-44-88-72",,,,,,,,,,,,"",,,,
"35-56-47-30","No",,,,,,,,,,,"",,25,,"No"
"43-44-87-36","No",,,,,,,,,,,"",,35,,"No"
"25-90-73-61","No",,,,,,,,,,,"",,35,,"No"
"00-81-85-48","No",,,,,,,,,,,"",,18,,"No"
"82-05-74-76","Yes","Yes","No","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",1,150,"No"
