interview__key,road_1,road_2,road_3__1,road_3__2,road_3__3,road_3__4,road_3__5,road_3__6,road_3__7,road_3__8,road_3_oth,road_6,road_7,road_8,road_9,road_10,road_11_oth,road_12__1,road_12__2,road_12__3,road_12__4,road_12__5,road_12__6,road_12__7,road_12__96,road_12_oth,road_13,road_14__1,road_14__2,road_14__3,road_14__4,road_14__5,road_14__96,road_14_oth
"23-90-90-29","Murram/ gravel road","Well passable","No","No","Yes","No","Yes","No","Yes","No",,30,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"99-47-47-96","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","Yes","No","Yes","No",,60,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"48-69-67-88","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,15,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"93-76-93-98","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,40,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"02-49-04-36","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","Yes","No","No","No",,60,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"97-96-55-67","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","No","No","No","No",,15,"No",,,,,,,,,,,,,,,"No","No","Yes","No","No","No",
"55-00-90-34","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","No","No","Yes","No","No","No",,2,"No",,,,,,,,,,,,,,,"Yes","Yes","No","No","No","No",
"74-92-93-10","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","Yes","No","No","No","No","No",,10,"No",,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"62-57-54-10","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","Yes","No","No","No","No","No",,10,"No",,,,,,,,,,,,,,,"Yes","No","No","No","No","No",
"81-64-58-33","Dirt road/ bush road","Only passable with certain vehicles/ at certain times","Yes","No","No","No","No","No","No","No",,15,"No",,,,,,,,,,,,,,,"No","No","Yes","No","No","No",
