interview__key,access_internet,internet_home,distance_internet,inter_activity__1,inter_activity__2,inter_activity__3,inter_activity__4,inter_activity__5,inter_activity__6,inter_activity__7,inter_activity__8,inter_activity__9,inter_activity__10,inter_activity__96,inter_activity__n888,inter_activity__n999,inter_activity_oth,cost_internet,internet_purpose__1,internet_purpose__2,internet_purpose__3,internet_purpose__4,internet_purpose__5,internet_purpose__6,internet_purpose__96,internet_purpose__n888,internet_purpose__n999,internet_purpose_oth
"96-45-29-81","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"82-78-33-54","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"01-53-98-85","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"15-34-27-17","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"84-32-88-02","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"02-43-89-26","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"36-62-21-63","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"98-63-71-97","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"07-88-71-07","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"18-07-56-01","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"76-16-53-82","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"36-91-65-20","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22-29-07-01","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"53-93-66-67","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"37-39-06-63","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"17-95-97-27","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"92-61-03-62","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"02-86-94-14","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"26-53-37-24","Yes","Yes",,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,500,,,,,,,,,,
"73-57-99-74","Yes","Yes",,"Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No",,100,,,,,,,,,,
"49-29-23-58","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"71-13-07-75","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"19-53-43-56","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"57-61-80-20","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
"66-47-36-80","No",,,,,,,,,,,,,,,,,,,,,,,,,,,
