interview__key,r_infu__id,as07__1,as07__2,as07__3,as07__4,as07__5,as07__6,as07__7,as07__8,as07__9,as07__96,as07__n88,as07__n99,as07_oth,network_mostinf_gender,network_mostinf_eth,network_eth_oth,network_mostinf_agegrp,as08,as09
"25-71-60-55",2,"No","No","No","No","Yes","No","No","No","No","No","No","No",,"Men","Totela","","In their 50s",26,27
"25-71-60-55",3,"No","No","No","No","No","No","No","No","Yes","No","No","No",,"Women","Other, Specify","Lozi","In their 40s",23,27
"52-17-01-39",1,"No","Yes","Yes","No","No","No","No","No","No","No","No","No",,"Men","Other, Specify","lozi","&gt;70",7,7
"52-17-01-39",2,"No","Yes","Yes","No","No","No","No","No","No","No","No","No",,"Men","Other, Specify","lozi","In their 60s",1,1
"52-17-01-39",3,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Mbunda","","In their 40s",5,0
"85-68-71-94",1,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Men","Nyengo","","In their 40s",5,0
"85-68-71-94",2,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Men","Mbunda","","In their 40s",8,0
"85-68-71-94",3,"No","Yes","No","No","No","No","No","No","No","No","No","No",,"Women","Nyengo","","In their 50s",7,1
"88-33-53-02",1,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Men","Totela","","In their 40s",4,4
"88-33-53-02",2,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Nyengo","","In their 40s",6,2
