interview__key,lnd_mes,lnd_mes_1,lnd01,lnd02,lnd03,lnd04,lnd08,lnd09,lnd06,lnd_ten01,lnd_ten02,lnd_ten03,lnd_ten04,lnd_ten08,lnd_ten09,lnd_ten06,lnd_07,lnd_08,lnd_08_1,lnd_09,lnd_09_1,lnd_10,lnd_11,lnd_12,lnd_13__1,lnd_13__2,lnd_13__3,lnd_13__4,lnd_13__5,lnd_13__6,lnd_13__7,lnd_13__8,lnd_13__9,lnd_13__10,lnd_13__96,lnd_13_oth,f01,f03,f04__1,f04__2,f04__3,f04__96,f04_1,f05,lnd_14,lnd_15,lnd_16,lnd_17,lnd_18,lnd_18_oth,num_plots,more_plot,more_plot_explain
"19-11-80-87","Hectares","",0,0,0,5.5,.16,0,.16,,,,"Communally owned","Communally owned",,"Communally owned","Yes","Government","","Nowhere","","No","Very likely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"The same","The same","No",,,"",1,"Yes","PERSONAL RESIDENCIAL PLOTS"
"02-55-85-64","Hectares","",3,0,0,0,.0875,0,0,"Private owned with land title",,,,"Private owned with land title",,,"No",,"",,"",,"Very unlikely","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No",,"Yes",.05,"No","No","No","Yes",,30,"The same","The same","No",,,"",1,"Yes","Residential/Commercial purposes"
"61-35-56-51","Hectares","",0,0,0,0,.075,0,0,,,,,"Private owned with land title",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,2,"Slight increase","Slight decrease","No",,,"",0,"Yes","For business in tourism"
"57-52-43-19","Hectares","",0,0,0,0,.16,0,1.307,,,,,"Private owned with land title",,"Private owned with land title","No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,7,"Massive increase","Massive increase","No",,,"",0,"Yes","horticulture"
"39-14-69-76","Hectares","",0,0,0,0,.14,0,0,,,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Slight decrease","Slight decrease","No",,,"",0,"Yes","ploughing field"
"72-36-49-36","Hectares","",5,1,1,0,.16,0,0,"Communally owned","Communally owned","Communally owned",,"Communally owned",,,"Yes","Other individuals","","LC Court","","Yes","unlikely","No",,,,,,,,,,,,,"Yes",2,"Yes","No","No","No",,0,"Slight decrease","Slight decrease","No",,,"",2,"Yes","For residential purpose"
"80-82-49-42","Hectares","",0,0,0,0,.16,0,0,,,,,"Communally owned",,,"No",,"",,"",,"Maybe, maybe not","Yes","No","Yes","No","No","Yes","No","Yes","No","No","No","No",,"No",,,,,,,4,"Slight decrease","The same","No",,,"",0,"Yes","To build residential homes"
"47-81-87-67","Hectares","",11,0,0,0,.07,0,0,"Private owned with land title",,,,"Private owned with land title",,,"No",,"",,"",,"Maybe, maybe not","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No",,"Yes",.05,"No","No","No","Yes",,0,"Slight decrease","Massive decrease","No",,,"",1,"Yes","Commercial plot to operate a bar."
"55-33-21-42","Hectares","",0,0,0,0,.16,0,2,,,,,"Communally owned",,"Communally owned","No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,0,"Slight increase","Massive increase","No",,,"",0,"Yes","I want to start crop production"
"42-50-27-40","Hectares","",2,0,0,0,.14,0,0,"Private owned with land title",,,,"Private owned with land title",,,"Yes","Within family","","Other (please specify)","Land Board","Yes","unlikely","No",,,,,,,,,,,,,"No",,,,,,,8,"Massive increase","Massive decrease","No",,,"",1,"Yes","To have one for the children"
"74-79-87-37","Hectares","",0,0,0,0,.16,0,0,,,,,"Communally owned",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",0,"Yes","For building construction"
"32-64-27-45","Hectares","",20,4,16,16,.16,.16,.16,"Communally owned","Communally owned","Communally owned","Communally owned","Communally owned","Communally owned","Communally owned","Yes","Within family","","Nowhere","","No","Very unlikely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"Yes",4,"Yes","No","No","No",,0,"The same","Slight increase","No",,,"",1,"No","THE GOVERNMENT ALLOW ONE PLOT EACH"
"43-28-98-57","Hectares","",0,0,0,0,.16,0,12,,,,,"Communally owned",,"Communally owned","No",,"",,"",,"Very unlikely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"The same","Massive increase","No",,,"",1,"Yes","BUSINESS PLOT"
"28-12-52-92","Hectares","",0,0,0,0,.16,0,0,,,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",0,"Yes","ploughing field"
"98-31-37-04","Hectares","",0,0,0,0,.16,0,0,,,,,"Private owned with land title",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,13,"Massive increase","Massive increase","No",,,"",0,"Yes","residential plot"
"50-46-09-53","Hectares","",0,0,0,0,0,0,0,,,,,,,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",0,"Yes","To build my own house and have my own home"
"48-80-48-31","Hectares","",3,0,0,0,.16,0,0,"Private owned with land title",,,,"Private owned with land title",,,"No",,"",,"",,"Very unlikely","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No",,"Yes",.1,"No","No","Yes","No",,10,"The same","The same","No",,,"",1,"No","Already has enough."
"59-69-31-11","Hectares","",0,0,0,0,.16,0,0,,,,,"Private owned with land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Massive increase","Massive increase","No",,,"",0,"Yes","residential plot"
"68-17-57-15","Hectares","",0,0,0,0,.16,0,0,,,,,"Private owned with land title",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,23,"Slight increase","The same","No",,,"",0,"Yes","To make a business in the plot"
"65-67-13-71","Hectares","",0,0,0,0,.12,0,0,,,,,"Communally owned",,,"No",,"",,"",,"Maybe, maybe not","No",,,,,,,,,,,,,"No",,,,,,,0,"Massive decrease","Massive decrease","No",,,"",0,"Yes","ploughing field"
"14-98-70-62","Hectares","",0,0,0,0,.16,0,0,,,,,"Communally owned",,,"No",,"",,"",,"Maybe, maybe not","Yes","No","Yes","Yes","No","No","No","Yes","No","No","No","No",,"No",,,,,,,5,"Massive decrease","Massive decrease","No",,,"",0,"Yes","ploughing field"
"25-90-19-11","Hectares","",1,0,0,0,.13,0,0,"Private owned with land title",,,,"Private owned with land title",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,8,"Slight increase","Massive decrease","No",,,"",1,"Yes","to have one for the children."
"45-83-41-38","Hectares","",2,2,0,0,.1,0,4,"Communally owned","Communally owned",,,"Communally owned",,"Communally owned","No",,"",,"",,"Maybe, maybe not","Yes","No","Yes","No","Yes","Yes","No","No","No","No","No","No",,"No",,,,,,,5,"Slight increase","Slight increase","No",,,"",3,"Yes","Our plots belongs to our parents so I intend to own mine."
"95-39-93-93","Hectares","",0,0,0,0,.16,0,0,,,,,"Communally owned",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,5,"Slight increase","Slight increase","No",,,"",0,"Yes","For building construction"
"61-12-40-36","Hectares","",0,0,0,0,.16,0,0,,,,,"Communally owned",,,"No",,"",,"",,"Likely","Yes","No","Yes","No","No","No","No","Yes","No","No","No","No",,"No",,,,,,,24,"Slight increase","The same","No",,,"",0,"Yes","I have applied for a residential plot"
"11-71-40-81","Hectares","",0,0,0,0,.18,0,0,,,,,"Private owned with land title",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,4,"The same","Slight decrease","No",,,"",0,"Yes","To make guest house business"
"36-42-18-14","Hectares","",0,0,0,0,.16,0,0,,,,,"Private owned with land title",,,"No",,"",,"",,"Likely","No",,,,,,,,,,,,,"No",,,,,,,17,"Slight increase","Slight decrease","No",,,"",1,"Yes","to give one to the children."
"19-03-38-46","Hectares","",0,0,0,0,.16,0,2,,,,,"Communally owned",,"Communally owned","No",,"",,"",,"Very unlikely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"No",,,,,,,0,"The same","Slight increase","No",,,"",1,"No","OLD AGE"
"92-48-70-16","Hectares","",0,0,19,15,.16,.16,7,,,"Communally owned","Communally owned","Communally owned","Communally owned","Communally owned","No",,"",,"",,"Very unlikely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"Yes",5,"Yes","No","No","No",,10,"The same","Slight increase","No",,,"",3,"No","I HAVE ENOUGH"
"34-14-49-72","Hectares","",0,0,0,0,.16,0,0,,,,,"Leased/rented",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"The same","The same","No",,,"",0,"Yes","For building construction"
"22-89-40-33","Hectares","",0,0,0,0,.16,0,0,,,,,"Private owned with land title",,,"No",,"",,"",,"unlikely","No",,,,,,,,,,,,,"No",,,,,,,17,"Slight increase","Slight decrease","No",,,"",0,"Yes","because the respondent does not have farmland"
"37-39-45-84","Hectares","",12,2,3,0,.32,0,0,"Private owned with land title","Private owned with land title","Private owned with land title",,"Private owned with land title",,,"No",,"",,"",,"Very unlikely","Yes","No","Yes","No","No","No","No","No","No","No","No","No",,"No",,,,,,,2,"Massive increase","Massive decrease","No",,,"",1,"Yes","Residential"
"98-85-46-77","Hectares","",0,0,0,0,.12,0,0,,,,,"Private owned with land title",,,"No",,"",,"",,"Very unlikely","No",,,,,,,,,,,,,"No",,,,,,,0,"Massive increase","Massive increase","No",,,"",0,"Yes","crop production business"
