interview__key,r_forset_product__id,fstqty,fstpdt_unt,fstpdt_unt_oth,fstpdt_sl,fstpdt_slqty,fstpdt_slunit,fstpdt_slunit_oth,fstpdt_slpssd,fstpdt_slprc,fstpdt_exp,fstpdt_expamt,fstpdt_ch,fstpdt_ch2,f027,f028
"92-49-74-52","Firewood",6,"Bale / Bundle","","No",,,"",,,"No",,"Massive increase","Massive decrease","There were less buildings and a lot of trees",""
"24-72-61-31","Firewood",3,"Wheelbarrow","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Not easy to acquire permits for fetching firewood."
"04-92-41-49","Firewood",2,"Wheelbarrow","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","high usage"
"32-83-01-09","Firewood",3,"Tonnes","","No",,,"",,,"Yes",450,"Slight decrease","Slight increase","","Elephant destroy trees-therefore more firewood is generated"
"79-05-50-27","Firewood",2,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","More people use firewood"
"79-05-50-27","Wild fruits",200,"Grams","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Ni rainfall"
"27-16-23-86","Firewood",2,"Tonnes","","No",,,"",,,"Yes",800,"Slight increase","The same","HOMESTEADS INCREASE",""
"58-55-75-07","Firewood",2,"Tonnes","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","The area is at big risk of wildfires which destroy the firewood."
"00-06-72-58","Firewood",7,"Bunches","","No",,,"",,,"No",,"The same","Massive decrease","",""
"45-71-57-97","Firewood",1,"Tonnes","","No",,,"",,,"Yes",500,"Massive decrease","Massive decrease","","high usage"
"18-81-00-96","Firewood",3,"Wheelbarrow","","No",,,"",,,"No",,"Massive increase","Massive decrease","Less regulations and less buildings",""
"09-79-14-71","Firewood",1,"Wheelbarrow","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","high usage"
"05-16-40-57","Firewood",2,"Tonnes","","No",,,"",,,"No",,"The same","Slight decrease","",""
"11-65-24-94","Firewood",6,"Tonnes","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","overharvesting"
"55-44-38-36","Firewood",50,"Kilograms","","No",,,"",,,"Yes",400,"Massive increase","Massive increase","A lot of trees cut down",""
"55-44-38-36","Sand, stone, mud",1,"Tonnes","","No",,,"",,,"Yes",400,"The same","The same","",""
"55-44-38-36","Wild fruits",1,"10kg bag","","No",,,"",,,"No",,"The same","The same","",""
"37-03-14-78","Firewood",1,"Tonnes","","No",,,"",,,"No",,"Slight increase","Massive decrease","Close proximity",""
"77-78-34-26","Firewood",20,"Wheelbarrow","","No",,,"",,,"No",,"Massive increase","Massive increase","deforestation",""
"77-78-34-26","Wild fruits",1,"2kg packet","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","undesirable rainy seasons"
"92-09-46-86","Firewood",2,"Tonnes","","No",,,"",,,"Yes",2400,"The same","The same","",""
"27-55-59-32","Firewood",2,"Wheelbarrow","","No",,,"",,,"No",,"The same","The same","",""
"65-23-07-01","Firewood",1,"Wheelbarrow","","No",,,"",,,"No",,"Slight increase","Slight decrease","Heavy harvesting from community members",""
"65-23-07-01","Wild fruits",20,"Grams","","No",,,"",,,"No",,"Slight increase","Slight decrease","Burning of forest, clearing of vegetation",""
"79-30-25-19","Firewood",1,"Tonnes","","No",,,"",,,"No",,"The same","Slight decrease","",""
"75-18-13-88","Firewood",2,"Wheelbarrow","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","More people harvest for cooking"
"40-16-04-38","Firewood",2,"Wheelbarrow","","No",,,"",,,"No",,"The same","Massive decrease","",""
"49-34-25-75","Firewood",2,"Tonnes","","No",,,"",,,"Yes",1200,"The same","The same","",""
"02-31-03-32","Firewood",1,"Tonnes","","No",,,"",,,"No",,"The same","The same","",""
"88-23-45-95","Firewood",1,"Other (please specify)","1t truck","No",,,"",,,"Yes",200,"The same","Slight decrease","",""
"88-23-45-95","Wild fruits",1,"Kilograms","","No",,,"",,,"No",,"The same","The same","",""
"88-23-45-95","Medicinal plants",3,"Kilograms","","Yes",2,"Kilograms","","Yes",10,"No",,"The same","Slight decrease","",""
"92-15-40-92","Firewood",50,"Kilograms","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","too many people collect firewood"
"06-55-62-53","Firewood",100,"Kilograms","","No",,,"",,,"Yes",3000,"Slight decrease","Massive decrease","","There are a lot of developments taking place which require land clearing."
"57-74-77-03","Firewood",1,"Tonnes","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","No rains"
"57-74-77-03","Wild fruits",2,"Grams","","No",,,"",,,"No",,"Massive increase","Massive increase","More people have migrated to the village leaving more trees in the bush",""
"28-44-25-15","Firewood",100,"Kilograms","","No",,,"",,,"No",,"The same","The same","",""
"90-03-82-22","Firewood",3,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"24-47-59-03","Firewood",2,"Wheelbarrow","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","high usage"
"23-30-88-30","Firewood",10,"Kilograms","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Developments which require land clearing"
"72-38-90-85","Firewood",150,"Kilograms","","No",,,"",,,"No",,"The same","The same","",""
"76-02-43-67","Firewood",3,"Wheelbarrow","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Many people are now fetching firewood"
"76-02-43-67","Wild fruits",1,"10kg bag","","No",,,"",,,"No",,"The same","The same","",""
"58-63-03-99","Firewood",12,"Bale / Bundle","","No",,,"",,,"Yes",600,"Massive increase","Massive decrease","There were less regulations",""
"53-04-65-79","Firewood",1,"Wheelbarrow","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","high usage in households"
"48-16-15-04","Firewood",1,"Bale / Bundle","","No",,,"",,,"Yes",10,"Massive decrease","Massive decrease","","More land given for residential plots"
"08-72-41-04","Firewood",2,"Wheelbarrow","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Most people use firewood for cooking"
"08-72-41-04","Timber or poles",30,"Other (please specify)","30 poles harvested","No",,,"",,,"Yes",120,"Massive decrease","Massive decrease","","More people use them for building houses"
"08-72-41-04","Sand, stone, mud",6,"Tonnes","","No",,,"",,,"Yes",1800,"The same","Slight decrease","",""
"08-72-41-04","Wild fruits",12,"Kilograms","","Yes",5,"Kilograms","","No",5,"No",,"Massive increase","Massive increase","More seed dispersal of the plant from people and animals",""
"08-72-41-04","Medicinal plants",500,"Grams","","No",,,"",,,"No",,"The same","The same","",""
"08-72-41-04","Tea leaves",500,"Grams","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","More people harvest it as well as goats"
"08-72-41-04","Ornamental flowers",1,"Bale / Bundle","","No",,,"",,,"No",,"Massive increase","Massive increase","More plantations of flowers",""
"08-72-41-04","Mushrooms",1,"Kilograms","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","More people harvest it"
"48-20-18-94","Firewood",2,"Wheelbarrow","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","The government has set out policies to reduce harvesting of firewood"
"48-20-18-94","Timber or poles",12,"Bunches","","No",,,"",,,"No",,"The same","Slight decrease","",""
"56-53-54-49","Firewood",2,"Tonnes","","No",,,"",,,"Yes",400,"Massive increase","The same","increased deforestation",""
"56-53-54-49","Sand, stone, mud",2,"Tonnes","","No",,,"",,,"Yes",900,"The same","The same","",""
"01-08-40-07","Firewood",1,"Tonnes","","No",,,"",,,"Yes",400,"Massive decrease","Massive decrease","","More people harvest them for cooking"
"01-08-40-07","Sand, stone, mud",7,"Tonnes","","No",,,"",,,"Yes",9600,"Massive decrease","Massive decrease","","More people are building"
"74-08-40-24","Firewood",2,"Wheelbarrow","","No",,,"",,,"Yes",50,"Massive increase","Massive decrease","Prices were low and easily accessible",""
"14-31-43-40","Firewood",10,"Numbers","","No",,,"",,,"No",,"Slight increase","The same","Land clearance for developments",""
"24-80-99-00","Firewood",1,"Wheelbarrow","","No",,,"",,,"No",,"The same","The same","",""
"40-28-46-68","Firewood",4,"Wheelbarrow","","No",,,"",,,"No",,"The same","Slight decrease","",""
"31-20-26-05","Firewood",300,"Kilograms","","No",,,"",,,"No",,"The same","The same","",""
"37-39-15-65","Firewood",2,"Tonnes","","No",,,"",,,"No",,"The same","The same","",""
"37-39-15-65","Wild fruits",1,"Other (please specify)","12.5kg bag","Yes",9,"Kilograms","","No",10,"No",,"The same","The same","",""
"45-44-88-31","Firewood",1,"Tonnes","","No",,,"",,,"No",,"The same","The same","",""
"91-91-62-09","Firewood",1,"Tonnes","","No",,,"",,,"No",,"The same","Slight decrease","",""
"91-91-62-09","Timber or poles",1,"Tonnes","","No",,,"",,,"No",,"The same","Massive decrease","",""
"91-91-62-09","Medicinal plants",2,"Kilograms","","No",,,"",,,"No",,"The same","Slight decrease","",""
