interview__key,h02,h03,h03_oth,h04,h04_oth,h05,h05_oth,h06,h06_oth,h07,h07_oth
"98-37-88-19",2,"Iron sheets","","Bricks with cement","","Cement screed","","Unprotected source (well spring river lake tank truck)","","Covered pit patrine with slab",""
"19-43-58-99",7,"Iron sheets","","Bricks with cement","","Cement screed","","Other, Specify","They source water from the neighbors Piped water","Covered pit patrine with slab",""
"85-30-41-56",1,"Concrete","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"78-32-31-52",15,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"37-97-45-71",2,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"07-52-39-57",6,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"80-35-75-14",2,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Other➡️ Please specify","They are using their neighbors toilet (covered pit latrine with a slab)"
"94-41-84-42",3,"Concrete","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"96-46-53-15",7,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Flush toilet",""
"53-23-37-57",3,"Iron sheets","","Bricks with cement","","Ceramic or other tiles","","Piped water (house or public)","","Flush toilet",""
"34-02-59-21",2,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"19-67-63-11",4,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","No facility/Bush/polythene",""
"57-12-45-97",5,"Iron sheets","","Bricks with cement","","Ceramic or other tiles","","Piped water (house or public)","","Flush toilet",""
"96-34-22-21",6,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"03-38-35-14",1,"Thatched grass","","Mud with poles","","Smooth earth (soil)","","Piped water (house or public)","","Covered pit patrine with slab",""
"09-06-20-19",4,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"51-25-36-09",3,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
"04-05-30-01",10,"Iron sheets","","Bricks with cement","","Cement screed","","Piped water (house or public)","","Covered pit patrine with slab",""
