interview__key,road_1,road_2,road_3__1,road_3__2,road_3__3,road_3__4,road_3__5,road_3__6,road_3__7,road_3__8,road_3_oth,road_6,road_7,road_8,road_9,road_10,road_11__1,road_11__2,road_11__3,road_11__96,road_11_oth,road_12__1,road_12__2,road_12__3,road_12__4,road_12__5,road_12__6,road_12__7,road_12__96,road_12_oth,road_13,road_14__1,road_14__2,road_14__3,road_14__4,road_14__5,road_14__96,road_14_oth
"52-46-02-95","Murram/ gravel road","Well passable","Yes","Yes","Yes","Yes","No","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","Yes","No","No","No",
"45-07-09-59","Tarmac road","Very well passable, in both rainy and dry season","Yes","No","No","Yes","No","Yes","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"52-28-82-48","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","Yes","No","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"72-80-69-88","Murram/ gravel road","Almost not passable","Yes","No","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"17-89-78-78","Murram/ gravel road","Well passable","Yes","No","Yes","Yes","Yes","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"07-52-31-91","Murram/ gravel road","Only passable with certain vehicles/ at certain times","Yes","Yes","Yes","No","No","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"99-68-20-94","Dirt road/ bush road","Well passable","Yes","Yes","Yes","Yes","Yes","No","No","No",,3,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"84-66-38-33","Dirt road/ bush road","Well passable","Yes","Yes","No","Yes","No","No","No","No",,2,"No",,,,,,,,,,,,,,,,,,,"No","No","Yes","No","No","No",
"39-36-01-20","Murram/ gravel road","Well passable","Yes","Yes","Yes","Yes","Yes","Yes","No","No",,10,"No",,,,,,,,,,,,,,,,,,,"No","No","No","No","Yes","No",
"05-30-74-26","Dirt road/ bush road","Well passable","Yes","Yes","Yes","Yes","Yes","No","No","No",,1,"No",,,,,,,,,,,,,,,,,,,"No","No","Yes","Yes","No","No",
