interview__key,r_members__id,migrant_ind,migrant_current,migrant_past,migr_itt,migr_desti,migr_desti_oth,migrant_year_first,migrant_year_recent,migrant_months_no,migrant_visit,remit_amt,remit_receiver
"15-81-26-28",2,"No",,"No","No intention to migrate",,"",,,,,,
"20-52-90-88",1,"No",,"No","No intention to migrate",,"",,,,,,
"20-52-90-88",2,"No",,"No","Yes permanently migrate","Town outside region","",,,,,,
"20-52-90-88",3,"No",,"No","Yes permanently migrate","Town outside region","",,,,,,
"35-31-07-84",1,"Yes","No","No",,,"",2013,2023,,,,
"35-31-07-84",2,"Yes","No","No",,,"",2000,2023,,,,
"35-31-07-84",3,"Yes","Yes","No",,,"",2000,2023,1,11,0,
"35-31-07-84",5,"Yes","No","No",,,"",1999,2023,,,,
"09-47-23-08",1,"No",,"No","No intention to migrate",,"",,,,,,
"09-47-23-08",2,"No",,"No","No intention to migrate",,"",,,,,,
"09-47-23-08",3,"No",,"No","No intention to migrate",,"",,,,,,
"09-47-23-08",4,"No",,"No","No intention to migrate",,"",,,,,,
"03-49-16-10",1,"No",,"No","Yes permanently migrate","Town outside region","",,,,,,
"03-49-16-10",2,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"65-48-87-48",1,"No",,"No","No intention to migrate",,"",,,,,,
"65-48-87-48",2,"No",,"No","No intention to migrate",,"",,,,,,
"65-48-87-48",3,"No",,"No","No intention to migrate",,"",,,,,,
"65-48-87-48",4,"No",,"No","No intention to migrate",,"",,,,,,
"54-94-74-75",1,"No",,"No","Yes temporarily migrate","Capital city","",,,,,,
"54-94-74-75",2,"No",,"No","Yes temporarily migrate","Capital city","",,,,,,
"70-40-01-04",1,"No",,"No","No intention to migrate",,"",,,,,,
"70-40-01-04",2,"No",,"No","No intention to migrate",,"",,,,,,
"33-37-06-20",1,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"33-37-06-20",3,"No",,"No","No intention to migrate",,"",,,,,,
"33-37-06-20",5,"No",,"No","No intention to migrate",,"",,,,,,
"11-89-65-58",1,"No",,"No","No intention to migrate",,"",,,,,,
"11-89-65-58",2,"No",,"No","No intention to migrate",,"",,,,,,
"11-89-65-58",3,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"11-89-65-58",4,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"11-89-65-58",5,"No",,"No","No intention to migrate",,"",,,,,,
"11-89-65-58",6,"No",,"No","No intention to migrate",,"",,,,,,
"11-89-65-58",7,"No",,"No","No intention to migrate",,"",,,,,,
"86-01-74-97",1,"Yes","No","No",,,"",2005,2022,,,,
"86-01-74-97",2,"Yes","No","No",,,"",2000,2023,,,,
"18-63-27-64",1,"No",,"No","No intention to migrate",,"",,,,,,
"18-63-27-64",2,"No",,"No","No intention to migrate",,"",,,,,,
"00-01-02-02",1,"No",,"No","No intention to migrate",,"",,,,,,
"00-01-02-02",2,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
"00-01-02-02",3,"No",,"No","Yes temporarily migrate","Town outside region","",,,,,,
