interview__key,r_members__id,live_here,absence_res,absence_res_oth,ha03,ha_rel,age,marital,ha07,religio,religio_1,educ1,educ2,school_attnd,school_attnd_oth,educ3,ex_student,year_graduate,study_program,emp_member,Ibr3,lbr13
"72-10-49-63",1,12,,"","Male","Self/Head","44","Married monogamously","MOSUBIA","Protestant demoninantions (incl all non-catholic denominations)","","Form 2","No","Completed desired schooling","",,"","","","Yes","Yes","Yes"
"72-10-49-63",2,12,,"","Female","Wife/Husband","43",,"Morolong",,"","University level",,,"",,"LIMKOKWING UNIVERSITY OF CREATIVE TECHNOLOGY","2012","TOURISM AND HOSPITALITY","No",,
"72-10-49-63",3,4,"Members that left - Education","","Male","Child/Adopted Child","14",,"Mosubia",,"","Form 3","Yes",,"",,"","","","No",,
"65-98-70-74",1,12,,"","Female","Wife/Husband","46",,"Subiya",,"","Form 3","No","Too expensive","",,"","","","No",,
"65-98-70-74",2,12,,"","Male","Self/Head","47","Never Married","San","Catholic","","Form 3","No","Too expensive","",,"","","","Yes","Yes","No"
"65-98-70-74",3,12,,"","Female","Child/Adopted Child","30",,"Subiya",,"","Form 3","No","Other","She is currently working",,"","","","Yes","Yes","No"
"65-98-70-74",4,12,,"","Male","Child/Adopted Child","26",,"Subiya",,"","Form 3","No","Too expensive","",,"","","","No",,
"65-98-70-74",5,12,,"","Male","Grandchild","13",,"San",,"","Standard 6","Yes",,"",,"","","","No",,
"65-98-70-74",6,12,,"","Female","Grandchild","9",,"Basarwa",,"","Standard 4","Yes",,"",,"","","",,,
"65-98-70-74",7,12,,"","Female","Child/Adopted Child","6",,"San",,"","Nursey/ Kindergarten/ECD","Yes",,"",,"","","",,,
"65-98-70-74",8,12,,"","Male","Grandchild","3",,"Shona",,"",,"No","I don't Know","",,"","","",,,
"71-09-05-63",1,12,,"","Female","Self/Head","69","Never Married","Mbukushu","Protestant demoninantions (incl all non-catholic denominations)","","No formal education","No","Too expensive","",,"","","","No",,
"71-09-05-63",2,12,,"","Female","Child/Adopted Child","38",,"Mokoba",,"","Standard 7","No","Pregnancy","",,"","","","Yes","Yes","No"
"71-09-05-63",3,12,,"","Male","Child/Adopted Child","43",,"Mokoba",,"","No formal education","No","Not willing to attend further","",,"","","","Yes","Yes","No"
"71-09-05-63",4,12,,"","Male","Child/Adopted Child","38",,"Mokoba",,"","Form 3","No","Poor academic progress","",,"","","","Yes","Yes","No"
"71-09-05-63",5,12,,"","Female","Child/Adopted Child","36",,"Mokoba",,"","Form 3","No","Too expensive","",,"","","","Yes","Yes","No"
"71-09-05-63",6,12,,"","Male","Grandchild","33",,"Mokoba",,"","Form 3","No","Poor academic progress","",,"","","","Yes","Yes","No"
