interview__key,as10,as11,as12,as13,as14,as15,as16__1,as16__2,as16__3,as16__4,as16__5,as16__6,as16__7,as16__8,as16__9,as16__96,as16_oth,as19,as17,as18__1,as18__2,as18__3,as18__4,as18__5,as18__6,as18__7,as18__8,as18__9,as18__10,as18__11,as18__96
"31-20-26-05","No","No","No","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"37-39-15-65","Yes","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"45-44-88-31","Yes","No","Yes","Yes","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"91-91-62-09","Yes","Yes","Yes","Yes","Yes",600,"Yes","No","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"88-82-89-39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"79-34-34-89","Yes","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"07-03-46-78","No","No","Yes","Yes","No",,,,,,,,,,,,,"Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes"
"52-55-71-22","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"42-79-46-81","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"39-12-44-07","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"21-92-10-43","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"29-41-63-44","Yes","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"19-83-50-72","No","No","Yes","Yes","Yes",5000,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"58-42-18-32","Yes","No","Yes","No","Yes",2400,"Yes","No","No","No","No","No","No","Yes","No","No",,"Yes","No",,,,,,,,,,,,
"48-22-87-49","No","Yes","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"85-54-41-38","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"91-10-07-30","Yes","No","Yes","Yes","Yes",500,"Yes","No","No","No","No","No","No","No","No","Yes",,"Yes","No",,,,,,,,,,,,
"12-91-55-52","No","Yes","No","Yes","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"74-40-02-20","No","Yes","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
