interview__key,as_loc01_in,as_loc02_in,as_loc03_in,as_loc04_in,as_loc05_in,as_loc06_in,as_loc07_in,as_loc08_in,as_loc09_in,as_loc10_in,as_loc11_in,as_loc12_in,as_loc13_in,as_loc14_in,as_loc15_in,as_loc16_in,trst01,trst02,trst03,trst04,trst05,exp_ev1_01,exp_ev1_03,exp_ev1_05,exp_ev1_06,exp_ev1_07,exp_ev1_11,exp_ev1_12,exp_ev1_13,exp_ev1_14,exp_ev1_15
"08-84-58-33","Agree","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","trust","trust","trust","Worried","Worried","Worried","Worried","Worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried","Slightly worried"
"17-96-77-43","Strongly agree","Agree","Agree","Agree","Indifferent (neither nor)","Agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Agree","Indifferent (neither nor)","Strongly disagree","Strongly disagree","Agree","trust","strongly distrust","strongly distrust","strongly distrust","strongly distrust","Worried","Worried","Not at all worried","Not at all worried","Not at all worried","Worried","Very worried","Worried","Not at all worried","Very worried"
"05-74-99-19","Indifferent (neither nor)","Strongly agree","Disagree","Agree","Agree","Agree","Indifferent (neither nor)","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Strongly agree","indifferent","trust","trust","trust","trust","Worried","Worried","Very worried","Very worried","Extremely worried","Slightly worried","Worried","Worried","Slightly worried","Slightly worried"
"58-76-16-53","Agree","Agree","Strongly agree","Agree","Indifferent (neither nor)","Agree","Indifferent (neither nor)","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","trust","trust","indifferent","distrust","distrust","Very worried","Very worried","Slightly worried","Slightly worried","Slightly worried","Not at all worried","Slightly worried","Slightly worried","Not at all worried","Very worried"
"14-93-43-30","Strongly agree","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Strongly agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","distrust","strongly trust","trust","trust","Very worried","Slightly worried","Worried","Slightly worried","Slightly worried","Very worried","Very worried","Slightly worried","Not at all worried","Extremely worried"
"11-82-86-61","Indifferent (neither nor)","Strongly agree","Strongly agree","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Agree","Agree","distrust","trust","strongly distrust","trust","strongly trust","Very worried","Very worried","Worried","Extremely worried","Slightly worried","Extremely worried","Worried","Worried","Not at all worried","Extremely worried"
"03-50-12-90","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Very worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried"
"81-28-91-79","Agree","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Very worried","Worried","Worried","Very worried","Worried","Worried","Worried","Very worried","Worried","Worried"
"87-17-87-24","Agree","Strongly agree","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","indifferent","trust","trust","distrust","trust","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried"
"98-37-88-19","Strongly agree","Strongly disagree","Disagree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Strongly disagree","Disagree","indifferent","indifferent","distrust","indifferent","distrust","Not at all worried","Extremely worried","Extremely worried","Extremely worried","Very worried","Extremely worried","Extremely worried","Not at all worried","Not at all worried","Not at all worried"
"19-43-58-99","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Strongly agree","distrust","indifferent","strongly distrust","strongly trust","indifferent","Not at all worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Not at all worried","Worried","Not at all worried","Worried","Worried"
"85-30-41-56","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Indifferent (neither nor)","trust","trust","indifferent","indifferent","distrust","Worried","Worried","Slightly worried","Slightly worried","Slightly worried","Not at all worried","Worried","Worried","Slightly worried","Worried"
"78-32-31-52","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Strongly disagree","Indifferent (neither nor)","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","strongly trust","strongly trust","trust","strongly trust","trust","Worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Extremely worried","Slightly worried","Slightly worried","Extremely worried"
"37-97-45-71","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Disagree","Disagree","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","trust","trust","trust","Slightly worried","Worried","Worried","Slightly worried","Worried","Worried","Worried","Slightly worried","Not at all worried","Not at all worried"
"07-52-39-57","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","trust","trust","trust","trust","trust","Very worried","Very worried","Very worried","Very worried","Very worried","Worried","Very worried","Very worried","Very worried","Worried"
"80-35-75-14","Agree","Strongly agree","Agree","Indifferent (neither nor)","Agree","Strongly agree","Indifferent (neither nor)","Disagree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","distrust","trust","trust","indifferent","indifferent","Extremely worried","Extremely worried","Extremely worried","Worried","Worried","Extremely worried","Very worried","Very worried","Not at all worried","Extremely worried"
"94-41-84-42","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Disagree","Indifferent (neither nor)","distrust","trust","indifferent","distrust","trust","Worried","Very worried","Worried","Very worried","Very worried","Very worried","Worried","Very worried","Slightly worried","Worried"
"96-46-53-15","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Disagree","Indifferent (neither nor)","Disagree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Indifferent (neither nor)","trust","distrust","distrust","distrust","distrust","Worried","Extremely worried","Worried","Very worried","Worried","Very worried","Worried","Extremely worried","Worried","Very worried"
"53-23-37-57","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Worried","Worried","Worried","Slightly worried","Slightly worried","Not at all worried","Not at all worried","Not at all worried","Not at all worried","Slightly worried"
"34-02-59-21","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","trust","indifferent","indifferent","trust","Not at all worried","Not at all worried","Worried","Worried","Worried","Not at all worried","Worried","Worried","Worried","Worried"
"19-67-63-11","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Worried","Slightly worried","Worried","Worried","Worried","Not at all worried","Not at all worried","Slightly worried","Worried","Worried"
"57-12-45-97","Strongly agree","Strongly agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Agree","Disagree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Agree","Agree","Indifferent (neither nor)","Agree","Agree","trust","indifferent","distrust","strongly trust","indifferent","Worried","Extremely worried","Not at all worried","Not at all worried","Worried","Not at all worried","Worried","Worried","Slightly worried","Not at all worried"
"96-34-22-21","Strongly disagree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Disagree","Agree","Agree","Strongly agree","Strongly agree","Agree","Indifferent (neither nor)","Agree","Agree","trust","distrust","trust","trust","distrust","Extremely worried","Very worried","Very worried","Worried","Not at all worried","Not at all worried","Worried","Very worried","Worried","Extremely worried"
"03-38-35-14","Agree","Strongly agree","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Strongly agree","Disagree","Disagree","Strongly agree","Agree","Indifferent (neither nor)","Agree","Agree","Agree","trust","trust","trust","trust","trust","Not at all worried","Worried","Worried","Worried","Very worried","Worried","Very worried","Worried","Slightly worried","Worried"
"09-06-20-19","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","strongly trust","strongly trust","strongly trust","strongly trust","strongly trust","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried"
"51-25-36-09","Agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Indifferent (neither nor)","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","indifferent","trust","trust","trust","trust","Worried","Very worried","Worried","Very worried","Worried","Very worried","Very worried","Very worried","Very worried","Very worried"
"04-05-30-01","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","trust","trust","trust","trust","trust","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried","Worried"
"50-01-20-35","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","trust","distrust","trust","trust","trust","Worried","Worried","Worried","Not at all worried","Worried","Not at all worried","Worried","Worried","Worried","Worried"
"67-87-75-21","Strongly agree","Strongly agree","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","Indifferent (neither nor)","strongly trust","strongly trust","strongly trust","trust","indifferent","Extremely worried","Very worried","Extremely worried","Worried","Worried","Extremely worried","Worried","Worried","Worried","Very worried"
"53-81-28-44","Agree","Strongly agree","Agree","Agree","Indifferent (neither nor)","Strongly agree","Agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Agree","Agree","Agree","Agree","Agree","strongly trust","trust","strongly trust","trust","trust","Slightly worried","Worried","Worried","Very worried","Worried","Slightly worried","Slightly worried","Worried","Worried","Very worried"
"69-29-47-18","Agree","Agree","Indifferent (neither nor)","Agree","Agree","Agree","Strongly agree","Agree","Indifferent (neither nor)","Indifferent (neither nor)","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","indifferent","distrust","distrust","indifferent","trust","Worried","Worried","Worried","Worried","Worried","Not at all worried","Worried","Worried","Worried","Extremely worried"
