interview__key,ctry,dist,village,local_name,interviewed_consent,res_head,res_rel,interview_possible
"19-42-84-15","Botswana","Chobe","KASANE","Plateau",1,"Head of the household",,"Yes"
"13-49-27-25","Botswana","chobe","KASANE","Plateau",1,"Head of the household",,"Yes"
"08-12-43-59","Botswana","chobe","KASANE","plateau",1,"Head of the household",,"Yes"
"82-85-64-69","Botswana","chobe","KAZUNGULA","new stance",1,"Representative of the head","Niece","Yes"
"22-02-04-35","Botswana","Chobe","KAZUNGULA","New stands",1,"Representative of the head","Spouse","Yes"
"00-91-45-36","Botswana","Chobe","MUCHINJE/MABELE","Izei",1,"Representative of the head","Spouse","Yes"
"11-05-72-97","Botswana","Chobe","KAZUNGULA","New stands",1,"Head of the household",,"Yes"
"16-99-02-10","Botswana","CHOBE DISTRICT","KASANE","KGAPHAMADI",1,"Head of the household",,"Yes"
"31-99-53-07","Botswana","Chobe","KAZUNGULA","Newstance",1,"Head of the household",,"Yes"
"48-93-31-20","Botswana","Chobe","KASANE","Plateau",1,"Head of the household",,"Yes"
"87-13-21-98","Botswana","Chobe","KAZUNGULA","Newstance",1,"Head of the household",,"Yes"
"55-27-15-85","Botswana","CHOBE DISTRICT","KAZUNGULA","NEW STANCE",1,"Head of the household",,"Yes"
"59-41-96-68","Botswana","Chobe","KAZUNGULA","Newstance",1,"Representative of the head","Daughter","Yes"
"22-18-88-41","Botswana","Chobe","KASANE","Kgaphamadi",1,"Representative of the head","Spouse","Yes"
"24-64-78-21","Botswana","Chobe","PANDAMATENGA","New Stance",1,"Representative of the head","Daughter","Yes"
"86-04-16-80","Botswana","Chobe","KAZUNGULA","Newstance",1,"Head of the household",,"Yes"
"92-49-74-52","Botswana","Chobe","KAZUNGULA","Newstance",1,"Representative of the head","Daughter","Yes"
"24-72-61-31","Botswana","Chobe","PANDAMATENGA","Newstance",1,"Head of the household",,"Yes"
"04-92-41-49","Botswana","Chobe","KAZUNGULA","new stance",1,"Head of the household",,"Yes"
"10-43-22-87","Botswana","chobe","KAZUNGULA","newstance",1,"Representative of the head","Sister","Yes"
"32-83-01-09","Botswana","Chobe","KASANE","New Stance",1,"Representative of the head","Other male relative","Yes"
"79-05-50-27","Botswana","Chobe","KAZUNGULA","New stands",1,"Head of the household",,"Yes"
"27-16-23-86","Botswana","Chobe","PANDAMATENGA","Newstance",1,"Head of the household",,"Yes"
"12-61-67-91","Botswana","chobe","KASANE","kgaphamadi",1,"Head of the household",,"Yes"
"58-55-75-07","Botswana","Chobe","KASANE","Kgaphamadi",1,"Representative of the head","Granddaughter","Yes"
"00-06-72-58","Botswana","CHOBE DISTRICT","PANDAMATENGA","NEW STANCE",1,"Representative of the head","Self/HH head","Yes"
"45-71-57-97","Botswana","chobe","KASANE","new town",1,"Head of the household",,"Yes"
"18-81-00-96","Botswana","Chobe","KAZUNGULA","Newstance",1,"Head of the household",,"Yes"
"09-79-14-71","Botswana","chobe","KASANE","kgaphamadi",1,"Representative of the head","Spouse","Yes"
"71-80-89-34","Botswana","Chobe","PANDAMATENGA","New Stance",1,"Head of the household",,"Yes"
"05-16-40-57","Botswana","Chobe","KAZUNGULA","Newstance",1,"Representative of the head","Daughter","Yes"
"11-65-24-94","Botswana","chobe","KAZUNGULA","new stance",1,"Representative of the head","Mother","Yes"
"55-44-38-36","Botswana","Chobe","KASANE","Plateau",1,"Representative of the head","Son","Yes"
"84-73-72-31","Botswana","chobe","KASANE","kgaphamadi",1,"Representative of the head","Brother","Yes"
"37-03-14-78","Botswana","Chobe","MUCHINJE/MABELE","Kucharara",1,"Representative of the head","Spouse","Yes"
"77-78-34-26","Botswana","chobe","KAZUNGULA","New stance",1,"Head of the household",,"Yes"
"92-09-46-86","Botswana","Chobe","KAZUNGULA","New Stance",1,"Representative of the head","Spouse","Yes"
"27-55-59-32","Botswana","Chobe","KAZUNGULA","Newstance",1,"Head of the household",,"Yes"
"65-23-07-01","Botswana","Chobe","PANDAMATENGA","Newstance",1,"Head of the household",,"Yes"
"79-30-25-19","Botswana","CHOBE DISTRICT","KASANE","KASANE PLATEAU",1,"Head of the household",,"Yes"
"75-18-13-88","Botswana","Chobe","KAZUNGULA","New stands",1,"Head of the household",,"Yes"
"40-16-04-38","Botswana","CHOBE DISTRICT","PANDAMATENGA","NEW STANCE",1,"Head of the household",,"Yes"
"49-34-25-75","Botswana","CHOBE DISTRICT","KASANE","KGAPHAMADI",1,"Head of the household",,"Yes"
"02-31-03-32","Botswana","Chobe","KASANE","Plateau",1,"Head of the household",,"Yes"
"88-23-45-95","Botswana","Chobe","KASANE","Plateau",1,"Head of the household",,"Yes"
"92-15-40-92","Botswana","chobe","KAZUNGULA","newstance",1,"Representative of the head","Spouse","Yes"
"06-55-62-53","Botswana","Chobe","KAZUNGULA","New Stance",1,"Representative of the head","Spouse","Yes"
"57-74-77-03","Botswana","Chobe","PANDAMATENGA","New stands",1,"Head of the household",,"Yes"
"28-44-25-15","Botswana","chobe","PANDAMATENGA","Newstance",1,"Representative of the head","Daughter","Yes"
"90-03-82-22","Botswana","Chobe","KAZUNGULA","Newstance",1,"Representative of the head","Niece","Yes"
"24-47-59-03","Botswana","chobe","KAZUNGULA","New stance",1,"Head of the household",,"Yes"
"23-30-88-30","Botswana","Chobe","KAZUNGULA","New Stance",1,"Head of the household",,"Yes"
"72-38-90-85","Botswana","chobe","KAZUNGULA","Flowertown",1,"Representative of the head","Daughter","Yes"
"76-02-43-67","Botswana","Chobe","PANDAMATENGA","Newstance",1,"Representative of the head","Daughter","Yes"
"58-63-03-99","Botswana","Chobe","KAZUNGULA","Newstance",1,"Representative of the head","Spouse","Yes"
"53-04-65-79","Botswana","chobe","PANDAMATENGA","new stance",1,"Head of the household",,"Yes"
"48-16-15-04","Botswana","Chobe","KASANE","New town",1,"Head of the household",,"Yes"
"85-34-28-65","Botswana","Chobe","KAZUNGULA","Old kazungula",1,"Head of the household",,"Yes"
