interview__key,s0_duration,s1_duration,s2_duration,s3_duration,s4_duration,s5_duration,s6_duration,s7_duration,s8_duration,s9_duration,s10_duration,s11_duration,s12_duration,s13_duration,s15_duration,interview__duration2,interview__duration,interview__duration_minutes,date,time
"09-25-62-80",1.54,32.52,1.479889502762431,6.51,.24,.61,13.89,1.19,37.748,9.029999999999999,1.348925619834711,14.83066666666667,3.044,5.361999999999998,5.12,134.4634817892638,"00.03:37:06",217.1,"2023-05-16","12:54:58"
"12-68-96-23",2.519335180055402,33.78999999999999,1.479889502762431,6.8,1.27,2.039313186813187,9.199999999999999,1.19,31.64,5.971184573002755,.49,11.19,1.86,2.739168975069252,5.980828729281768,118.1597201469848,"00.02:37:12",157.2,"2023-05-16","12:41:47"
"46-89-61-94",3.65,32.41,2.955999999999999,4.948055555555555,.18,.27,13.3,3.212314049586777,25.04304709141274,9.029999999999999,2.09,10.32,2.35,3.26,5,118.0194166965551,"00.03:06:54",186.9,"2023-05-16","09:28:45"
"36-57-98-87",2.519335180055402,18.27792817679558,2.01,4.948055555555555,.92,2.039313186813187,10.21,3.212314049586777,25.04304709141274,9.029999999999999,.5,12.01,1.819612188365651,5.361999999999998,5.13,103.0316054285849,"00.04:35:14",275.2333333333333,"2023-05-16","06:24:00"
"93-61-95-87",4.531999999999998,18.27792817679558,1.479889502762431,4.948055555555555,1.267822580645161,.41,15.33599999999999,3.212314049586777,37.748,5.971184573002755,2.694,19.69,1.819612188365651,2.739168975069252,7.38,127.5059756017831,"00.07:39:32",459.5333333333334,"2023-05-16","13:10:08"
"72-10-49-63",4.3,23.91,2.955999999999999,6.88,.22,8.279999999999999,15.33599999999999,6.08,34.39,8.1,1.22,13.57,2.67,5.361999999999998,2.63,135.904,"00.03:12:03",192.05,"2023-05-16","12:11:30"
"65-98-70-74",2.519335180055402,33.78999999999999,1.479889502762431,5.06,.38,.27,13.76,3.212314049586777,25.04304709141274,7.27,1.348925619834711,20.75,2.02,3.82,5.49,126.2135114436521,"00.03:38:14",218.2333333333333,"2023-05-16","12:36:59"
"71-09-05-63",3.26,18.27792817679558,1.479889502762431,4.948055555555555,8.519999999999989,2.039313186813187,15.18,4.42,25.04304709141274,8.31,1.43,13.76,1.819612188365651,2.739168975069252,6.63,117.8570146767744,"00.04:59:50",299.8333333333333,"2023-05-16","05:39:26"
"81-05-32-56",2.519335180055402,18.27792817679558,1.479889502762431,4.948055555555555,1.267822580645161,2.039313186813187,12.53,3.212314049586777,34.71,8.15,1.348925619834711,11.4,3.044,2.739168975069252,2.84,110.5067528271181,"00.05:19:58",319.9666666666666,"2023-05-16","07:35:56"
"30-09-94-93",2.98,18.27792817679558,1.49,7.6,.21,8.279999999999999,9.141722222222223,3.212314049586777,37.748,5.9,1.348925619834711,11.66,3.044,5.23,6.78,122.9028900684393,"00.04:48:12",288.2,"2023-05-16","13:00:43"
"85-23-91-16",1.63,11.38,.51,5.53,4.73,2.039313186813187,9.141722222222223,2.15,26.76,5.971184573002755,.86,8.699999999999999,1.819612188365651,2.25,2.208,85.67983217040381,"00.01:15:26",75.43333333333334,"2023-06-05","12:37:22"
"53-06-23-41",2.31,15.64,2.46,3.5,1.267822580645161,6.77,5.93,1.19,23.09,5.15,.5,8.619999999999999,.9399999999999999,3.98,3.58,84.92782258064516,"00.01:41:59",101.9833333333333,"2023-05-17","07:16:37"
"93-66-25-28",4.531999999999998,32.32,1.03,5.32,.12,.09,7.56,3.212314049586777,37.748,4.02,.83,10.75,1.8,2.739168975069252,2.77,114.841483024656,"00.01:57:32",117.5333333333333,"2023-05-17","12:28:48"
"43-14-97-16",2.519335180055402,7.416,1.85,3.88,.21,.17,9.130000000000001,3.2,24.04,6.23,1.13,21.08,1.95,2.63,4.13,89.5653351800554,"00.01:20:24",80.40000000000001,"2023-05-17","12:38:09"
"49-90-63-33",2.07,17.24,1.479889502762431,3.48,.11,.12,5.89,2.76,21.49,4.74,2.694,16.06,1.22,2.01,4.92,86.28388950276242,"00.01:42:04",102.0666666666667,"2023-05-25","11:41:42"
"68-84-82-12",2.78,28.39,1.479889502762431,7.98,1.267822580645161,2.039313186813187,14.75,4.16,32.98,7.14,2.694,14.83066666666667,1.07,5.361999999999998,4.29,131.2136919368874,"00.03:09:32",189.5333333333333,"2023-05-17","12:32:13"
