interview__key,r_forset_product__id,fstqty,fstpdt_unt,fstpdt_unt_oth,fstpdt_sl,fstpdt_slqty,fstpdt_slunit,fstpdt_slunit_oth,fstpdt_slpssd,fstpdt_slprc,fstpdt_exp,fstpdt_expamt,fstpdt_ch,fstpdt_ch2,f027,f028
"01-38-25-96","Sand, stone, mud",60,"Basins","","No",,,"",,,"No",,"The same","The same","",""
"89-39-79-72","Firewood",100,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","population increase"
"89-39-79-72","Wild fruits",2,"Other (please specify)","plastic bag","No",,,"",,,"No",,"The same","The same","",""
"00-49-63-51","Firewood",120,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Slight increase","","more people were migrating to this place and cutting down trees to build their houses"
"00-49-63-51","Sand, stone, mud",60,"Basins","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Alot of people are harvesting the mud for their house as they are alot of people migrating to this place"
"00-49-63-51","Mushrooms",1,"10kg bag","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","alot of people are harvesting the mushrooms"
"76-58-89-37","Firewood",60,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","cutting trees"
"76-58-89-37","Wild fruits",5,"Kilograms","","No",,,"",,,"No",,"The same","The same","",""
"20-56-52-98","Firewood",96,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"64-47-42-17","Firewood",6,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","People are dependent on wood so there is a massive decrease now they travel distance for the wood."
"13-81-47-95","Firewood",12,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Alot of people harvesting or fetch firewood."
"29-99-72-08","Firewood",500,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","Because we have been area in the area for too long"
"24-83-83-50","Firewood",96,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"47-22-90-00","Firewood",230,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","increase in population."
"38-47-12-60","Firewood",30,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","too many people harvesting"
"38-47-12-60","Wood for charcoal production",150,"Numbers","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","too many people building"
"38-47-12-60","Sand, stone, mud",100,"Wheelbarrow","","No",,,"",,,"No",,"Slight decrease","Slight decrease","","too many people harvesting"
"28-88-27-77","Firewood",12,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","too many people harvesting"
"29-11-74-01","Firewood",192,"Bale / Bundle","","No",,,"",,,"No",,"The same","The same","",""
"23-17-08-61","Firewood",80,"Bunches","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","exploitation"
"23-17-08-61","Sand, stone, mud",10,"Tonnes","","No",,,"",,,"No",,"The same","The same","",""
"23-17-08-61","Wild fruits",5,"Tins (eg milk tins)","","No",,,"",,,"No",,"The same","The same","",""
"23-17-08-61","Mushrooms",2,"Kilograms","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","no rain"
"09-04-42-43","Firewood",144,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","increase in population and wildlife are destroying the forest"
"60-44-87-63","Firewood",112,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Alot of people are harvesting the firewood"
"60-44-87-63","Sand, stone, mud",40,"Basins","","No",,,"",,,"No",,"The same","The same","",""
"37-91-11-53","Firewood",96,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","increase population"
"24-83-18-16","Firewood",48,"Bale / Bundle","","No",,,"",,,"No",,"Massive decrease","Massive decrease","","Alot of people are harvesting the firewood"
"24-83-18-16","Sand, stone, mud",100,"Basins","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","Alot of people are harvesting the mud to build their houses"
"98-89-20-76","Firewood",46,"Bale / Bundle","","No",,,"",,,"Yes",200,"The same","The same","",""
"18-82-94-56","Firewood",300,"Bale / Bundle","","No",,,"",,,"No",,"Slight decrease","Massive decrease","","People are building houses"
