interview__key,r_infu__id,as07__1,as07__2,as07__3,as07__4,as07__5,as07__6,as07__7,as07__8,as07__9,as07__96,as07__n88,as07__n99,as07_oth,network_mostinf_gender,network_mostinf_eth,network_eth_oth,network_mostinf_agegrp,as08,as09
"75-80-02-90",1,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Mafwe","","In their 50s",1,1
"75-80-02-90",2,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Mafwe","","In their 50s",1,1
"75-80-02-90",3,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Women","Other","coloured","In their 40s",1,1
"43-41-21-85",1,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Women","Subia","","In their 40s",3,0
"43-41-21-85",2,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Subia","","In their 50s",1,0
"43-41-21-85",3,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Mafwe","","In their 40s",0,0
"66-22-88-29",1,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Women","Lozi","","In their 50s",20,1
"66-22-88-29",2,"Yes","No","No","No","No","Yes","No","No","No","No","No","No",,"Women","Subia","","In their 40s",29,0
"66-22-88-29",3,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Women","Lozi","","In their 60s",29,1
"42-66-53-78",1,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Women","Lozi","","In their 30s",25,25
"42-66-53-78",2,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Women","Subia","","In their 30s",20,20
"19-23-31-06",1,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Women","Lozi","","In their 40s",28,5
"19-23-31-06",2,"Yes","No","No","No","No","No","No","No","No","No","No","No",,"Women","Lozi","","In their 30s",15,10
"19-23-31-06",3,"No","No","No","No","No","Yes","No","No","No","No","No","No",,"Women","Lozi","","In their 20s",23,16
"62-33-60-14",1,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Mafwe","","In their 50s",1,4
"62-33-60-14",2,"No","No","No","No","No","No","No","Yes","No","No","No","No",,"Men","Mafwe","","In their 50s",1,4
"62-33-60-14",3,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Women","Other","coloured","In their 40s",0,4
"89-36-04-43",1,"No","Yes","No","No","No","No","No","No","No","Yes","No","No",,"Men","Subia","","In their 40s",6,0
"89-36-04-43",2,"No","No","No","No","No","Yes","No","No","No","Yes","No","No",,"Men","Subia","","In their 40s",5,0
"87-86-68-37",1,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Men","Mafwe","","In their 50s",24,12
"87-86-68-37",2,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Mafwe","","In their 50s",4,1
"87-86-68-37",3,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Men","Mafwe","","In their 40s",3,3
"12-94-76-31",1,"No","No","No","Yes","No","No","No","No","No","No","No","No",,"Men","Subia","","In their 30s",2,2
"12-94-76-31",2,"No","No","No","No","No","No","No","No","No","Yes","No","No",,"Women","Subia","","In their 30s",10,4
