interview__key,as10,as11,as12,as13,as14,as15,as16__1,as16__2,as16__3,as16__4,as16__5,as16__6,as16__7,as16__8,as16__9,as16__96,as16_oth,as19,as17,as18__1,as18__2,as18__3,as18__4,as18__5,as18__6,as18__7,as18__8,as18__9,as18__10,as18__11,as18__96
"88-09-14-40","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"51-32-55-02","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"25-85-18-57","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"08-01-73-79","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"30-31-42-54","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"59-41-41-82","Yes","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"86-80-66-75","No","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"36-82-19-46","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"87-16-84-48","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"85-15-56-74","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"99-52-45-97","No","No","No","No","Yes",600,"Yes","No","No","No","No","No","No","No","No","No",,"No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","Yes"
"22-42-05-31","No","No","Yes","No","No",,,,,,,,,,,,,"Yes","No",,,,,,,,,,,,
"17-88-76-49","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"95-93-26-61","No","No","Yes","No","Yes",100,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"66-25-20-13","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"56-49-46-49","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"00-63-35-41","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"35-73-88-21","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"90-22-40-74","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"71-58-33-81","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"85-67-71-58","Yes","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"01-61-71-69","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"75-50-19-75","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"89-26-96-48","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"73-20-13-57","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"55-53-09-17","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"16-20-70-88","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"14-74-46-71","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"15-43-32-03","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"62-79-94-11","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"74-11-35-62","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"07-05-49-00","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"12-21-07-33","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"23-59-76-04","Yes","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"93-87-90-66","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"16-34-09-13","Yes","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"85-82-50-77","Yes","No","No","No","Yes",25,"Yes","No","No","No","No","No","No","No","No","No",,"No","No",,,,,,,,,,,,
"89-27-41-66","No","No","Yes","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"22-81-16-32","No","Yes","Yes","No","Yes",200,"No","Yes","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
"54-44-06-88","No","No","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"47-49-80-52","Yes","Yes","No","No","No",,,,,,,,,,,,,"No","No",,,,,,,,,,,,
"93-73-35-44","Yes","No","Yes","No","Yes",250,"Yes","No","No","No","No","No","No","No","No","No",,"Yes","No",,,,,,,,,,,,
